Date,Open,High,Low,Close,Volume,OpenInt
20141118,31.087,31.087,29.821,30.335,15649,0
20141119,30.335,30.711,29.362,30.555,5838,0
20141120,30.647,30.739,30.647,30.729,4180,0
20141121,30.647,31.014,30.463,31.014,3198,0
20141124,31.151,31.179,31.06,31.106,1443,0
20141125,31.06,31.06,30.739,30.922,5144,0
20141126,30.922,31.014,30.372,30.739,798,0
20141127,30.739,30.922,30.372,30.739,3966,0
20141128,30.739,30.922,30.739,30.739,800,0
20141201,30.005,30.28,30.005,30.28,840,0
20141202,30.28,30.684,29.922,30.684,471,0
20141203,30.922,30.922,30.023,30.922,3158,0
20141204,30.739,30.739,30.289,30.729,1160,0
20141205,30.463,30.463,30.372,30.372,1132,0
20141208,30.28,30.28,29.922,29.922,92,0
20141209,29.362,30.463,29.362,30.28,3240,0
20141210,30.28,30.28,30.188,30.188,251,0
20141211,29.821,29.83,29.738,29.821,719,0
20141212,30.087,30.087,29.39,29.821,7070,0
20141215,29.454,30.298,29.454,29.821,602,0
20141216,29.592,29.821,29.592,29.665,162,0
20141217,29.702,30.188,29.702,30.05,560,0
20141218,30.28,30.28,30.05,30.05,60,0
20141219,30.271,30.28,30.271,30.28,15,0
20141222,29.821,30.188,29.518,29.729,663,0
20141223,29.518,29.518,29.518,29.518,291,0
20141229,29.518,30.463,27.527,29.821,2224,0
20150102,28.72,30.647,28.72,30.647,311,0
20150107,29.729,30.28,29.729,30.28,518,0
20150108,30.28,30.28,29.05,29.821,4407,0
20150109,29.371,29.821,29.371,29.821,2684,0
20150112,29.362,29.821,29.362,29.821,4985,0
20150113,30.188,30.188,30.188,30.188,94,0
20150114,28.995,30.188,28.995,29.463,206,0
20150115,29.371,29.371,29.362,29.362,342,0
20150116,27.711,30.133,27.711,30.133,47,0
20150119,27.527,29.821,27.527,29.821,5748,0
20150120,29.821,29.821,29.821,29.821,1417,0
20150121,30.142,30.142,29.454,29.454,82,0
20150122,29.821,30.28,29.821,30.28,1783,0
20150123,30.28,32.932,30.28,32.711,39217,0
20150126,33.124,35.326,33.124,34.803,21289,0
20150127,35.363,35.739,34.409,34.675,10388,0
20150128,34.684,34.868,33.032,34.868,5584,0
20150129,34.868,34.914,34.464,34.776,1369,0
20150130,34.868,34.868,34.363,34.473,1258,0
20150202,34.776,35.207,34.501,34.684,4962,0
20150203,34.868,35.051,34.776,34.776,4387,0
20150204,34.868,35.326,34.409,34.868,3701,0
20150205,34.868,34.868,34.592,34.868,8687,0
20150206,34.73,34.868,34.73,34.868,1137,0
20150209,34.868,34.868,33.216,34.868,3604,0
20150210,34.868,34.868,33.996,34.868,5612,0
20150211,35.326,35.326,34.464,34.546,3675,0
20150212,34.409,34.409,32.298,32.987,7695,0
20150213,33.216,33.491,33.032,33.491,2730,0
20150216,33.51,33.51,33.042,33.17,2059,0
20150217,33.042,33.583,33.042,33.583,11885,0
20150218,33.583,33.95,33.583,33.95,133,0
20150219,33.491,33.849,33.491,33.767,2661,0
20150220,33.546,33.932,33.51,33.932,497,0
20150223,33.858,33.858,33.519,33.858,202,0
20150224,33.812,33.812,33.4,33.583,1106,0
20150225,33.767,33.849,33.757,33.767,5859,0
20150226,33.849,34.051,33.785,34.051,1173,0
20150227,34.4,36.703,34.4,36.519,6708,0
20150302,36.519,37.162,35.969,37.162,4964,0
20150303,37.63,38.437,37.345,37.62,5945,0
20150304,37.62,38.354,37.345,38.354,2697,0
20150305,38.446,38.997,36.795,37.437,4342,0
20150306,37.62,37.62,36.712,36.712,2039,0
20150309,36.795,37.611,36.795,36.795,484,0
20150310,36.749,36.749,35.96,36.18,4666,0
20150311,36.152,37.116,36.152,37.116,1385,0
20150312,37.611,37.611,36.473,37.327,214,0
20150313,37.345,37.611,37.345,37.529,548,0
20150316,37.519,37.519,37.437,37.437,251,0
20150317,37.345,37.62,36.336,36.657,1257,0
20150318,37.162,39.088,37.162,39.088,5821,0
20150319,40.052,41.291,39.088,41.291,7135,0
20150320,41.199,43.447,41.199,41.749,2208,0
20150323,41.749,42.722,41.3,42.474,498,0
20150324,41.749,42.199,40.382,40.85,1285,0
20150325,40.85,41.107,39.043,39.74,958,0
20150326,40.098,40.098,39.455,39.455,17088,0
20150327,39.455,40.281,39.455,39.455,32957,0
20150330,40.235,40.235,39.272,40.089,4863,0
20150331,39.859,39.997,39.428,39.455,2439,0
20150401,39.639,40.052,39.272,39.455,1988,0
20150402,40.052,40.052,39.455,39.455,2648,0
20150407,40.373,42.153,39.455,40.19,5357,0
20150408,40.648,40.905,39.667,40.373,4183,0
20150409,40.373,41.291,40.245,40.859,27606,0
20150410,41.3,44.328,41.291,44.043,13280,0
20150413,44.319,44.319,42.86,43.236,3962,0
20150414,43.172,43.172,42.759,43.126,36386,0
20150415,43.126,45.319,43.126,44.961,4262,0
20150416,44.961,45.75,44.098,44.961,3369,0
20150417,44.961,46.603,44.961,46.108,11153,0
20150420,45.878,45.878,45.42,45.878,4396,0
20150421,46.337,46.337,45.787,45.787,799,0
20150422,45.557,45.833,44.887,45.833,14744,0
20150423,45.062,46.154,44.961,45.695,8922,0
20150424,45.833,46.603,45.695,46.154,23657,0
20150427,46.154,46.154,45.062,45.062,1575,0
20150428,44.915,45.787,44.649,45.695,2177,0
20150429,45.649,45.649,44.961,45.53,998,0
20150430,44.97,45.695,44.97,45.64,367,0
20150504,45.328,45.328,45.227,45.227,345,0
20150505,45.144,45.144,42.502,43.236,5182,0
20150506,43.236,44.034,42.988,42.988,2082,0
20150507,42.722,43.126,42.722,43.126,1226,0
20150508,43.218,44.043,41.749,44.043,3943,0
20150511,43.328,44.502,43.328,44.502,1957,0
20150512,44.502,44.686,43.63,44.227,2123,0
20150513,44.227,44.227,42.805,43.887,2294,0
20150514,44.043,44.043,42.713,42.722,4192,0
20150515,42.401,44.043,42.401,43.851,2572,0
20150518,43.768,44.043,43.401,44.043,6422,0
20150519,43.585,44.043,43.539,43.585,1594,0
20150520,43.585,43.585,42.667,43.585,1006,0
20150521,43.585,44.401,43.474,43.474,24894,0
20150522,44.025,44.915,43.318,44.557,4278,0
20150525,44.961,45.612,44.777,44.777,4484,0
20150526,44.777,44.777,43.585,44.75,2880,0
20150527,44.493,44.75,44.41,44.502,7417,0
20150528,44.741,44.75,44.456,44.456,3037,0
20150529,44.465,44.465,44.062,44.456,1352,0
20150601,44.456,44.456,43.585,43.585,5351,0
20150602,43.63,44.456,43.63,43.64,2482,0
20150603,43.585,44.319,43.585,44.043,1526,0
20150605,44.089,44.273,44.043,44.043,378,0
20150608,44.218,44.218,43.594,43.594,932,0
20150609,43.126,43.539,39.566,40.786,11005,0
20150610,42.208,42.208,40.483,41.823,2633,0
20150611,41.841,41.841,41.392,41.428,1221,0
20150612,41.428,41.823,39.63,39.96,2952,0
20150615,40.006,40.098,40.006,40.006,998,0
20150616,40.006,40.006,36.886,38.997,4247,0
20150617,38.538,38.914,37.896,37.896,2794,0
20150618,37.437,37.62,36.886,36.886,4582,0
20150619,36.886,38.07,36.886,37.437,2617,0
20150622,37.345,39.272,37.345,38.354,1075,0
20150623,38.538,39.18,38.354,39.18,1175,0
20150624,39.18,39.18,36.749,36.749,8184,0
20150625,36.868,37.62,34.959,35.427,1663,0
20150626,35.519,36.675,34.914,34.914,4108,0
20150629,33.032,33.032,32.675,32.858,8895,0
20150630,32.574,33.849,32.574,32.574,7437,0
20150701,32.39,34.776,32.39,34.501,2467,0
20150702,34.409,36.611,34.409,36.281,3285,0
20150703,36.244,36.244,35.326,35.914,6346,0
20150706,34.868,34.868,33.721,34.079,5861,0
20150707,34.235,34.932,34.225,34.225,1622,0
20150708,34.941,34.941,32.574,33.216,885,0
20150709,33.216,33.234,33.078,33.216,1825,0
