Date,Open,High,Low,Close,Volume,OpenInt
19970116,3.621,3.621,3.621,3.621,2202779,0
19970117,3.9501,3.9501,3.9501,3.9501,1830741,0
19970120,3.7528,3.7528,3.7528,3.7528,1040884,0
19970121,3.621,3.621,3.621,3.621,663781,0
19970122,3.6538,3.6538,3.6538,3.6538,507405,0
19970123,3.7528,3.7528,3.7528,3.7528,522164,0
19970124,3.7528,3.7528,3.7528,3.7528,443287,0
19970127,3.7528,3.7528,3.7528,3.7528,837152,0
19970128,3.6866,3.6866,3.6866,3.6866,527426,0
19970129,3.5549,3.5549,3.5549,3.5549,254987,0
19970130,3.522,3.522,3.522,3.522,289162,0
19970131,3.4892,3.4892,3.4892,3.4892,295186,0
19970203,3.621,3.621,3.621,3.621,418548,0
19970204,3.6866,3.6866,3.6866,3.6866,479540,0
19970205,3.621,3.621,3.621,3.621,244130,0
19970206,3.7193,3.7193,3.7193,3.7193,176755,0
19970207,3.7856,3.7856,3.7856,3.7856,308006,0
19970210,3.8184,3.8184,3.8184,3.8184,339011,0
19970211,3.8184,3.8184,3.8184,3.8184,216451,0
19970212,3.9175,3.9175,3.9175,3.9175,820488,0
19970213,3.9829,3.9829,3.9829,3.9829,476529,0
19970214,4.1804,4.1804,4.1804,4.1804,518822,0
19970217,4.213,4.213,4.213,4.213,470993,0
19970218,4.5095,4.5095,4.5095,4.5095,557241,0
19970219,4.5427,4.5427,4.5427,4.5427,781824,0
19970220,4.2793,4.2793,4.2793,4.2793,281946,0
19970221,4.3121,4.3121,4.3121,4.3121,550529,0
19970224,4.1804,4.1804,4.1804,4.1804,237648,0
19970225,4.1146,4.1146,4.1146,4.1146,310229,0
19970226,4.1804,4.1804,4.1804,4.1804,574823,0
19970227,4.0158,4.0158,4.0158,4.0158,492535,0
19970228,4.082,4.082,4.082,4.082,572558,0
19970303,4.082,4.082,4.082,4.082,183251,0
19970304,4.082,4.082,4.082,4.082,158873,0
19970305,4.1146,4.1146,4.1146,4.1146,178748,0
19970306,4.2465,4.2465,4.2465,4.2465,176025,0
19970307,4.3448,4.3448,4.3448,4.3448,268353,0
19970310,4.213,4.213,4.213,4.213,130420,0
19970311,4.1146,4.1146,4.1146,4.1146,471367,0
19970312,4.0484,4.0484,4.0484,4.0484,272425,0
19970313,4.0158,4.0158,4.0158,4.0158,213899,0
19970314,3.9175,3.9175,3.9175,3.9175,344245,0
19970317,3.8839,3.8839,3.8839,3.8839,83794,0
19970318,3.9829,3.9829,3.9829,3.9829,199341,0
19970319,4.0484,4.0484,4.0484,4.0484,283412,0
19970320,4.082,4.082,4.082,4.082,437175,0
19970321,4.082,4.082,4.082,4.082,108034,0
19970324,4.1475,4.1475,4.1475,4.1475,219162,0
19970325,4.2465,4.2465,4.2465,4.2465,189332,0
19970326,4.3448,4.3448,4.3448,4.3448,525190,0
19970327,4.3448,4.3448,4.3448,4.3448,475124,0
19970401,4.1146,4.1146,4.1146,4.1146,788036,0
19970402,4.1804,4.1804,4.1804,4.1804,342784,0
19970403,4.1804,4.1804,4.1804,4.1804,223765,0
19970404,4.213,4.213,4.213,4.213,133501,0
19970407,4.3448,4.3448,4.3448,4.3448,236916,0
19970408,4.444,4.444,4.444,4.444,226146,0
19970409,4.5755,4.5755,4.5755,4.5755,526394,0
19970410,4.6741,4.6741,4.6741,4.6741,557629,0
19970411,4.5755,4.5755,4.5755,4.5755,98237,0
19970414,4.3784,4.3784,4.3784,4.3784,223952,0
