Date,Open,High,Low,Close,Volume,OpenInt
20110929,20.4,24,18.4,20.4,11374,0
20110930,21.2,21.2,15.2,15.6,3133,0
20111003,15.6,15.6,12.8,13.6,1310,0
20111004,11.6,14,11.6,12,777,0
20111005,11.6,18,11.6,18,3453,0
20111006,18,20.4,15.6,18.4,2074,0
20111007,18,18.4,16.4,18,238,0
20111010,16,16.8,12.8,13.2,451,0
20111011,14.8,15.6,12.4,15.6,719,0
20111012,12.8,15.2,12.8,13.2,453,0
20111013,15.6,15.6,12.8,13.2,218,0
20111014,12.8,14,12,14,828,0
20111017,14,14,12,12,308,0
20111018,13.6,13.6,11.2,12.4,786,0
20111019,11.6,14.8,11.6,14,509,0
20111020,12.4,12.8,12,12,930,0
20111021,12,12,9.6,10.4,612,0
20111024,10,12,10,12,32,0
20111025,11.6,11.6,9.6,11.2,740,0
20111026,10,11.2,9.6,10,793,0
20111027,10.4,10.4,9.2,9.6,127,0
20111028,10.4,11.2,10,11.2,408,0
20111031,11.2,11.6,10.4,10.4,275,0
20111102,10.4,10.4,9.6,10.4,103,0
20111104,9.6,10.8,9.6,9.6,235,0
20111107,9.2,9.6,9.2,9.6,52,0
20111108,10.8,10.8,9.6,10.4,20,0
20111109,10.8,10.8,10,10,81,0
20111110,9.6,10.4,9.6,10.4,161,0
20111114,10.8,10.8,9.6,10.8,23,0
20111115,10.4,11.6,10.4,11.6,115,0
20111116,11.6,11.6,11.6,11.6,13,0
20111117,9.6,11.6,9.6,10.8,80,0
20111121,10.8,10.8,10.8,10.8,14,0
20111122,8.8,10.8,8.8,10.8,1,0
20111123,10,10.8,10,10.8,28,0
20111124,10.8,10.8,9.2,10.8,25,0
20111125,9.2,10.4,8.8,10.4,217,0
20111128,9.6,10.4,8.4,10.4,494,0
20111129,8,10,8,10,104,0
20111130,8,8,8,8,250,0
20111201,8.8,8.8,8.8,8.8,107,0
20111202,9.2,10.8,9.2,10,756,0
20111205,11.2,11.2,9.2,10,346,0
20111213,9.2,11.6,9.2,11.6,122,0
20111215,10.4,10.4,9.6,9.6,159,0
20111216,10.4,10.4,10.4,10.4,13,0
20111221,9.6,10.4,9.2,10.4,393,0
20111222,10,10,10,10,50,0
20111223,8.8,10.4,8.4,10.4,231,0
20111227,10,10,10,10,28,0
20111230,10,10.4,10,10.4,113,0
20120103,10.8,10.8,10.8,10.8,13,0
20120110,9.2,10.4,8.8,10.4,125,0
20120116,10.4,10.8,10.4,10.8,33,0
20120119,10.4,10.4,10.4,10.4,50,0
20120123,10.4,10.8,10.4,10.8,80,0
20120125,9.2,9.2,9.2,9.2,58,0
20120126,9.2,10.4,9.2,10.4,34,0
20120130,9.2,9.6,9.2,9.2,266,0
20120131,9.2,9.2,9.2,9.2,155,0
20120201,10,10,10,10,50,0
20120202,9.2,9.2,9.2,9.2,38,0
20120206,9.2,10,9.2,10,145,0
20120217,10,10,10,10,74,0
20120229,8.4,8.4,8.4,8.4,0,0
20120301,9.6,9.6,9.6,9.6,0,0
20120305,8.4,8.4,8.4,8.4,125,0
20120306,8,8,7.2,8,705,0
20120307,6.8,6.8,6.8,6.8,0,0
20120308,6.8,6.8,6.8,6.8,50,0
20120313,7.2,8.4,7.2,8.4,533,0
20120314,8.4,8.4,8.4,8.4,3,0
20120320,8.4,8.4,8.4,8.4,94,0
20120322,7.6,8.4,7.6,8.4,83,0
20120327,7.2,8,7.2,8,217,0
20120403,6.8,7.6,6.8,7.6,88,0
20120412,6.8,6.8,6.8,6.8,122,0
20120413,6.4,7.6,6.4,7.6,63,0
20120420,8,8,7.2,8,338,0
20120510,8,8,8,8,15,0
20120515,6.8,8,6.8,8,139,0
20120523,6.4,7.2,6.4,7.2,61,0
20120606,7.2,7.2,7.2,7.2,38,0
20120628,7.2,8,7.2,8,151,0
20120629,8,8.4,8,8.4,191,0
20120702,8,9.2,8,9.2,243,0
20120703,7.6,7.6,7.6,7.6,75,0
20120704,8.4,8.8,8.4,8.8,261,0
20120705,10,10.4,9.6,10.4,143,0
20120706,12,14.4,12,14.4,126,0
20120711,11.6,13.6,11.6,13.6,271,0
20120712,12,12,12,12,30,0
20120713,12.8,12.8,12.8,12.8,64,0
20120716,12.8,12.8,12,12,123,0
20120717,12,12,12,12,75,0
20120719,12,12,12,12,25,0
20120724,12,12,10.8,10.8,100,0
20120725,11.6,11.6,11.6,11.6,115,0
20120730,12,12,12,12,58,0
20120802,12.4,13.2,12.4,12.4,685,0
20120806,11.2,11.2,11.2,11.2,25,0
20120809,11.6,11.6,11.6,11.6,50,0
20120810,11.2,11.2,10.8,10.8,65,0
20120827,12,12,12,12,33,0
20120907,10.8,11.6,10.4,11.6,91,0
20120912,10.8,11.2,9.6,11.2,169,0
20120913,10.8,12,10.8,12,98,0
20120919,12,12,10,12,417,0
20120925,10,10,10,10,25,0
20120928,10.4,10.4,8.4,10,1187,0
20121001,10,10,10,10,86,0
20121002,8.4,8.4,8,8,269,0
20121003,8.8,8.8,8.8,8.8,125,0
20121009,7.6,7.6,7.6,7.6,250,0
20121010,7.6,8.4,7.6,8.4,125,0
20121011,6.8,8.8,6.8,8.8,263,0
20121012,8.8,8.8,8.8,8.8,125,0
20121015,8.8,8.8,8.8,8.8,0,0
20121016,8.8,9.2,8.8,9.2,100,0
20121017,8.8,8.8,8.8,8.8,50,0
20121018,9.6,9.6,9.6,9.6,0,0
20121019,9.6,9.6,9.6,9.6,0,0
20121022,9.6,9.6,9.6,9.6,281,0
20121023,10,10,10,10,0,0
20121025,10,12,9.2,10.4,4349,0
20121026,10,10.4,8.8,9.6,714,0
20121029,8.8,9.2,8.4,9.2,283,0
20121030,9.6,9.6,9.6,9.6,50,0
20121031,9.6,9.6,8.8,9.6,98,0
20121102,8.8,9.6,8.8,9.6,44,0
20121106,9.6,10,9.2,9.6,307,0
20121107,10,10,10,10,1,0
20121108,10,10,10,10,0,0
20121109,9.6,9.6,8.8,8.8,203,0
20121113,8.8,8.8,8,8.8,203,0
20121114,8.4,9.2,8,9.2,100,0
20121116,8.4,9.2,8.4,9.2,128,0
20121119,8,8.4,7.6,8.4,328,0
20121120,7.2,8,7.2,8,56,0
20121122,8.4,8.4,8.4,8.4,63,0
20121123,8.4,8.4,8,8.4,130,0
20121129,8,8.4,7.6,8.4,288,0
20121130,7.6,8.4,7.6,8.4,50,0
20121203,7.6,7.6,7.6,7.6,178,0
20121204,7.6,8,7.6,8,25,0
20121205,7.6,7.6,7.6,7.6,25,0
20121206,7.6,7.6,7.2,7.2,288,0
20121210,7.6,8,7.2,8,88,0
20121211,8,8,8,8,155,0
20121212,8.8,8.8,8.8,8.8,112,0
20121213,8.4,8.4,8.4,8.4,15,0
20121214,8.4,8.4,8.4,8.4,25,0
20121217,8.8,8.8,8,8,274,0
20121218,8.4,8.8,8.4,8.8,1354,0
20121219,8.8,9.2,8.8,9.2,558,0
20121220,9.2,9.2,9.2,9.2,188,0
20121221,9.2,9.6,8.8,9.6,252,0
20121228,8.8,9.6,8.4,9.6,151,0
20130102,10,11.2,10,11.2,53,0
20130103,10,10.4,10,10,376,0
20130104,10,10,9.6,9.6,275,0
20130107,10,10,9.6,9.6,230,0
20130108,9.6,9.6,9.2,9.6,78,0
20130109,9.6,11.2,9.6,11.2,963,0
20130110,11.2,11.2,10.4,11.2,2088,0
20130111,10.8,10.8,10.4,10.8,692,0
20130114,10.8,11.2,10.8,11.2,298,0
20130115,11.2,11.2,10,10.8,763,0
20130116,10.8,11.2,10.8,10.8,1100,0
20130117,10.8,11.2,10.4,11.2,197,0
20130118,11.2,11.2,10.4,11.2,290,0
20130122,10.4,10.8,10.4,10.8,92,0
20130123,10.4,10.8,10.4,10.8,163,0
20130124,10.8,10.8,10.4,10.8,121,0
20130125,10.8,11.2,10.8,11.2,308,0
20130128,11.2,11.2,10.4,11.2,604,0
20130129,10.4,11.2,10.4,11.2,60,0
20130130,10.8,11.2,10.8,11.2,488,0
20130204,10.4,11.2,10,11.2,225,0
20130208,10,10.4,10,10.4,258,0
20130211,10.8,10.8,10.8,10.8,13,0
20130212,10.8,10.8,10.8,10.8,5,0
20130213,10,10.4,10,10.4,330,0
20130214,10,10,9.6,10,260,0
20130215,10,10,10,10,25,0
20130219,9.6,10,9.6,10,100,0
20130220,10,10,10,10,99,0
20130221,9.6,9.6,9.6,9.6,75,0
20130222,9.6,10.4,9.6,10.4,175,0
20130225,10.4,10.4,10.4,10.4,55,0
20130301,10.4,10.8,10.4,10.8,66,0
20130304,10.8,10.8,10.4,10.8,204,0
20130305,10.4,11.2,10.4,11.2,246,0
20130306,10.8,10.8,10,10.8,139,0
20130307,10.4,10.4,10.4,10.4,50,0
20130308,10.8,10.8,10.8,10.8,3,0
20130312,10.8,10.8,10.4,10.4,126,0
20130313,10.4,10.4,10.4,10.4,13,0
20130314,10.8,10.8,10.4,10.4,150,0
20130315,10.8,11.2,10.8,11.2,134,0
20130318,10.4,11.2,10,11.2,40,0
20130319,10.8,10.8,10.8,10.8,22,0
20130320,10.4,10.4,10.4,10.4,50,0
20130321,10,10,10,10,240,0
20130322,10.4,11.2,10.4,10.8,387,0
20130325,10.4,10.8,10,10.8,76,0
20130326,8.8,9.6,8.8,9.6,740,0
20130327,9.6,9.6,9.6,9.6,100,0
20130328,9.2,9.6,9.2,9.6,50,0
20130408,9.6,10,9.6,10,125,0
20130410,9.6,10.8,9.6,10.8,53,0
20130417,10.4,10.8,10.4,10.8,250,0
20130422,9.6,10.4,9.6,10.4,50,0
20130425,9.6,10.4,9.6,10.4,125,0
20130506,10.4,10.4,10.4,10.4,100,0
20130507,10,10.4,10,10.4,62,0
20130508,9.6,10,8.8,10,325,0
20130509,10,10,10,10,113,0
20130510,10,10,9.2,10,275,0
20130513,9.2,10,9.2,10,22,0
20130514,9.2,9.2,8.4,9.2,263,0
20130516,8.4,8.4,8.4,8.4,505,0
20130517,8,8.8,8,8.8,172,0
20130605,8.8,8.8,8.8,8.8,138,0
20130606,8.8,9.2,8.8,9.2,113,0
20130613,9.2,9.2,9.2,9.2,131,0
20130614,9.2,9.2,9.2,9.2,52,0
20130617,9.6,9.6,9.6,9.6,148,0
20130624,9.2,9.6,9.2,9.6,25,0
20130628,9.6,10,9.6,10,128,0
20130701,8.8,9.2,8.8,9.2,500,0
20130705,8.8,8.8,8.8,8.8,255,0
20130708,9.2,9.2,9.2,9.2,85,0
20130716,8.8,8.8,8.8,8.8,78,0
20130718,8.8,8.8,8.8,8.8,7,0
20130722,8.4,8.8,8.4,8.8,306,0
20130723,8.4,8.8,8.4,8.8,125,0
20130801,8.4,8.4,8.4,8.4,75,0
20130805,8.8,9.2,8.8,9.2,600,0
20130808,8.4,9.2,8.4,9.2,152,0
20130809,8.4,9.2,8.4,9.2,103,0
20130814,8.8,8.8,8.8,8.8,127,0
20130819,8.8,8.8,8.8,8.8,63,0
20130821,8.8,9.2,8.4,9.2,75,0
20130823,8.4,8.8,8.4,8.8,25,0
20130828,8.4,8.4,8.4,8.4,50,0
20130830,8.8,9.2,8.8,9.2,109,0
20130902,9.2,9.2,9.2,9.2,0,0
20130903,9.2,10,9.2,10,1265,0
20130909,9.6,10,9.6,10,78,0
20130913,9.2,9.2,9.2,9.2,375,0
20130919,8.8,8.8,8.4,8.8,290,0
20131004,8.4,8.8,8.4,8.8,56,0
20131015,8.4,8.4,8.4,8.4,183,0
20131023,8,8.4,7.6,8.4,277,0
20131024,7.6,8,7.6,8,138,0
20131030,7.2,7.2,7.2,7.2,11,0
20131104,7.2,7.6,7.2,7.6,263,0
20131108,7.2,7.2,7.2,7.2,837,0
20131112,7.2,7.2,7.2,7.2,305,0
20131113,7.6,7.6,7.6,7.6,0,0
20131119,7.2,7.2,7.2,7.2,75,0
20131121,7.2,7.2,7.2,7.2,28,0
20131122,7.2,7.2,7.2,7.2,143,0
20131126,7.2,7.2,7.2,7.2,5,0
20131202,7.6,7.6,7.6,7.6,320,0
20131209,7.6,7.6,7.6,7.6,38,0
20131212,7.6,7.6,7.6,7.6,50,0
20131218,7.6,7.6,7.6,7.6,0,0
20131219,7.2,7.6,7.2,7.6,131,0
20131227,7.6,7.6,7.6,7.6,37,0
20131230,7.6,8,7.6,8,338,0
20140107,8.4,8.4,8.4,8.4,84,0
20140108,8,8,8,8,28,0
20140109,8.8,8.8,8.8,8.8,10,0
20140122,8.8,8.8,8.8,8.8,48,0
20140204,7.6,8,7.6,8,497,0
20140205,8,8,7.6,7.6,141,0
20140210,7.6,7.6,7.6,7.6,265,0
20140211,7.6,7.6,7.6,7.6,27,0
20140213,7.6,7.6,7.2,7.6,253,0
20140225,7.6,7.6,7.6,7.6,100,0
20140227,7.6,7.6,7.6,7.6,23,0
20140303,7.6,7.6,7.2,7.2,182,0
20140304,7.6,7.6,7.6,7.6,138,0
20140307,7.2,7.2,7.2,7.2,171,0
20140310,6.8,6.8,6.8,6.8,79,0
20140312,7.2,7.2,7.2,7.2,423,0
20140317,7.2,7.6,7.2,7.6,324,0
20140318,7.6,10.4,7.6,10.4,3170,0
20140319,12,16,10.4,11.6,6512,0
20140320,12.8,12.8,11.2,11.6,450,0
20140321,12,12,10.4,12,159,0
20140324,10.4,12,10.4,12,401,0
20140325,10.4,11.2,10.4,11.2,122,0
20140326,10.4,11.2,10.4,11.2,223,0
20140327,10.4,11.2,10.4,11.2,48,0
20140328,10.4,10.4,10.4,10.4,70,0
20140331,11.2,11.2,11.2,11.2,8,0
20140401,11.2,11.2,10,10,79,0
20140402,11.2,11.2,10,10,539,0
20140404,11.2,13.2,9.6,13.2,462,0
20140407,13.2,18,12.4,14.8,1310,0
20140408,14.8,18,14.8,18,2528,0
20140409,18.8,18.8,17.2,18.8,644,0
20140410,18.8,18.8,16,16,253,0
20140411,15.6,17.6,15.2,17.6,207,0
20140414,16,16,16,16,71,0
20140424,15.2,15.2,15.2,15.2,48,0
20140428,15.2,15.2,15.2,15.2,843,0
20140430,14.8,14.8,14.8,14.8,2,0
20140502,14.8,14.8,14.8,14.8,23,0
20140505,13.6,13.6,13.6,13.6,52,0
20140506,16,16.4,15.2,15.2,1520,0
20140507,14.8,14.8,14.8,14.8,73,0
20140513,14.4,14.4,14.4,14.4,38,0
20140516,15.2,15.2,15.2,15.2,150,0
20140522,14,14,14,14,2,0
20140527,15.6,15.6,15.6,15.6,33,0
20140530,14,14,14,14,48,0
20140605,14,14,14,14,155,0
20140606,14,14,14,14,34,0
20140627,16,16,16,16,5025,0
20140701,16.8,16.8,16.8,16.8,144,0
20140702,15.6,15.6,15.6,15.6,106,0
20140704,17.2,18,17.2,18,9836,0
20140707,16.4,17.6,16.4,17.6,528,0
20140711,17.6,17.6,17.6,17.6,13000,0
20140714,18,18,18,18,3353,0
20140716,16.4,16.8,16.4,16.8,2500,0
20140722,16.8,16.8,16.8,16.8,40,0
20140723,16.4,18,16.4,18,7275,0
20140724,19.6,21.6,19.6,21.6,100,0
20140725,21.6,21.6,21.6,21.6,63,0
20140728,18,18,18,18,160,0
20140729,18.8,18.8,18.8,18.8,80,0
20140730,18.8,18.8,18.8,18.8,46,0
20140801,18,18,18,18,8,0
20140805,20.4,20.4,20.4,20.4,60,0
20140806,20,20,20,20,52,0
20140811,20,20,20,20,12,0
20140812,18,18,18,18,28,0
20140813,19.6,21.6,19.6,21.6,4659,0
20140814,24,27.2,24,27.2,338,0
20140818,30,36,30,36,153,0
