Date,Open,High,Low,Close,Volume,OpenInt
20080623,5.4791,5.5008,5.0532,5.2697,31845,0
20080624,5.407,5.407,5.0892,5.3348,4806,0
20080625,5.1182,5.3924,5.1182,5.3924,112,0
20080627,5.2697,5.2697,5.2697,5.2697,190,0
20080701,5.0532,5.0532,5.0532,5.0532,140,0
20080702,4.8439,5.0532,4.8439,5.0532,3913,0
20080703,4.9449,4.9449,4.9449,4.9449,1656,0
20080707,4.981,4.981,4.981,4.981,734,0
20080708,4.981,5.2988,4.9089,5.2988,4848,0
20080709,4.8511,5.1904,4.8511,5.1904,8376,0
20080711,4.981,5.1615,4.981,5.1615,1847,0
20080715,4.9089,4.9089,4.9089,4.9089,2078,0
20080716,4.9089,4.9089,4.9089,4.9089,233,0
20080722,4.8366,5.1904,4.8366,5.1904,624,0
20080724,5.703,5.703,5.703,5.703,14,0
20080725,5.1615,5.4286,5.1615,5.4286,1573,0
20080729,5.4286,5.4286,5.4286,5.4286,69,0
20080730,4.9016,4.9089,4.9016,4.9089,2148,0
20080731,4.9882,5.3131,4.9882,5.3131,1525,0
20080805,5.1254,5.2553,5.1254,5.1254,1342,0
20080811,5.1759,5.1759,5.1759,5.1759,118,0
20080812,5.3348,5.3348,5.3348,5.3348,1,0
20080818,5.3348,5.3348,5.1254,5.1254,523,0
20080820,5.1254,5.1254,5.1254,5.1254,263,0
20080822,5.3276,5.3276,5.3276,5.3276,1,0
20080825,5.3276,5.3276,5.3276,5.3276,473,0
20080829,5.4286,5.4286,5.4286,5.4286,5,0
20080902,5.4286,5.4286,5.4286,5.4286,140,0
20080905,5.4359,5.4359,5.3204,5.407,484,0
20080908,5.2988,5.2988,5.2988,5.2988,1099,0
20080909,5.2988,5.2988,5.2988,5.2988,278,0
20080912,5.3781,5.3781,5.0172,5.0892,7295,0
20080915,4.981,5.1976,4.981,5.1976,1544,0
20080916,5.0892,5.1976,5.0892,5.1976,486,0
20080917,5.0892,5.0892,5.0532,5.0532,1572,0
20080918,4.9521,4.9521,4.9521,4.9521,1607,0
20080919,4.8511,4.8511,4.75,4.8511,1333,0
20080922,4.9521,4.9521,4.8511,4.9521,1709,0
20080923,5.0532,5.0532,4.9521,4.9521,1648,0
20080925,4.7645,4.8439,4.7283,4.8439,1614,0
20080930,5.1904,5.1904,5.1904,5.1904,5,0
20081002,4.8439,5.046,4.8439,4.9449,3806,0
20081003,4.7716,4.7716,4.7716,4.7716,1171,0
20081006,4.714,4.714,4.714,4.714,162,0
20081008,4.6416,4.6416,4.5263,4.5263,3481,0
20081010,4.3096,4.3096,4.3096,4.3096,1274,0
20081013,4.2302,4.2302,4.2302,4.2302,1800,0
20081014,4.2591,4.2591,4.1654,4.1654,1747,0
20081016,4.0426,4.2518,3.9776,3.9776,1983,0
20081017,3.8982,3.8982,3.8044,3.8044,2896,0
20081023,3.6456,3.6456,3.5085,3.5085,1836,0
20081027,3.5373,3.5373,3.5373,3.5373,149,0
20081029,3.2557,3.2846,3.2557,3.2846,1128,0
20081031,3.7538,3.7538,3.7538,3.7538,27,0
20081103,4.1291,4.4756,4.1146,4.4756,437,0
20081104,4.2591,4.2591,4.2591,4.2591,69,0
20081105,4.2591,4.6851,4.2591,4.3458,997,0
20081107,4.6851,4.6851,4.6851,4.6851,8,0
20081110,4.223,4.2591,4.223,4.223,1637,0
20081112,4.5118,4.5118,4.5118,4.5118,1871,0
20081113,4.4686,4.4686,4.4686,4.4686,1,0
20081119,4.3313,4.3313,4.3313,4.3313,24,0
20081124,4.1508,4.1508,3.826,4.1508,582,0
20081125,3.826,3.826,3.826,3.826,1054,0
20081127,3.6093,3.6093,3.6093,3.6093,27,0
20081128,4.1508,4.1508,4.1508,4.1508,5,0
20081202,4.1146,4.1146,4.0426,4.0426,105,0
20081205,3.6383,3.6383,3.6383,3.6383,5,0
20081208,3.9992,3.9992,3.6383,3.6383,4130,0
20081210,3.6816,3.6816,3.4652,3.6672,91220,0
20081211,3.6528,3.6528,3.4652,3.4652,3155,0
20081215,3.3928,3.3928,3.3928,3.3928,1202,0
20081223,3.2485,3.2485,3.2485,3.2485,18148,0
20081229,3.2773,3.2773,3.2773,3.2773,18148,0
20090105,2.9597,2.9597,2.9597,2.9597,27,0
20090106,2.967,2.967,2.967,2.967,140,0
20090107,2.9309,2.9309,2.9309,2.9309,27,0
20090109,3.2195,3.2195,2.9309,2.9309,2572,0
20090112,2.7793,2.7793,2.7793,2.7793,2466,0
20090113,3.0319,3.0319,3.0319,3.0319,832,0
20090115,2.9597,2.9597,2.9597,2.9597,623,0
20090116,2.8153,2.8153,2.8153,2.8153,48,0
20090119,3.0319,3.0319,3.0319,3.0319,14,0
20090120,3.1041,3.1041,3.1041,3.1041,19,0
20090121,2.8514,3.1041,2.8514,3.1041,51,0
20090123,2.8153,3.1041,2.8153,3.1041,30,0
20090126,2.8876,2.8876,2.8876,2.8876,5263,0
20090203,3.1041,3.1041,3.1041,3.1041,3,0
20090205,2.7937,2.7937,2.7937,2.7937,1033,0
20090210,2.7937,2.7937,2.7937,2.7937,412,0
20090223,2.8153,2.9597,2.6709,2.9597,327,0
20090226,2.8876,2.8876,2.8876,2.8876,1519,0
20090227,2.5988,2.6855,2.5988,2.6855,1691,0
20090303,2.5267,2.9526,2.5267,2.9526,3,0
20090304,2.9237,2.9237,2.7071,2.7071,4,0
20090305,2.7143,2.7721,2.7071,2.7721,2603,0
20090312,2.5267,2.5988,2.5267,2.5267,4922,0
20090316,2.3822,2.6637,2.3822,2.6637,581,0
20090318,2.57,2.57,2.3822,2.4833,7359,0
20090319,2.4833,2.4833,2.4833,2.4833,415,0
20090323,2.2379,2.3605,2.2379,2.3605,8945,0
20090324,2.31,2.31,2.1657,2.2522,18182,0
20090325,2.2522,2.2595,2.2018,2.2595,4508,0
20090326,2.2234,2.3462,2.2234,2.2738,109329,0
20090327,2.2956,2.3605,2.1801,2.3605,1752,0
20090330,2.31,2.31,2.2522,2.2522,111931,0
20090331,2.2522,2.2522,2.2451,2.2522,2106,0
20090401,2.1945,2.2018,2.1295,2.1295,9733,0
20090402,2.1295,2.144,2.1295,2.1295,4282,0
20090403,2.1224,2.1295,2.0934,2.1295,8984,0
20090406,2.3172,2.3172,2.1008,2.1657,79936,0
20090407,2.1657,2.1657,2.1512,2.1657,13480,0
20090408,2.1512,2.3605,2.1512,2.2451,13743,0
20090409,2.2668,2.3317,2.2379,2.3028,18220,0
20090414,2.3822,2.4543,2.3462,2.3605,37798,0
20090415,2.3534,2.6781,2.31,2.6348,103939,0
20090416,2.6421,2.7721,2.4977,2.6494,34310,0
20090417,2.6565,2.6565,2.4905,2.5267,16209,0
20090420,2.4905,2.5267,2.4543,2.4543,3629,0
20090421,2.3172,2.4543,2.2451,2.4543,7646,0
20090422,2.5195,2.5195,2.3028,2.4471,35853,0
20090423,2.4543,2.4543,2.3751,2.3822,18029,0
20090424,2.411,2.411,2.2956,2.2956,4356,0
20090427,2.3462,2.3462,2.31,2.31,2881,0
20090428,2.2738,2.3317,2.2379,2.3317,6416,0
20090429,2.209,2.3462,2.209,2.2738,5043,0
20090430,2.2956,2.3605,2.2595,2.2595,10469,0
20090504,2.3028,2.3317,2.2885,2.3028,20191,0
20090505,2.3028,2.3534,2.1657,2.1657,21724,0
20090506,2.2885,2.3028,2.1657,2.2161,21556,0
20090507,2.2161,2.2738,2.2161,2.2161,23665,0
20090508,2.2379,2.31,2.2379,2.31,8934,0
20090511,2.31,2.31,2.2018,2.209,45903,0
20090512,2.31,2.31,2.31,2.31,41,0
20090513,2.2738,2.3605,2.2738,2.3605,18328,0
20090514,2.3605,2.5915,2.3317,2.5411,30476,0
20090515,2.1657,2.3679,2.1657,2.3317,47384,0
20090518,2.3172,2.3895,2.209,2.3462,4369,0
20090519,2.3462,2.3462,2.2379,2.3317,14120,0
20090520,2.2522,2.3317,2.2379,2.3317,1558,0
20090521,2.2379,2.3462,2.2379,2.31,1999,0
20090522,2.31,2.31,2.2522,2.2738,1941,0
20090525,2.2522,2.2522,2.1657,2.2379,6178,0
20090526,2.2738,2.2738,2.2738,2.2738,879,0
20090527,2.3246,2.3246,2.3246,2.3246,415,0
20090529,2.2306,2.2738,2.1801,2.2738,1800,0
20090601,2.2738,2.2885,2.2738,2.2885,2090,0
20090602,2.2451,2.2738,2.2379,2.2451,4350,0
20090603,2.2522,2.2522,2.2234,2.2234,3159,0
20090604,2.2379,2.2379,2.2379,2.2379,4079,0
20090605,2.209,2.2379,2.209,2.2379,624,0
20090608,2.2161,2.2161,2.2161,2.2161,207,0
20090609,2.2668,2.2668,2.2668,2.2668,14,0
20090610,2.2668,2.2738,2.2234,2.2668,596,0
20090615,2.2738,2.2738,2.1945,2.1945,3130,0
20090619,2.1801,2.2379,2.1657,2.2379,2595,0
20090622,2.2379,2.2379,2.1657,2.1657,2360,0
20090623,2.1657,2.2522,2.1657,2.2522,2668,0
20090624,2.2595,2.2595,2.2595,2.2595,513,0
20090625,2.2595,2.2738,2.2595,2.2595,11685,0
20090629,2.2668,2.2668,2.2668,2.2668,1316,0
20090630,2.2738,2.4184,2.2738,2.3822,20571,0
20090701,2.3895,2.3895,2.3822,2.3822,4037,0
20090702,2.3822,2.5195,2.3822,2.5195,9370,0
20090703,2.5122,2.6709,2.4977,2.6421,21671,0
20090706,2.6494,2.6494,2.5267,2.5267,8450,0
20090707,2.5267,2.5627,2.4977,2.5554,5565,0
20090708,2.6494,2.6494,2.476,2.4905,2432,0
20090709,2.5267,2.5267,2.5267,2.5267,1,0
20090710,2.411,2.5051,2.3967,2.3967,15251,0
20090713,2.31,2.4399,2.2379,2.4399,1670,0
20090714,2.3462,2.3822,2.3462,2.3822,8722,0
20090715,2.3822,2.4399,2.3822,2.4399,1662,0
20090716,2.5122,2.5122,2.5122,2.5122,848,0
20090717,2.5122,2.5122,2.3822,2.4977,1392,0
20090720,2.4833,2.4905,2.4256,2.4833,8865,0
20090721,2.5195,2.5267,2.4905,2.4905,11223,0
20090722,2.4905,2.4905,2.4833,2.4833,262,0
20090723,2.476,2.4833,2.476,2.4833,1386,0
20090724,2.5267,2.5988,2.4833,2.5195,16268,0
20090727,2.5627,2.5627,2.5484,2.5484,14547,0
20090728,2.5267,2.5338,2.5267,2.5338,6134,0
20090730,2.7865,3.1836,2.7865,3.1836,25212,0
20090731,3.3928,3.4579,3.2123,3.4579,30899,0
20090803,3.4579,3.5011,3.4002,3.4362,12028,0
