Date,Open,High,Low,Close,Volume,OpenInt
20051124,6.4327,6.4507,6.4237,6.4327,32448,0
20051125,6.4417,6.4507,6.4417,6.4417,9115,0
20051128,6.3697,6.4687,6.3608,6.3697,11899,0
20051129,6.3967,6.4417,6.3967,6.3967,378,0
20051130,6.3787,6.4057,6.3787,6.3787,6682,0
20051201,6.3517,6.4147,6.3517,6.3517,3009,0
20051202,6.3247,6.3247,6.2798,6.3247,2837,0
20051205,6.2798,6.2798,6.2618,6.2798,777,0
20051206,6.2258,6.2978,6.2258,6.2258,1778,0
20051207,6.2168,6.2708,6.2168,6.2168,6253,0
20051208,6.2347,6.2618,6.2258,6.2347,7147,0
20051209,6.2618,6.2798,6.1268,6.2618,14140,0
20051212,6.0908,6.1539,6.0548,6.0908,7591,0
20051213,6.0548,6.1179,6.0548,6.0548,5113,0
20051214,5.9108,6.0279,5.722,5.9108,9925,0
20051215,5.9378,6.0728,5.9378,5.9378,12653,0
20051216,5.9378,5.9828,5.9378,5.9378,5278,0
20051219,6.1628,6.2347,6.0009,6.1628,209608,0
20051220,6.0728,6.1628,6.0639,6.0728,1990,0
20051221,6.1539,6.2258,6.1179,6.1539,320334,0
20051222,6.0908,6.1808,6.0728,6.0908,2312,0
20051223,6.0639,6.0999,6.0459,6.0639,5913,0
20051227,6.1087,6.1087,6.0999,6.1087,445,0
20051228,6.1719,6.1719,6.1719,6.1719,555,0
20060103,6.1358,6.1719,6.1358,6.1358,266,0
20060104,6.0908,6.1268,6.0908,6.0908,53151,0
20060105,6.0368,6.1179,6.0368,6.0368,25508,0
20060106,6.0999,6.0999,6.0548,6.0999,2757,0
20060109,6.0819,6.0819,5.9919,6.0819,80875,0
20060110,6.1087,6.1087,6.0459,6.1087,3896,0
20060111,6.1808,6.2078,6.0999,6.1808,25991,0
20060112,6.2618,6.2798,6.2258,6.2618,235706,0
20060113,6.2438,6.2438,6.2438,6.2438,4490,0
20060116,6.2618,6.2798,6.2438,6.2618,7804,0
20060117,6.3517,6.3608,6.3158,6.3517,13036,0
20060118,6.3787,6.3877,6.3517,6.3787,15372,0
20060119,6.3697,6.3877,6.3427,6.3697,101292,0
20060120,6.3427,6.3608,6.3337,6.3427,54070,0
20060123,6.3608,6.3608,6.3247,6.3608,54737,0
20060124,6.3517,6.3697,6.3247,6.3517,17674,0
20060125,6.3427,6.3427,6.3247,6.3427,7908,0
20060126,6.3608,6.3787,6.3427,6.3608,7694,0
20060127,6.3877,6.3967,6.3697,6.3877,18349,0
20060130,6.3877,6.4776,6.3877,6.3877,24387,0
20060131,6.5047,6.5047,6.4147,6.5047,98670,0
20060201,6.5316,6.6036,6.4956,6.5316,144142,0
20060202,6.6216,6.6216,6.5588,6.6216,18313,0
20060203,6.6306,6.6306,6.5588,6.6306,15758,0
20060206,6.5676,6.6577,6.5316,6.5676,47310,0
20060207,6.6396,6.6666,6.6036,6.6396,50431,0
20060208,6.6756,6.6847,6.6756,6.6756,3446,0
20060209,6.6216,6.6216,6.6036,6.6216,48458,0
20060210,6.6216,6.6216,6.5857,6.6216,63462,0
20060213,6.7026,6.7206,6.6396,6.7026,66143,0
20060214,6.7117,6.7117,6.6306,6.7117,20174,0
20060215,6.7117,6.7387,6.6936,6.7117,28156,0
20060216,6.7656,6.8107,6.6396,6.7656,1131799,0
20060217,6.7746,6.7926,6.6936,6.7746,13349,0
20060220,6.8466,6.8826,6.8287,6.8466,45796,0
20060221,6.9365,6.9365,6.8826,6.9365,99052,0
20060222,7.0355,7.0355,6.9185,7.0355,9661,0
20060223,6.9276,7.0085,6.8826,6.9276,23759,0
20060224,6.9365,6.9724,6.8466,6.9365,191545,0
20060227,6.9816,6.9816,6.8376,6.9816,35067,0
20060228,6.9816,7.0265,6.9816,6.9816,60917,0
20060301,6.9995,7.0085,6.9455,6.9995,33446,0
20060302,6.9724,6.9995,6.9636,6.9724,6797,0
20060306,7.1615,7.2244,7.0895,7.1615,50634,0
20060307,7.3144,7.3234,7.1974,7.3144,143083,0
20060308,7.4853,7.4853,7.3594,7.4853,65422,0
20060309,7.2964,7.4314,7.2964,7.2964,15634,0
20060310,7.3234,7.3954,7.2695,7.3234,41625,0
20060313,7.3864,7.3864,7.3504,7.3864,65725,0
20060314,7.2874,7.3234,7.2515,7.2874,8932,0
20060315,7.2604,7.3414,7.2515,7.2604,59192,0
20060316,7.2784,7.2784,7.2515,7.2784,4925,0
20060317,7.2604,7.2784,7.2515,7.2604,694,0
20060320,7.2784,7.3324,7.2695,7.2784,28501,0
20060321,7.3144,7.3234,7.2874,7.3144,92909,0
20060322,7.2604,7.3234,7.2604,7.2604,18878,0
20060323,7.2244,7.2604,7.2244,7.2244,11804,0
20060324,7.2064,7.2335,7.1255,7.2064,21930,0
20060327,7.3324,7.3414,7.2964,7.3324,1594,0
20060328,7.2964,7.3234,7.2964,7.2964,784,0
20060329,7.3594,7.3954,7.3234,7.3594,46059,0
20060330,7.3594,7.3684,7.3234,7.3594,47728,0
20060331,7.3324,7.3324,7.3144,7.3324,1183,0
20060403,7.3684,7.3684,7.3144,7.3684,4367,0
20060404,7.4853,7.4853,7.4134,7.4853,214798,0
20060405,7.5033,7.5033,7.4674,7.5033,120313,0
20060406,7.6383,7.6652,7.5303,7.6383,49720,0
20060407,7.6923,7.7372,7.6563,7.6923,62995,0
20060410,7.8631,7.9172,7.6383,7.8631,23680,0
20060411,7.9443,7.9712,7.8362,7.9443,9988,0
20060412,7.9351,7.9622,7.8811,7.9351,8390,0
20060413,7.8902,7.9082,7.8542,7.8902,3496,0
20060414,7.9443,7.9443,7.8723,7.9443,74180,0
20060417,7.7912,7.8452,7.7822,7.7912,4990,0
20060418,7.7463,7.8631,7.7013,7.7463,26516,0
20060419,7.6652,7.7642,7.6652,7.6652,48210,0
20060420,7.6204,7.6473,7.5752,7.6204,10406,0
20060421,7.6383,7.6832,7.5752,7.6383,30722,0
20060425,7.6383,7.6383,7.5932,7.6383,3070,0
20060426,7.7013,7.7013,7.6383,7.7013,52426,0
20060427,7.7102,7.7463,7.6832,7.7102,114019,0
20060428,7.6563,7.7013,7.6563,7.6563,119249,0
20060502,7.5663,7.5752,7.5663,7.5663,1439,0
20060503,7.5123,7.5214,7.4403,7.5123,10560,0
20060504,7.4674,7.5214,7.4674,7.4674,2667,0
20060505,7.4943,7.5393,7.4943,7.4943,20073,0
20060508,7.5033,7.5752,7.5033,7.5033,7625,0
20060509,7.6292,7.6292,7.5932,7.6292,1509,0
20060510,7.6652,7.6652,7.6112,7.6652,5448,0
20060511,7.7102,7.7822,7.6563,7.7102,22044,0
20060512,7.7642,7.8452,7.7642,7.7642,2545,0
20060515,7.8542,7.8723,7.8183,7.8542,7908,0
20060516,7.7912,7.7912,7.7822,7.7912,1557,0
20060517,7.9263,7.9263,7.9263,7.9263,1557,0
20060518,7.9351,7.9443,7.9351,7.9351,66450,0
20060519,7.8811,7.8902,7.8723,7.8811,39018,0
20060522,7.8542,7.8811,7.8362,7.8542,5935,0
20060523,7.7282,7.8362,7.7282,7.7282,33298,0
20060525,7.6563,7.8183,7.6383,7.6563,12349,0
20060526,7.6023,7.6292,7.5932,7.6023,14496,0
20060529,7.6292,7.6652,7.5572,7.6292,46151,0
20060530,7.4224,7.6112,7.4224,7.4224,29355,0
20060531,7.7102,7.7102,7.5572,7.7102,4537,0
20060601,7.7102,7.7642,7.6923,7.7102,15622,0
20060602,7.8183,7.8452,7.7193,7.8183,10350,0
20060605,7.8723,7.9263,7.8723,7.8723,1647,0
20060606,7.9263,7.9263,7.8902,7.9263,919,0
20060607,7.8811,7.8811,7.8542,7.8811,2227,0
20060608,7.8092,7.9443,7.8092,7.8092,147451,0
20060609,7.8092,7.8183,7.8092,7.8092,734,0
20060612,7.8811,8.0881,7.8811,7.8811,16917,0
20060613,7.9532,7.9532,7.9082,7.9532,9697,0
20060614,7.9982,7.9982,7.9892,7.9982,6091,0
20060615,8.0792,8.0881,8.0701,8.0792,13150,0
20060616,8.0792,8.0792,8.0611,8.0792,3380,0
20060619,8.0701,8.0792,8.0521,8.0701,9017,0
20060620,8.0252,8.0611,8.0252,8.0252,13788,0
20060621,8.0341,8.0341,7.6563,8.0341,150360,0
20060622,8.0792,8.0792,8.0341,8.0792,256847,0
20060623,8.1151,8.133,8.1061,8.1151,120007,0
20060626,8.1511,8.1511,8.0881,8.1511,2094,0
20060627,8.1061,8.1061,8.0701,8.1061,10937,0
20060628,8.0881,8.1061,8.0881,8.0881,1000,0
