Date,Open,High,Low,Close,Volume,OpenInt
20000426,1.1317,1.1317,1.1317,1.1317,897445,0
20000427,1.077,1.077,1.077,1.077,292286,0
20000428,1.0587,1.0587,1.0587,1.0587,250939,0
20000504,1.0222,1.0222,1.0222,1.0222,177986,0
20000505,1.004,1.004,1.004,1.004,74829,0
20000508,0.9767,0.9767,0.9767,0.9767,57717,0
20000509,0.9218,0.9218,0.9218,0.9218,73788,0
20000510,0.9037,0.9037,0.9037,0.9037,116301,0
20000511,0.8944,0.8944,0.8944,0.8944,82471,0
20000512,0.9037,0.9037,0.9037,0.9037,123401,0
20000515,0.9037,0.9037,0.9037,0.9037,95107,0
20000516,0.931,0.931,0.931,0.931,53802,0
20000517,0.9674,0.9674,0.9674,0.9674,76706,0
20000518,0.9856,0.9856,0.9856,0.9856,21613,0
20000519,1.0131,1.0131,1.0131,1.0131,73146,0
20000522,0.9949,0.9949,0.9949,0.9949,79870,0
20000523,0.9492,0.9492,0.9492,0.9492,70240,0
20000524,0.9037,0.9037,0.9037,0.9037,85534,0
20000525,0.9127,0.9127,0.9127,0.9127,31231,0
20000526,0.931,0.931,0.931,0.931,6216,0
20000529,0.931,0.931,0.931,0.931,80031,0
20000530,0.931,0.931,0.931,0.931,36850,0
20000531,0.9492,0.9492,0.9492,0.9492,33774,0
20000601,0.9402,0.9402,0.9402,0.9402,29670,0
20000602,0.9492,0.9492,0.9492,0.9492,43620,0
20000605,0.9402,0.9402,0.9402,0.9402,65333,0
20000606,0.931,0.931,0.931,0.931,26234,0
20000607,0.9218,0.9218,0.9218,0.9218,28258,0
20000608,0.931,0.931,0.931,0.931,45214,0
20000609,0.9218,0.9218,0.9218,0.9218,13281,0
20000612,0.9037,0.9037,0.9037,0.9037,42580,0
20000613,0.8763,0.8763,0.8763,0.8763,131323,0
20000614,0.931,0.931,0.931,0.931,57648,0
20000615,0.9037,0.9037,0.9037,0.9037,22018,0
20000616,0.9037,0.9037,0.9037,0.9037,23114,0
20000619,0.9127,0.9127,0.9127,0.9127,13563,0
20000620,0.9037,0.9037,0.9037,0.9037,8590,0
20000621,0.9127,0.9127,0.9127,0.9127,7911,0
20000623,0.931,0.931,0.931,0.931,37357,0
20000626,0.931,0.931,0.931,0.931,28158,0
20000627,0.931,0.931,0.931,0.931,63774,0
20000628,0.8854,0.8854,0.8854,0.8854,24867,0
20000629,0.9037,0.9037,0.9037,0.9037,12153,0
20000630,0.8854,0.8854,0.8854,0.8854,8272,0
20000703,0.867,0.867,0.867,0.867,35865,0
20000704,0.8854,0.8854,0.8854,0.8854,169812,0
20000705,0.9218,0.9218,0.9218,0.9218,160894,0
20000706,0.9583,0.9583,0.9583,0.9583,115182,0
20000707,0.9492,0.9492,0.9492,0.9492,95854,0
20000710,0.9218,0.9218,0.9218,0.9218,7911,0
20000711,0.931,0.931,0.931,0.931,43810,0
20000712,0.9037,0.9037,0.9037,0.9037,20742,0
20000713,0.9218,0.9218,0.9218,0.9218,18583,0
20000714,0.9127,0.9127,0.9127,0.9127,7866,0
20000717,0.9218,0.9218,0.9218,0.9218,19217,0
20000718,0.9127,0.9127,0.9127,0.9127,46796,0
20000719,0.9127,0.9127,0.9127,0.9127,38249,0
20000720,0.9218,0.9218,0.9218,0.9218,15031,0
20000721,1.004,1.004,1.004,1.004,358944,0
20000724,0.9949,0.9949,0.9949,0.9949,191152,0
20000725,1.0131,1.0131,1.0131,1.0131,240823,0
20000726,1.1226,1.1226,1.1226,1.1226,971606,0
20000727,1.1226,1.1226,1.1226,1.1226,250280,0
20000728,1.1044,1.1044,1.1044,1.1044,81712,0
20000731,1.0405,1.0405,1.0405,1.0405,147217,0
20000801,1.0681,1.0681,1.0681,1.0681,148575,0
20000802,1.0952,1.0952,1.0952,1.0952,122429,0
20000803,1.0952,1.0952,1.0952,1.0952,172459,0
20000804,1.077,1.077,1.077,1.077,87419,0
20000807,1.0314,1.0314,1.0314,1.0314,115940,0
20000808,1.0952,1.0952,1.0952,1.0952,128633,0
20000809,1.0862,1.0862,1.0862,1.0862,58214,0
20000810,1.1135,1.1135,1.1135,1.1135,236129,0
20000811,1.1044,1.1044,1.1044,1.1044,123909,0
20000814,1.1592,1.1592,1.1592,1.1592,86371,0
20000816,1.2779,1.2779,1.2779,1.2779,235339,0
20000817,1.2594,1.2594,1.2594,1.2594,220238,0
20000818,1.2869,1.2869,1.2869,1.2869,268030,0
20000821,1.2594,1.2594,1.2594,1.2594,110774,0
20000822,1.2413,1.2413,1.2413,1.2413,166388,0
20000823,1.2229,1.2229,1.2229,1.2229,61729,0
20000824,1.2049,1.2049,1.2049,1.2049,95231,0
20000825,1.1683,1.1683,1.1683,1.1683,131550,0
20000828,1.2229,1.2229,1.2229,1.2229,86223,0
20000829,1.1866,1.1866,1.1866,1.1866,31310,0
20000830,1.15,1.15,1.15,1.15,88812,0
20000831,1.1774,1.1774,1.1774,1.1774,65561,0
20000901,1.1955,1.1955,1.1955,1.1955,51692,0
20000904,1.2229,1.2229,1.2229,1.2229,162786,0
20000905,1.214,1.214,1.214,1.214,35311,0
20000906,1.2323,1.2323,1.2323,1.2323,35414,0
20000907,1.2413,1.2413,1.2413,1.2413,126905,0
20000908,1.2413,1.2413,1.2413,1.2413,77734,0
20000911,1.2229,1.2229,1.2229,1.2229,48943,0
20000912,1.2049,1.2049,1.2049,1.2049,40917,0
20000913,1.2413,1.2413,1.2413,1.2413,28676,0
20000914,1.2413,1.2413,1.2413,1.2413,25115,0
20000915,1.2323,1.2323,1.2323,1.2323,37221,0
20000918,1.2049,1.2049,1.2049,1.2049,50854,0
20000919,1.2049,1.2049,1.2049,1.2049,54753,0
20000920,1.214,1.214,1.214,1.214,43935,0
20000921,1.2049,1.2049,1.2049,1.2049,25670,0
20000922,1.1866,1.1866,1.1866,1.1866,171339,0
20000925,1.2049,1.2049,1.2049,1.2049,70883,0
20000926,1.2504,1.2504,1.2504,1.2504,119736,0
20000927,1.2413,1.2413,1.2413,1.2413,171509,0
20000928,1.2323,1.2323,1.2323,1.2323,57884,0
20000929,1.214,1.214,1.214,1.214,24584,0
20001002,1.2323,1.2323,1.2323,1.2323,50673,0
20001003,1.2229,1.2229,1.2229,1.2229,50369,0
20001004,1.214,1.214,1.214,1.214,21236,0
20001005,1.2229,1.2229,1.2229,1.2229,16999,0
20001006,1.2229,1.2229,1.2229,1.2229,32216,0
20001009,1.2049,1.2049,1.2049,1.2049,7233,0
20001010,1.1866,1.1866,1.1866,1.1866,25782,0
20001011,1.1409,1.1409,1.1409,1.1409,38791,0
