Date,Open,High,Low,Close,Volume,OpenInt
19970806,20.84,20.84,20.84,20.84,27376,0
19970807,20.84,20.84,20.84,20.84,34957,0
19970808,21.927,21.927,21.927,21.927,19591,0
19970811,22.502,22.502,22.502,22.502,48030,0
19970812,21.59,21.59,21.59,21.59,4326,0
19970813,22.338,22.338,22.338,22.338,15264,0
19970814,20.924,20.924,20.924,20.924,10133,0
19970818,20.84,20.84,20.84,20.84,6479,0
19970819,20.175,20.175,20.175,20.175,5677,0
19970820,20.676,20.676,20.676,20.676,3991,0
19970821,20.586,20.586,20.586,20.586,4955,0
19970822,20.001,20.001,20.001,20.001,2524,0
19970825,20.175,20.175,20.175,20.175,6814,0
19970826,19.919,19.919,19.919,19.919,13782,0
19970827,18.925,18.925,18.925,18.925,7284,0
19970828,19.591,19.591,19.591,19.591,23429,0
19970829,19.591,19.591,19.591,19.591,6550,0
19970901,19.591,19.591,19.591,19.591,8373,0
19970902,19.171,19.171,19.171,19.171,2353,0
19970903,19.591,19.591,19.591,19.591,8329,0
19970904,19.591,19.591,19.591,19.591,6200,0
19970905,19.171,19.171,19.171,19.171,5999,0
19970908,19.171,19.171,19.171,19.171,3318,0
19970909,19.591,19.591,19.591,19.591,6973,0
19970910,19.509,19.509,19.509,19.509,3832,0
19970911,18.925,18.925,18.925,18.925,6606,0
19970912,19.007,19.007,19.007,19.007,4282,0
19970915,18.925,18.925,18.925,18.925,23150,0
19970916,19.007,19.007,19.007,19.007,9581,0
19970917,17.173,17.173,17.173,17.173,3537,0
19970918,17.09,17.09,17.09,17.09,29091,0
19970919,17.173,17.173,17.173,17.173,4794,0
19970922,17.501,17.501,17.501,17.501,2847,0
19970923,18.086,18.086,18.086,18.086,4419,0
19970924,17.921,17.921,17.921,17.921,2850,0
19970925,17.501,17.501,17.501,17.501,2995,0
19970926,17.09,17.09,17.09,17.09,6282,0
19970929,17.09,17.09,17.09,17.09,3107,0
19970930,17.09,17.09,17.09,17.09,4438,0
19971001,17.419,17.419,17.419,17.419,4501,0
19971002,17.501,17.501,17.501,17.501,8626,0
19971003,17.255,17.255,17.255,17.255,9273,0
19971006,17.09,17.09,17.09,17.09,10441,0
19971007,16.917,16.917,16.917,16.917,6057,0
19971008,16.671,16.671,16.671,16.671,26585,0
19971009,17.09,17.09,17.09,17.09,15049,0
19971010,17.255,17.255,17.255,17.255,11644,0
19971013,17.501,17.501,17.501,17.501,3044,0
19971014,18.003,18.003,18.003,18.003,8799,0
19971015,18.341,18.341,18.341,18.341,8888,0
19971016,18.751,18.751,18.751,18.751,14861,0
19971017,19.171,19.171,19.171,19.171,22823,0
19971020,19.171,19.171,19.171,19.171,14694,0
19971021,20.093,20.093,20.093,20.093,27495,0
19971022,21.088,21.088,21.088,21.088,47933,0
19971023,20.84,20.84,20.84,20.84,28105,0
19971024,20.586,20.586,20.586,20.586,50415,0
19971027,19.509,19.509,19.509,19.509,20906,0
19971028,17.593,17.593,17.593,17.593,0,0
19971029,19.007,19.007,19.007,19.007,43508,0
19971030,18.843,18.843,18.843,18.843,27480,0
19971031,19.254,19.254,19.254,19.254,10483,0
19971103,20.001,20.001,20.001,20.001,4836,0
19971104,20.84,20.84,20.84,20.84,42363,0
19971105,20.84,20.84,20.84,20.84,30996,0
19971106,20.175,20.175,20.175,20.175,7018,0
19971107,20.001,20.001,20.001,20.001,7862,0
19971112,19.335,19.335,19.335,19.335,14687,0
19971113,19.335,19.335,19.335,19.335,15931,0
19971114,19.673,19.673,19.673,19.673,12316,0
19971117,20.001,20.001,20.001,20.001,14374,0
19971118,20.34,20.34,20.34,20.34,23075,0
19971119,19.418,19.418,19.418,19.418,2194,0
19971120,20.001,20.001,20.001,20.001,10957,0
19971121,20.34,20.34,20.34,20.34,23224,0
19971124,20.421,20.421,20.421,20.421,20176,0
19971125,20.001,20.001,20.001,20.001,25942,0
19971126,20.175,20.175,20.175,20.175,15100,0
19971127,19.838,19.838,19.838,19.838,9979,0
19971128,20.001,20.001,20.001,20.001,9739,0
19971201,20.258,20.258,20.258,20.258,10577,0
19971202,20.676,20.676,20.676,20.676,17613,0
19971203,20.586,20.586,20.586,20.586,19307,0
19971204,20.676,20.676,20.676,20.676,10170,0
19971205,20.84,20.84,20.84,20.84,40155,0
19971208,20.924,20.924,20.924,20.924,14535,0
19971209,20.84,20.84,20.84,20.84,19607,0
19971210,20.34,20.34,20.34,20.34,11187,0
19971211,19.756,19.756,19.756,19.756,16342,0
19971212,19.756,19.756,19.756,19.756,13697,0
19971215,20.421,20.421,20.421,20.421,4820,0
19971216,20.84,20.84,20.84,20.84,16315,0
19971217,20.84,20.84,20.84,20.84,15260,0
19971218,20.258,20.258,20.258,20.258,4373,0
19971219,20.093,20.093,20.093,20.093,4727,0
19971222,19.673,19.673,19.673,19.673,6591,0
19971223,19.591,19.591,19.591,19.591,3832,0
19971229,20.093,20.093,20.093,20.093,5013,0
19971230,20.504,20.504,20.504,20.504,18144,0
19971231,20.586,20.586,20.586,20.586,10790,0
19980105,20.76,20.76,20.76,20.76,11014,0
19980106,20.175,20.175,20.175,20.175,4416,0
19980107,19.335,19.335,19.335,19.335,4574,0
19980108,19.591,19.591,19.591,19.591,5399,0
19980109,19.418,19.418,19.418,19.418,5793,0
19980112,18.506,18.506,18.506,18.506,2936,0
19980113,18.843,18.843,18.843,18.843,37783,0
19980114,19.254,19.254,19.254,19.254,2150,0
19980115,18.925,18.925,18.925,18.925,1444,0
19980116,19.254,19.254,19.254,19.254,14371,0
19980119,19.673,19.673,19.673,19.673,20090,0
19980120,19.673,19.673,19.673,19.673,17120,0
19980121,20.001,20.001,20.001,20.001,4013,0
19980122,19.254,19.254,19.254,19.254,4028,0
