Date,Open,High,Low,Close,Volume,OpenInt
20071205,38.178,40.086,37.223,37.318,4793,0
20071206,38.798,38.798,37.271,38.464,1154,0
20071207,38.511,38.511,38.178,38.502,752,0
20071210,38.75,38.75,37.699,38.559,213,0
20071211,38.702,40.086,38.702,40.086,283,0
20071212,40.086,42.091,40.086,42.091,455,0
20071213,43.522,43.522,43.522,43.522,24,0
20071214,46.099,46.289,41.995,43.522,1434,0
20071217,43.332,43.332,41.709,42.949,336,0
20071218,42.949,42.949,42.949,42.949,10,0
20071219,43.809,43.809,41.995,41.995,141,0
20071220,41.709,41.709,40.373,40.468,1205,0
20071221,40.133,42.091,40.133,42.091,136,0
20071227,41.995,43.427,41.995,43.427,200,0
20071228,43.809,43.809,43.809,43.809,1,0
20080102,43.904,43.904,43.809,43.809,226,0
20080103,42.949,42.949,41.995,42.949,492,0
20080107,40.42,42.472,40.42,42.472,640,0
20080109,41.422,41.518,41.041,41.518,1204,0
20080110,41.518,41.518,41.518,41.518,744,0
20080111,41.518,41.518,41.518,41.518,92,0
20080115,40.563,41.518,40.563,40.563,118,0
20080116,38.178,38.178,36.746,36.746,367,0
20080117,38.178,38.178,36.268,36.268,242,0
20080118,37.127,37.699,37.127,37.699,8299,0
20080121,37.699,37.699,37.699,37.699,315,0
20080122,37.223,37.223,37.223,37.223,1175,0
20080123,37.223,39.131,37.223,39.131,5421,0
20080124,40.086,40.563,38.655,39.61,7119,0
20080125,39.131,39.61,39.131,39.61,2232,0
20080128,39.61,40.086,39.61,40.086,786,0
20080129,40.553,41.041,40.553,41.041,723,0
20080130,41.032,41.231,41.032,41.184,582,0
20080131,41.518,41.518,39.513,41.041,1579,0
20080201,41.518,41.995,41.518,41.995,1127,0
20080204,42.93,42.949,41.995,41.995,4029,0
20080205,42.472,42.94,41.995,42.94,8133,0
20080206,41.995,42.94,41.995,41.995,1394,0
20080207,42.377,42.377,42.377,42.377,156,0
20080208,42.358,42.377,40.563,41.995,9641,0
20080211,41.985,41.985,41.985,41.985,10,0
20080212,41.231,41.231,41.231,41.231,49,0
20080213,40.086,42.949,40.086,42.949,17078,0
20080214,42.949,43.855,42.949,42.949,3860,0
20080215,42.005,42.94,41.995,42.94,1257,0
20080218,42.091,43.904,41.518,43.894,3125,0
20080219,42.949,43.855,42.853,42.949,2933,0
20080220,43.188,43.236,43.188,43.236,1222,0
20080221,43.875,43.904,43.875,43.904,2403,0
20080222,43.522,44.19,43.522,44.19,28345,0
20080226,43.761,44.066,42.005,43.999,1566,0
20080227,43.122,43.904,43.122,43.904,549,0
20080228,43.799,43.799,42.949,42.949,221,0
20080229,42.005,42.005,41.041,41.041,846,0
20080303,40.182,41.088,40.182,41.088,603,0
20080304,41.041,41.041,40.468,40.468,10740,0
20080307,40.945,41.041,40.086,40.086,977,0
20080310,41.041,41.041,41.041,41.041,10,0
20080311,40.086,40.993,40.086,40.993,1124,0
20080312,40.563,40.563,40.563,40.563,11013,0
20080313,40.563,40.926,40.563,40.926,21,0
20080314,40.563,41.003,40.563,41.003,314,0
20080317,39.704,39.704,39.704,39.704,53,0
20080318,40.086,40.086,40.086,40.086,293,0
20080319,39.151,40.086,38.273,38.273,1084,0
20080320,39.131,39.131,38.178,38.178,215,0
20080325,39.61,39.61,39.6,39.61,136,0
20080326,39.991,39.991,39.61,39.61,54,0
20080327,39.131,39.6,37.223,39.6,2740,0
20080328,40.039,40.039,40.039,40.039,400,0
20080331,40.03,40.03,40.03,40.03,58,0
20080401,40.039,40.039,40.03,40.03,4,0
20080402,39.61,40.03,38.655,39.131,6480,0
20080403,39.131,39.513,38.178,38.178,1714,0
20080404,39.036,39.036,37.699,37.699,220,0
20080407,38.178,38.655,38.178,38.464,4506,0
20080408,37.271,39.131,37.271,39.131,1149,0
20080409,39.131,39.131,38.474,38.474,216,0
20080410,39.131,39.953,38.845,39.896,1784,0
20080411,39.896,39.896,39.61,39.61,471,0
20080414,39.704,39.704,38.178,38.178,2532,0
20080415,39.61,39.61,39.61,39.61,37,0
20080416,39.6,39.6,39.59,39.59,55,0
20080417,39.6,39.61,38.178,38.178,18974,0
20080418,39.113,39.113,38.368,38.368,5762,0
20080421,38.178,38.178,38.178,38.178,392,0
20080422,37.986,38.082,37.223,37.223,505,0
20080423,37.699,37.699,37.699,37.699,471,0
20080424,37.233,37.233,37.233,37.233,73,0
20080425,37.233,37.271,37.233,37.271,104,0
20080428,37.233,37.233,37.233,37.233,83,0
20080429,38.168,38.178,37.605,37.605,16783,0
20080430,37.223,37.223,37.223,37.223,739,0
20080505,37.233,37.233,37.223,37.223,251,0
20080506,37.223,37.223,37.223,37.223,71,0
20080507,37.681,37.681,37.681,37.681,21,0
20080508,37.223,37.223,37.223,37.223,21,0
20080509,37.699,37.699,37.223,37.223,80,0
20080512,36.287,36.287,36.268,36.268,10708,0
20080513,36.268,36.268,36.268,36.268,21,0
20080514,36.841,36.841,36.841,36.841,89,0
20080515,35.791,35.791,35.314,35.314,6705,0
20080516,35.314,35.314,35.314,35.314,10,0
20080519,35.314,35.314,35.314,35.314,290,0
20080520,35.314,35.314,35.314,35.314,25,0
20080521,34.36,34.36,33.882,33.882,5678,0
20080526,33.882,34.169,33.882,33.882,64,0
20080527,33.882,33.882,33.405,33.405,71,0
20080528,34.263,34.263,32.642,34.263,233,0
20080529,34.36,34.36,34.36,34.36,10,0
20080530,34.36,34.36,34.36,34.36,11,0
20080602,33.501,33.501,33.501,33.501,231,0
20080603,32.642,32.642,32.451,32.642,8833,0
20080604,31.973,31.973,30.541,31.973,579,0
20080605,32.451,32.451,32.451,32.451,10,0
20080606,33.31,33.31,33.31,33.31,10,0
20080609,33.74,33.74,32.259,33.691,94,0
20080610,32.259,32.259,32.259,32.259,236,0
20080611,31.878,32.451,30.828,32.451,408,0
20080612,31.02,31.02,31.02,31.02,305,0
20080613,31.02,32.069,31.02,32.069,276,0
20080616,32.451,32.451,32.451,32.451,10,0
20080617,32.451,32.451,31.02,32.451,183,0
20080618,31.02,31.02,31.02,31.02,2349,0
20080619,31.878,31.878,31.878,31.878,236,0
20080620,31.067,31.067,31.067,31.067,246,0
20080623,30.541,31.067,29.034,31.067,5586,0
20080624,32.069,32.546,32.069,32.546,518,0
20080626,34.073,34.073,34.073,34.073,231,0
20080627,34.245,34.245,34.245,34.245,10,0
20080630,34.837,34.837,34.35,34.35,631,0
20080701,33.787,33.787,33.787,33.787,11,0
20080702,34.456,34.456,34.456,34.456,11,0
20080703,34.646,34.646,34.636,34.636,137,0
20080704,34.932,34.932,34.932,34.932,12,0
20080707,34.837,34.837,33.701,33.701,42,0
20080708,34.216,34.263,33.882,33.882,115,0
20080709,34.598,34.598,34.598,34.598,11,0
20080710,34.588,34.598,34.588,34.598,11,0
20080711,33.977,33.977,33.977,33.977,11,0
20080714,34.35,34.36,34.35,34.36,11,0
20080715,33.644,34.35,33.644,34.35,26,0
20080716,34.35,34.36,34.35,34.36,1509,0
20080717,33.405,33.405,33.405,33.405,534,0
20080718,33.405,33.405,33.405,33.405,12,0
20080721,33.405,33.405,33.405,33.405,11,0
20080722,32.451,32.451,29.588,31.773,1471,0
20080723,31.773,31.773,31.773,31.773,11,0
20080724,31.773,31.783,31.773,31.783,11,0
20080725,31.783,31.783,31.783,31.783,11,0
