Date,Open,High,Low,Close,Volume,OpenInt
20130618,9.588,10.352,9.3498,10.285,446496,0
20130619,10.304,10.752,9.827,9.922,149096,0
20130620,9.817,10.018,9.798,9.922,48120,0
20130621,9.922,10.437,9.922,10.361,31223,0
20130624,10.38,10.437,10.208,10.304,45659,0
20130625,10.208,10.247,10.113,10.247,17764,0
20130626,10.113,10.208,9.932,10.208,12584,0
20130627,10.113,10.294,10.113,10.208,25288,0
20130628,10.285,10.485,9.951,10.485,49039,0
20130701,10.485,10.495,10.132,10.208,4294,0
20130702,10.113,10.313,9.922,10.313,14460,0
20130704,10.189,10.199,9.989,9.989,2366,0
20130705,9.941,9.97,9.827,9.97,4288,0
20130708,10.304,10.304,9.646,9.865,1647,0
20130709,9.951,9.951,9.646,9.827,5760,0
20130710,10.008,10.208,10.008,10.113,5085,0
20130711,10.18,11.191,10.113,11.163,30430,0
20130712,11.115,11.248,10.972,11.163,12800,0
20130715,11.83,11.83,11.468,11.611,19157,0
20130716,11.62,11.62,11.449,11.544,4874,0
20130717,11.449,11.544,11.258,11.258,3606,0
20130718,11.019,11.019,10.829,10.914,6244,0
20130719,10.876,11.201,10.876,11.201,2159,0
20130722,11.201,12.307,11.201,12.136,63362,0
20130723,12.202,12.975,12.202,12.546,49242,0
20130724,12.546,12.765,12.546,12.756,7705,0
20130725,12.651,13.233,12.651,13.233,33494,0
20130726,13.309,13.357,12.117,13.357,31274,0
20130729,13.357,13.357,13.166,13.252,14023,0
20130730,13.338,13.347,13.261,13.261,4049,0
20130731,13.357,13.452,12.928,13.071,21286,0
20130801,13.061,13.061,12.784,12.966,28414,0
20130802,12.928,13.309,12.813,13.309,24934,0
20130805,13.29,13.834,13.29,13.729,36623,0
20130806,14.025,14.025,13.653,13.729,34204,0
20130807,13.834,13.967,13.777,13.967,15160,0
20130808,14.12,14.435,14.12,14.435,68503,0
20130809,14.731,14.731,14.502,14.693,29693,0
20130812,14.74,14.769,14.311,14.483,12834,0
20130813,14.483,14.683,14.483,14.673,9084,0
20130814,14.788,14.788,14.273,14.311,31196,0
20130816,13.977,13.977,12.708,13.357,98084,0
20130819,13.357,13.357,12.412,13.118,130732,0
20130820,13.071,13.166,12.842,13.166,32036,0
20130821,13.252,13.452,13.195,13.338,45096,0
20130822,13.319,13.386,13.166,13.357,92876,0
20130823,13.357,13.357,13.176,13.347,21566,0
20130826,13.357,13.357,13.071,13.214,2959,0
20130827,13.214,13.338,12.784,13.071,121750,0
20130828,12.784,13.052,12.298,12.498,28837,0
20130829,12.307,12.307,11.83,12.031,20778,0
20130830,12.241,12.374,11.706,11.869,116634,0
20130902,11.973,12.641,11.83,12.441,14633,0
20130903,12.641,12.832,12.46,12.479,15689,0
20130904,12.641,12.641,11.926,12.26,6844,0
20130905,12.117,12.117,11.067,11.926,42218,0
20130906,11.659,12.212,11.659,12.212,10621,0
20130909,12.546,12.928,12.222,12.928,8844,0
20130910,12.947,13.347,12.947,13.261,17023,0
20130911,13.309,13.309,13.033,13.166,26728,0
20130912,13.137,13.137,12.975,12.975,210,0
20130913,12.861,13.042,12.861,13.033,908,0
