Date,Open,High,Low,Close,Volume,OpenInt
20070329,27.218,28.445,27.218,27.589,387990,0
20070330,25.686,27.113,25.686,26.894,124474,0
20070402,26.276,27.589,26.276,26.733,82585,0
20070403,27.009,27.009,26.41,26.733,31336,0
20070404,26.638,26.638,26.229,26.638,18323,0
20070405,26.638,26.638,26.266,26.352,20135,0
20070410,26.238,26.638,26.238,26.372,29289,0
20070411,26.828,26.828,26.352,26.352,16200,0
20070412,26.258,26.638,25.972,26.258,12854,0
20070413,26.447,26.638,26.41,26.619,21907,0
20070416,26.713,26.713,26.504,26.628,24533,0
20070417,26.628,26.685,26.352,26.352,23875,0
20070418,26.638,26.638,24.735,24.735,16371,0
20070419,25.296,25.296,23.793,24.593,15540,0
20070420,24.593,24.593,23.803,24.164,58434,0
20070423,24.697,24.697,22.357,23.212,62210,0
20070424,22.652,22.832,21.986,22.785,9674,0
20070425,22.49,22.49,21.947,22.262,17576,0
20070426,22.004,22.357,21.986,22.309,23429,0
20070427,22.946,26.638,22.166,24.26,64623,0
20070430,26.447,26.666,25.21,26.181,11100,0
20070502,26.438,26.552,25.401,25.696,2825,0
20070504,24.83,26.067,24.735,26.067,3427,0
20070507,26.114,27.484,26.067,27.484,42490,0
20070508,27.484,27.96,27.113,27.113,36511,0
20070509,27.399,27.684,27.018,27.684,36262,0
20070510,27.589,27.96,26.638,27.038,11000,0
20070511,26.676,27.056,25.324,27.056,3814,0
20070514,26.638,26.923,26.352,26.628,3756,0
20070515,27.113,27.304,25.876,27.304,8037,0
20070516,27.541,27.541,27.113,27.494,7103,0
20070517,27.399,27.494,26.266,27.494,10626,0
20070518,26.733,27.58,26.638,27.513,28976,0
20070521,27.922,31.375,27.922,30.415,151745,0
20070522,31.394,32.441,30.301,30.823,73495,0
20070523,30.89,31.68,30.51,31.347,12222,0
20070524,31.357,31.394,30.538,31.347,13982,0
20070525,31.394,31.585,30.823,31.394,24068,0
20070528,31.585,32.108,30.919,32.108,17755,0
20070529,32.108,32.108,31.404,31.87,32256,0
20070530,31.708,31.708,30.253,31.061,23528,0
20070531,31.385,32.441,31.385,32.346,30719,0
20070601,32.393,32.821,32.222,32.251,21600,0
20070604,31.822,32.717,30.871,32.631,46165,0
20070605,33.297,33.297,32.736,32.917,23327,0
20070606,33.107,33.107,31.585,32.346,12373,0
20070608,31.404,31.509,29.491,31.394,19949,0
20070611,32.127,32.955,31.727,32.45,9028,0
20070612,32.812,32.878,32.251,32.251,3364,0
20070613,32.155,32.155,31.423,31.432,1906,0
20070614,31.442,32.251,31.442,31.851,4188,0
20070615,32.346,32.346,30.938,30.967,6851,0
20070618,31.185,31.185,30.063,31.109,7071,0
20070619,30.919,31.87,30.823,31.87,7148,0
20070620,31.956,32.346,30.919,31.87,74877,0
20070621,30.928,31.708,30.443,31.014,4601,0
20070622,30.919,31.842,29.806,30.919,1334,0
20070625,29.501,31.489,29.501,31.394,3105,0
20070626,30.928,31.575,30.49,30.49,781,0
20070627,29.596,31.394,29.596,31.337,4714,0
20070628,30.205,30.538,29.968,29.968,10123,0
20070629,30.063,30.063,29.606,29.968,2987,0
20070702,30.396,30.396,27.779,28.569,1154,0
20070703,28.074,29.016,27.97,29.016,5783,0
20070704,28.588,29.824,28.531,29.824,5984,0
20070705,30.291,30.443,28.921,30.338,5310,0
20070706,30.443,31.68,29.111,31.394,54560,0
20070709,31.87,31.87,30.985,31.68,3233,0
20070710,32.251,32.346,31.061,32.232,20640,0
20070711,32.232,32.251,31.109,31.832,2654,0
20070712,31.87,31.966,31.394,31.394,4967,0
20070713,31.204,31.698,31.024,31.698,777,0
20070716,31.032,31.109,29.302,30.348,2663,0
20070717,28.54,29.968,28.54,29.968,760,0
20070718,31.004,31.004,28.683,30.976,2138,0
20070719,29.587,31.394,29.587,31.394,15487,0
20070720,31.775,31.775,30.453,31.394,3761,0
20070723,30.919,30.919,29.958,30.919,2734,0
20070724,29.644,31.014,29.644,30.728,14653,0
20070725,30.814,31.29,29.539,31.29,2705,0
20070726,30.443,31.29,30.443,31.28,3662,0
20070727,29.491,31.28,29.491,31.28,4481,0
20070730,30.443,31.109,30.443,31.109,2207,0
20070731,30.634,31.109,30.49,30.49,7639,0
20070801,30.443,31.394,30.443,31.109,2576,0
20070802,30.49,31.3,30.443,31.3,726,0
20070803,30.538,30.985,30.443,30.871,19870,0
20070806,29.596,30.823,29.596,30.814,7386,0
20070807,30.862,30.862,30.272,30.728,10809,0
20070808,30.443,30.443,30.205,30.443,7485,0
20070809,29.682,30.814,29.682,30.443,16192,0
20070810,29.872,30.443,28.94,29.444,4320,0
20070813,29.968,29.968,28.55,28.93,10787,0
20070814,28.731,29.968,28.112,28.122,7288,0
20070816,25.686,26.542,24.022,25.078,7645,0
20070817,22.832,26.067,21.405,26.067,5415,0
20070820,26.162,26.162,24.583,24.725,2448,0
20070821,25.202,25.202,22.69,23.308,1244,0
20070822,23.783,24.64,22.832,24.26,2627,0
20070823,24.83,25.202,24.421,25.115,1099,0
20070824,25.21,25.21,24.26,24.954,313,0
20070827,25.021,25.391,24.26,24.782,2952,0
20070828,25.629,25.629,24.355,25.401,3187,0
20070829,24.268,25.373,24.268,25.306,400,0
20070830,25.582,25.582,24.317,24.449,1853,0
20070831,25.391,25.62,24.487,24.487,2378,0
20070903,25.667,25.667,24.554,24.839,2509,0
20070904,25.592,25.686,25.163,25.592,42847,0
20070905,26.447,26.447,25.04,25.401,70,0
20070906,26.152,26.152,25.42,26.086,433,0
20070907,26.105,27.056,25.115,25.115,2585,0
20070910,24.83,25.153,24.402,24.963,13261,0
20070911,24.64,24.926,23.917,24.926,2099,0
20070912,24.211,25.21,24.193,24.716,312,0
20070913,24.707,24.707,23.783,24.297,2622,0
20070914,24.05,24.782,23.821,24.782,1733,0
20070917,24.554,24.554,24.335,24.335,43,0
20070918,23.793,23.793,22.937,23.212,866,0
20070919,24.345,24.345,22.832,22.832,8373,0
20070920,22.823,22.832,22.119,22.823,12229,0
20070921,22.081,23.261,22.081,22.832,10962,0
20070924,22.652,23.441,22.652,22.814,11558,0
20070925,22.652,23.013,22.642,22.785,550,0
20070926,23.393,23.393,22.642,22.69,4485,0
20070927,22.699,22.832,22.699,22.832,4055,0
20070928,22.699,22.727,22.452,22.727,10371,0
20071001,23.07,23.07,22.357,22.604,478,0
20071002,22.357,22.832,22.357,22.595,653,0
20071003,22.832,22.832,21.976,22.575,757,0
20071004,22.737,22.737,22.071,22.071,1381,0
20071005,22.071,22.814,21.786,21.786,2850,0
20071008,22.166,22.642,21.805,21.852,2403,0
20071009,22.052,22.052,21.025,21.405,3364,0
20071010,22.043,22.043,21.053,21.263,1181,0
20071011,21.386,21.786,20.739,21.329,5386,0
20071012,21.862,22.928,21.862,22.366,70821,0
20071015,22.718,23.212,21.415,22.832,15733,0
20071016,23.308,23.689,22.404,23.689,4096,0
20071017,23.574,24.012,23.403,23.974,13627,0
20071018,23.993,24.735,23.993,24.355,6098,0
20071019,24.926,26.352,23.783,24.839,7625,0
20071022,24.355,25.296,24.26,24.355,4266,0
20071023,24.954,24.954,22.871,24.449,11500,0
20071024,24.355,24.355,23.403,23.498,5847,0
20071025,23.717,23.717,22.357,22.879,6063,0
20071026,22.595,23.403,21.9,21.9,5968,0
20071029,21.89,22.832,19.978,19.978,8772,0
20071030,20.873,20.873,19.978,20.825,9639,0
20071031,20.93,21.405,20.454,21.405,3880,0
20071102,21.12,21.12,19.531,19.978,8371,0
20071105,20.635,20.635,19.978,19.978,5608,0
20071106,20.55,20.55,19.693,19.978,2559,0
