Date,Open,High,Low,Close,Volume,OpenInt
20001120,20.629,20.693,18.557,18.811,95629,0
20001121,18.811,18.811,18.368,18.747,11485,0
20001122,18.495,18.495,18.183,18.431,5629,0
20001123,18.31,18.31,17.931,17.931,7714,0
20001124,18.183,18.431,18.058,18.431,6676,0
20001127,18.495,18.495,18.183,18.368,7990,0
20001128,18.058,18.058,17.747,17.994,4732,0
20001129,17.747,17.747,17.366,17.366,1753,0
20001130,16.929,16.929,15.238,16.175,12837,0
20001201,15.865,16.738,15.865,16.175,3061,0
20001204,16.303,16.303,15.675,15.801,19529,0
20001205,15.986,16.239,15.929,16.239,13363,0
20001206,16.676,17.557,16.676,17.43,8211,0
20001207,17.12,17.557,16.929,17.557,3081,0
20001208,17.302,17.684,16.929,17.366,2298,0
20001211,17.177,17.684,17.177,17.494,2312,0
20001212,17.24,17.494,16.929,17.494,861,0
20001213,16.929,17.24,16.929,16.992,3130,0
20001214,16.929,17.24,16.929,17.24,1874,0
20001215,17.302,17.302,16.929,16.929,1021,0
20001218,16.676,16.676,15.986,15.986,510,0
20001219,16.175,16.866,15.675,16.866,1592,0
20001220,16.803,16.803,16.303,16.303,2441,0
20001221,16.549,16.549,16.492,16.492,797,0
20001222,16.112,16.929,16.112,16.676,8244,0
20001227,16.929,16.929,16.929,16.929,463,0
20001228,16.929,16.929,16.365,16.929,2258,0
20001229,16.613,16.803,16.613,16.803,1914,0
20010103,15.675,16.303,15.675,15.801,1102,0
20010104,16.303,16.303,15.986,15.986,1957,0
20010105,15.986,15.986,15.739,15.986,2149,0
20010108,15.048,15.612,15.048,15.548,2145,0
20010109,15.11,15.548,15.11,15.548,1291,0
20010110,15.675,15.675,15.048,15.048,2089,0
20010111,15.11,15.11,14.611,15.048,2244,0
20010112,15.048,15.048,14.674,14.674,2391,0
20010115,14.42,14.42,12.792,13.546,2738,0
20010116,13.166,13.293,12.602,13.293,15611,0
20010117,13.166,15.175,13.166,15.048,5168,0
20010118,15.175,15.929,14.794,15.612,7357,0
20010119,15.675,15.675,15.484,15.675,2372,0
20010122,15.612,15.612,15.175,15.484,1649,0
20010123,15.048,15.238,14.794,14.794,2115,0
20010124,14.858,15.484,14.858,15.422,133,0
20010125,15.048,15.302,15.048,15.048,1764,0
20010126,14.794,15.048,14.546,15.048,1662,0
20010129,14.674,14.674,13.857,14.23,190,0
20010130,14.42,14.92,14.168,14.168,2116,0
20010131,14.357,14.794,14.357,14.794,2,0
20010201,14.674,14.736,14.42,14.42,515,0
20010202,14.42,14.736,14.42,14.546,468,0
20010205,14.42,14.484,14.42,14.42,4339,0
20010206,14.42,14.42,14.168,14.168,1166,0
20010207,14.11,14.11,13.983,13.983,2165,0
20010208,13.857,14.11,13.483,13.483,9210,0
20010209,14.42,15.484,13.604,13.92,27622,0
20010212,14.357,14.357,14.047,14.047,1453,0
20010213,14.11,14.42,14.11,14.42,918,0
20010214,14.484,14.484,14.42,14.42,1117,0
20010215,15.048,15.612,14.736,15.548,3801,0
20010216,15.484,15.484,14.546,14.546,2327,0
20010219,14.294,15.612,14.294,15.612,637,0
20010220,15.048,15.238,15.048,15.11,887,0
20010221,15.302,15.302,13.983,14.11,2155,0
20010222,14.11,14.168,14.11,14.168,535,0
20010223,14.736,14.736,14.42,14.42,5197,0
20010226,14.484,14.484,14.484,14.484,319,0
20010227,14.736,14.736,14.42,14.484,3188,0
20010228,14.42,14.736,14.42,14.484,1248,0
20010301,14.611,14.611,14.611,14.611,287,0
20010302,14.546,14.546,14.047,14.11,3057,0
20010305,14.168,14.42,14.168,14.42,440,0
20010306,14.42,14.674,14.42,14.42,1755,0
20010307,13.794,14.42,13.666,14.42,425,0
20010308,13.983,14.42,13.983,14.42,2629,0
20010309,14.11,14.42,13.483,14.42,1425,0
20010312,13.666,14.294,13.666,13.857,2991,0
20010313,13.794,14.11,13.794,13.983,4727,0
20010314,13.92,14.11,13.794,13.857,4500,0
20010315,14.047,14.736,14.047,14.736,2413,0
20010316,14.23,14.42,14.23,14.42,2153,0
20010319,14.42,14.42,14.42,14.42,288,0
20010320,14.42,14.736,14.42,14.546,2877,0
20010321,13.794,14.42,13.794,14.42,1706,0
20010322,14.11,14.11,14.11,14.11,1520,0
20010323,14.11,14.484,14.11,14.484,1382,0
20010326,14.736,15.612,14.736,15.048,1196,0
20010327,14.736,14.984,14.168,14.984,1761,0
20010328,14.92,15.358,14.92,14.92,7142,0
20010329,14.42,14.42,14.42,14.42,15,0
20010330,15.048,15.175,15.048,15.175,1993,0
20010402,15.484,15.484,15.358,15.358,192,0
20010403,14.736,14.736,14.736,14.736,797,0
20010404,14.484,15.048,14.484,14.546,1203,0
20010405,15.048,15.238,14.794,14.794,540,0
20010406,14.736,15.238,14.736,15.048,2131,0
20010409,15.302,15.548,15.048,15.548,2715,0
20010410,15.675,15.865,15.675,15.865,1299,0
20010411,15.801,15.929,15.739,15.929,2444,0
20010412,16.112,16.112,15.986,15.986,1479,0
20010417,16.303,16.303,15.675,15.739,1516,0
20010418,15.675,16.239,15.675,16.239,535,0
20010419,16.549,16.803,16.549,16.803,209,0
20010420,18.495,18.495,17.24,18.058,1881,0
20010423,17.557,17.557,15.986,16.429,2591,0
20010424,16.112,16.866,16.112,16.866,122,0
20010425,16.866,16.866,16.429,16.429,877,0
20010426,16.112,16.429,16.112,16.429,211,0
20010427,16.613,16.613,16.613,16.613,486,0
20010430,16.549,16.613,16.549,16.613,272,0
20010502,16.613,16.613,16.613,16.613,783,0
20010507,16.549,16.549,16.549,16.549,62,0
20010508,15.739,16.303,15.739,16.303,152,0
20010509,16.175,16.175,16.175,16.175,646,0
20010510,15.865,17.43,15.865,17.24,5196,0
20010511,17.24,17.24,16.613,17.24,1130,0
20010514,17.43,17.43,16.676,17.24,956,0
20010515,16.929,16.929,16.929,16.929,124,0
20010516,17.177,17.177,17.177,17.177,77,0
20010517,16.929,17.056,16.613,16.929,1538,0
20010518,16.929,16.929,16.929,16.929,78,0
20010521,16.992,17.24,16.992,17.24,1228,0
20010522,17.177,17.302,16.929,16.929,2543,0
20010523,16.929,17.177,16.929,17.177,469,0
20010524,16.803,16.929,16.803,16.803,1275,0
20010525,17.366,17.747,16.929,17.24,1444,0
20010528,17.177,17.177,17.177,17.177,319,0
20010529,16.929,17.557,16.929,17.557,1207,0
20010531,16.929,17.804,16.929,17.557,1629,0
20010601,17.867,17.867,17.747,17.867,6851,0
20010604,17.867,17.867,17.557,17.557,4738,0
20010605,17.557,17.557,17.557,17.557,479,0
20010606,17.43,17.619,16.929,17.619,340,0
20010607,17.24,17.24,17.24,17.24,16133,0
