Date,Open,High,Low,Close,Volume,OpenInt
20110812,2.13,2.3855,2.0874,2.3515,461934,0
20110816,2.3004,2.3515,2.1811,2.2918,95612,0
20110817,2.1897,2.3004,2.1811,2.3004,60910,0
20110818,2.2918,2.3088,2.2407,2.3004,44432,0
20110819,2.1982,2.2577,2.1897,2.2577,23759,0
20110822,2.2152,2.3004,2.2067,2.2918,21005,0
20110823,2.3004,2.3004,2.2322,2.3004,6220,0
20110824,2.2237,2.3686,2.2237,2.3686,13543,0
20110825,2.3004,2.3686,2.3004,2.3686,4278,0
20110826,2.3004,2.3686,2.3004,2.3686,2348,0
20110829,2.2748,2.3515,2.2748,2.3515,2582,0
20110830,2.2748,2.36,2.2748,2.36,8862,0
20110831,2.2833,2.36,2.2833,2.36,3314,0
20110901,2.2833,2.36,2.2748,2.36,15434,0
20110902,2.2833,2.2833,2.2833,2.2833,188,0
20110905,2.2322,2.2322,2.2237,2.2237,504,0
20110906,2.2237,2.3345,2.2237,2.3345,2276,0
20110907,2.2492,2.3515,2.2492,2.3515,5684,0
20110909,2.2237,2.3686,2.2237,2.3686,2489,0
20110912,2.2322,2.3174,2.2322,2.3174,3573,0
20110913,2.2407,2.3174,2.2152,2.3174,18797,0
20110916,2.2322,2.2322,2.2152,2.2152,469,0
20110919,2.2577,2.3004,2.2577,2.3004,1161,0
20110920,2.2918,2.3004,2.2918,2.3004,12957,0
20110921,2.1385,2.3004,2.1385,2.3004,8540,0
20110923,2.2152,2.3004,2.2152,2.3004,12643,0
20110926,2.3088,2.343,2.1726,2.343,25734,0
20110927,2.3515,2.4111,2.3515,2.4111,25511,0
20110928,2.4281,2.4708,2.343,2.4111,178055,0
20110929,2.4111,2.4793,2.4111,2.4708,29708,0
20110930,2.4623,2.5134,2.4623,2.5049,234747,0
20111003,2.2663,2.4281,2.2663,2.4281,1819,0
20111004,2.3855,2.3855,2.3855,2.3855,208,0
20111005,2.3855,2.4708,2.3855,2.4708,2128,0
20111006,2.4537,2.4537,2.4537,2.4537,236,0
20111011,2.4452,2.4452,2.4452,2.4452,632,0
20111012,2.3855,2.4281,2.343,2.4281,5581,0
20111013,2.4452,2.4452,2.3855,2.3855,23768,0
20111017,2.3855,2.4452,2.3855,2.3855,90923,0
20111018,2.3855,2.4281,2.3345,2.4281,8012,0
20111026,2.3088,2.3855,2.3088,2.3855,7042,0
20111028,2.3088,2.3855,2.3088,2.3855,1714,0
20111031,2.3855,2.3855,2.3855,2.3855,1174,0
20111103,2.343,2.343,2.343,2.343,236,0
20111104,2.2577,2.3855,2.2577,2.3855,1197,0
20111107,2.3855,2.3855,2.3855,2.3855,1468,0
20111108,2.3855,2.3855,2.3855,2.3855,236,0
20111109,2.3004,2.3855,2.3004,2.3855,1655,0
20111110,2.2237,2.4367,2.2237,2.4281,23019,0
20111114,2.4196,2.4963,2.4196,2.4708,224439,0
20111115,2.4708,2.4708,2.3855,2.3855,25440,0
20111116,2.4367,2.4623,2.4367,2.4537,10658,0
20111117,2.4623,2.4623,2.4537,2.4537,2239,0
20111118,2.3771,2.4281,2.3771,2.4281,6263,0
20111121,2.3855,2.3855,2.3088,2.3771,2815,0
20111122,2.343,2.3855,2.343,2.3855,5450,0
20111124,2.4537,2.4537,2.343,2.343,1267,0
20111128,2.4367,2.4367,2.4367,2.4367,11737,0
20111129,2.3004,2.4196,2.3004,2.4196,7629,0
20111130,2.4026,2.4537,2.4026,2.4537,1174,0
20111202,2.4537,2.4537,2.4281,2.4281,747,0
20111206,2.2577,2.4281,2.2577,2.4281,3170,0
20111209,2.4111,2.4196,2.3686,2.4196,5516,0
20111214,2.343,2.343,2.3174,2.3174,10024,0
20111216,2.1811,2.3686,2.1811,2.3259,4052,0
20111222,2.1469,2.3174,2.13,2.2577,29041,0
20111223,2.1982,2.1982,2.0363,2.0363,59966,0
20111227,2.13,2.13,2.0363,2.0363,3560,0
20111228,1.8403,2.0874,1.8403,2.0874,8861,0
20111229,2.0448,2.0874,1.9085,2.0874,9165,0
20111230,1.9851,2.0788,1.9851,2.0788,3615,0
20120102,2.0788,2.0788,2.0448,2.0448,3753,0
20120103,2.1726,2.2152,2.1726,2.2152,3581,0
20120104,2.2152,2.3515,2.2152,2.3515,646,0
20120109,2.3004,2.3004,2.13,2.13,11092,0
20120110,2.1385,2.1897,2.0874,2.13,4525,0
20120111,2.0874,2.0959,2.0874,2.0959,2819,0
20120112,2.0874,2.0874,2.0874,2.0874,48,0
20120113,2.0874,2.0874,2.0874,2.0874,4,0
20120116,2.0534,2.0534,2.0534,2.0534,211,0
20120117,2.0534,2.3345,2.0534,2.3345,19491,0
20120118,2.3515,2.3686,2.3515,2.3686,4461,0
20120119,2.343,2.343,2.2152,2.3004,3526,0
20120120,2.2152,2.2152,2.1044,2.2067,11151,0
20120123,2.13,2.13,2.1044,2.1044,2087,0
20120124,2.1129,2.2067,2.1044,2.2067,5380,0
20120125,2.2067,2.2067,2.2067,2.2067,77,0
20120126,2.1726,2.1726,2.1726,2.1726,236,0
20120127,2.1129,2.2407,2.1129,2.2407,6733,0
20120130,2.2067,2.2067,2.13,2.13,4771,0
20120131,2.1726,2.2407,2.1726,2.2407,5049,0
20120203,2.2407,2.2407,2.1897,2.1897,2206,0
20120207,2.1897,2.1982,2.1897,2.1897,2992,0
20120209,2.1897,2.1897,2.1897,2.1897,3425,0
20120210,2.1469,2.1469,2.13,2.13,7505,0
20120213,2.1385,2.1385,2.1385,2.1385,579,0
20120216,2.2067,2.2067,2.1469,2.1469,363,0
20120221,2.1726,2.1726,2.1726,2.1726,641,0
