Date,Open,High,Low,Close,Volume,OpenInt
20140708,7.6338,7.6338,7.232,7.3213,826197,0
20140709,7.3213,7.3213,7.1071,7.2231,31218,0
20140710,7.2231,7.2767,7.1785,7.2678,87441,0
20140711,7.2946,7.2946,7.1964,7.2678,5445,0
20140714,7.232,7.5714,7.232,7.5356,57400,0
20140715,7.5891,7.5891,7.5088,7.5088,49477,0
20140716,7.5624,7.5624,7.4999,7.4999,8533,0
20140717,7.4999,7.5177,7.3213,7.366,79462,0
20140718,7.4821,7.4821,7.3302,7.4284,6198,0
20140721,7.4284,7.5714,7.4284,7.4821,106321,0
20140722,7.4553,7.5714,7.4284,7.5714,131286,0
20140723,7.5624,7.8927,7.5177,7.8927,29597,0
20140724,7.8838,7.8927,7.732,7.741,18322,0
20140725,7.732,7.857,7.6784,7.7945,34995,0
20140728,7.7945,7.7945,7.6517,7.6784,7337,0
20140729,7.6784,7.857,7.616,7.6696,4712,0
20140730,7.8124,7.8124,7.5891,7.5891,6110,0
20140731,7.4999,7.857,7.2856,7.7142,137726,0
20140801,7.5891,7.5891,7.4106,7.5445,18554,0
20140804,7.5445,7.5445,7.4463,7.4463,5632,0
20140806,7.4999,7.4999,7.2053,7.2856,6198,0
20140807,7.2856,7.3213,7.2231,7.2767,12766,0
20140808,7.3035,7.3481,7.3035,7.3481,636,0
20140811,7.3839,7.4553,7.2409,7.4553,3035,0
20140812,7.4731,7.4909,7.4016,7.4016,6467,0
20140813,7.3035,7.4016,7.3035,7.4016,697,0
20140814,7.3928,7.4016,7.2588,7.2588,1668,0
20140818,7.4553,7.4553,7.2499,7.4553,1340,0
20140819,7.4463,7.4821,7.2767,7.3213,8100,0
20140821,7.4553,7.5445,7.4553,7.4999,47621,0
20140822,7.4999,7.4999,7.4195,7.4999,2952,0
20140825,7.4999,7.4999,7.4195,7.4731,5472,0
20140826,7.4731,7.5624,7.4195,7.5624,4700,0
20140827,7.5714,7.732,7.5267,7.7052,25759,0
20140828,7.6517,8.0088,7.5981,7.8124,57424,0
20140829,7.5891,7.8481,7.5891,7.8124,11664,0
20140901,7.8124,7.8838,7.7231,7.8838,31908,0
20140902,7.8481,7.8481,7.741,7.7856,43708,0
20140903,7.6338,7.8481,7.6338,7.7945,6495,0
20140904,7.8124,7.8124,7.6517,7.7589,3010,0
20140905,7.7052,7.7677,7.6428,7.6428,17831,0
20140908,7.7677,7.7677,7.3392,7.4553,12444,0
20140909,7.4642,7.7945,7.4642,7.7945,24378,0
20140910,7.7677,7.8124,7.6874,7.8124,375383,0
20140911,7.8124,7.9374,7.8035,7.9017,157376,0
20140912,7.8749,7.8749,7.8124,7.857,15670,0
20140915,8.0178,8.0178,7.857,7.991,136392,0
20140916,8.0178,8.3481,8.0178,8.1695,179712,0
20140917,8.2588,8.2767,8.1606,8.2499,19992,0
20140918,8.2499,8.2499,8.1785,8.2142,36211,0
20140919,8.2946,8.2946,8.1785,8.2142,8339,0
20140922,8.2946,8.2946,8.1606,8.1606,19194,0
20140923,8.1606,8.1874,7.9017,8.0267,15667,0
20140924,7.9017,8.2499,7.5267,8.2053,192135,0
20140925,8.2231,8.2946,8.1785,8.2409,135000,0
20140926,8.2856,8.7231,8.232,8.4998,109731,0
20140929,8.7052,8.7052,8.5267,8.6606,107308,0
20140930,8.7231,8.7231,8.6159,8.6338,32206,0
20141001,8.7052,8.7052,8.4195,8.5713,16168,0
20141002,8.6159,8.6159,8.4016,8.4821,628,0
20141003,8.4821,8.6159,8.4374,8.5802,6600,0
20141006,8.6159,8.6517,8.5713,8.5713,3073,0
20141007,8.5713,8.6517,8.5713,8.6517,10401,0
20141008,8.6517,8.6517,8.4374,8.4374,15411,0
20141009,8.4821,8.5802,8.3035,8.3749,16220,0
20141010,8.3928,8.3928,8.2142,8.366,12261,0
20141013,8.4106,8.4106,8.1963,8.366,9855,0
20141014,8.3838,8.3838,8.1248,8.3035,64488,0
20141015,8.3749,8.3749,8.0534,8.1695,53395,0
20141016,8.2142,8.2142,8.0356,8.1338,87946,0
20141017,8.2856,8.2856,7.9017,8.1695,7803,0
20141020,8.1695,8.1695,7.982,8.116,4470,0
20141021,8.116,8.4374,8.1071,8.3035,48256,0
20141022,8.3035,8.3035,8.2588,8.2588,9851,0
20141023,8.3392,8.3392,8.1248,8.3123,82,0
20141024,8.2142,8.3123,8.2142,8.2946,718,0
20141027,8.3123,8.3123,8.0802,8.2142,6535,0
20141028,8.1695,8.2142,8.1427,8.2142,16120,0
20141029,8.2142,8.2946,8.0892,8.2142,14470,0
20141030,8.3035,8.6338,8.0981,8.4821,10693,0
20141031,8.4821,9.1517,8.4016,8.4821,27701,0
20141103,8.6606,8.6606,8.3928,8.4195,1532,0
20141104,8.6159,8.6159,8.3928,8.4821,36083,0
20141105,8.6159,8.6606,8.4821,8.5713,14494,0
20141106,8.4821,8.6606,8.4821,8.6159,2149,0
20141107,8.6606,8.6606,8.4106,8.5891,853,0
20141110,8.6517,8.6517,8.4284,8.5267,885,0
20141112,8.5713,8.6517,8.5624,8.5624,6237,0
20141113,8.5624,8.5624,8.2142,8.5445,9824,0
20141114,8.6159,8.6159,8.3123,8.5535,7319,0
20141117,8.5535,8.5713,8.2142,8.3928,15187,0
20141118,8.3928,8.9106,8.2677,8.7766,63591,0
20141119,8.741,8.9283,8.6428,8.741,13712,0
20141120,8.732,8.8659,8.5088,8.741,27467,0
20141121,8.3213,8.741,8.3213,8.6517,2921,0
20141124,8.6517,8.6517,8.4909,8.5713,13242,0
20141125,8.6517,8.6517,8.5088,8.5802,57359,0
20141126,8.5802,9.3305,8.4998,8.8392,155835,0
20141127,8.8752,8.8752,8.7588,8.7945,1249,0
20141128,8.8124,8.9199,8.6606,8.8213,37340,0
20141201,8.8836,8.8836,8.5891,8.7499,14106,0
20141202,8.8659,8.9106,8.7677,8.8303,14420,0
20141203,8.8752,8.8752,8.607,8.741,4925,0
20141204,8.741,9.107,8.5713,8.9283,179178,0
20141205,8.9376,9.3565,8.8392,9.3305,86102,0
20141208,9.3752,9.732,9.3752,9.642,18137,0
20141209,9.679,9.679,9.2141,9.4459,14811,0
20141210,9.509,9.509,9.2495,9.3128,62586,0
20141211,9.1164,9.1787,8.9376,9.1787,10137,0
20141212,9.1164,9.2765,8.973,9.107,4273,0
20141215,9.107,9.107,8.7052,8.7231,18165,0
20141216,8.8034,8.8034,8.2142,8.3928,143161,0
20141217,8.5713,8.732,8.3035,8.3302,413356,0
20141218,8.3035,8.8752,8.2499,8.8752,263482,0
20141219,8.8752,8.9199,8.6338,8.8392,12477,0
20141222,8.9553,8.9553,8.6606,8.7052,18767,0
20141223,8.7052,8.8213,8.6159,8.6606,17634,0
20141229,8.7052,8.8752,8.7052,8.8752,1335,0
20141230,8.8659,8.9013,8.5267,8.9013,102648,0
20150102,8.9199,8.9199,8.8929,8.8929,218,0
20150105,8.9013,8.9013,8.6159,8.8392,670,0
20150107,8.8836,8.8836,8.4821,8.741,18753,0
20150108,8.741,8.741,8.6159,8.6963,5578,0
20150109,8.6963,8.8752,8.6963,8.8213,32724,0
20150112,9.0084,9.0084,8.6159,8.9283,3333,0
20150113,8.9283,8.9646,8.8482,8.8482,3338,0
20150114,8.9199,8.9199,8.6606,8.6606,5300,0
20150115,8.7766,8.7766,8.6159,8.7588,5368,0
20150116,8.7945,8.7945,8.4821,8.5713,43418,0
20150119,8.4821,8.5713,8.3123,8.5713,8075,0
20150120,8.6606,8.6606,8.1248,8.3928,4386,0
20150121,8.3928,8.5445,8.2677,8.5445,322,0
20150122,8.5267,8.5267,8.366,8.4821,8988,0
20150123,8.3928,8.7052,8.3928,8.7052,9417,0
20150126,8.7052,8.7052,8.3481,8.5713,13434,0
20150127,8.5713,8.6606,8.4463,8.6606,18388,0
20150128,8.5713,8.6606,8.4552,8.6606,3343,0
20150129,8.6606,8.6606,8.6606,8.6606,2363,0
20150130,8.6606,8.7052,8.4731,8.7052,11591,0
20150202,8.7945,8.7945,8.6784,8.7945,52532,0
20150203,8.7945,8.8124,8.7499,8.8124,6035,0
20150204,8.8929,8.9283,8.8034,8.8034,21526,0
20150205,8.8392,8.8392,8.8034,8.8034,6238,0
20150206,8.8752,8.8752,8.3928,8.8392,15682,0
20150209,8.8482,8.8482,8.6695,8.6695,21903,0
20150210,8.7142,8.7588,8.7142,8.7588,5335,0
20150211,8.7588,8.9106,8.7588,8.9106,4426,0
20150212,8.9106,9.598,8.9106,9.553,41757,0
20150213,9.553,9.696,9.2141,9.527,36556,0
20150216,9.527,10.223,9.161,10.214,32985,0
20150217,9.991,9.991,9.607,9.642,24396,0
20150218,9.642,9.955,9.553,9.553,2037,0
20150219,9.562,9.732,9.161,9.732,3609,0
20150220,9.732,9.821,9.642,9.821,3646,0
20150223,9.955,9.973,9.741,9.821,5304,0
20150224,9.893,9.893,9.786,9.821,16067,0
20150225,9.794,9.813,9.794,9.813,11331,0
20150226,9.955,9.955,9.642,9.857,2617,0
20150227,9.901,9.91,9.4645,9.776,62908,0
20150302,9.955,9.955,9.821,9.821,33873,0
20150303,9.821,9.821,9.509,9.821,7880,0
20150304,9.955,9.955,9.553,9.794,8468,0
20150305,9.813,9.901,9.813,9.901,14125,0
20150306,9.652,9.91,9.652,9.91,46086,0
20150309,9.92,10.107,9.83,10.107,6858,0
20150310,9.857,10.107,9.857,9.866,15366,0
20150311,9.883,10.045,9.875,10,3859,0
20150312,10.089,10.179,10,10,24852,0
20150313,10.25,10.25,10,10.089,21247,0
20150316,10.161,10.161,10.089,10.116,14863,0
20150317,10.089,10.134,10.045,10.089,3230,0
20150318,10.072,10.08,10.045,10.08,2367,0
20150319,10.08,10.134,10,10.089,38767,0
20150320,10.089,10.089,10,10.089,25262,0
20150323,10.089,10.268,10,10.268,20171,0
20150324,10.723,11.276,10.625,11.098,907055,0
20150325,11.286,11.83,11.161,11.598,214307,0
20150326,11.589,11.589,10.893,11.428,24280,0
20150327,11.303,11.428,11.161,11.33,16705,0
20150330,11.383,11.383,11.107,11.366,17779,0
20150331,11.383,11.732,11.383,11.58,10047,0
20150401,11.607,11.607,11.473,11.473,29427,0
20150402,11.527,11.786,11.383,11.509,11076,0
20150407,11.571,11.571,11.25,11.25,9655,0
20150408,11.259,11.303,10.982,11.161,13684,0
20150409,11.58,11.58,11.035,11.25,9226,0
20150410,11.295,11.295,10.893,11.241,17781,0
20150413,11.41,11.428,11.161,11.34,11197,0
20150414,11.179,11.286,11.161,11.169,6624,0
20150415,11.169,11.241,11.098,11.116,5982,0
20150416,11.107,11.428,11.009,11.071,39251,0
20150417,11.071,11.402,11.071,11.286,6736,0
20150420,11.34,11.34,11.206,11.34,1001,0
20150421,11.295,11.295,11.08,11.25,8815,0
20150422,11.25,11.25,11.08,11.25,32317,0
20150423,11.25,11.25,11.107,11.169,2052,0
20150424,11.179,11.179,11.044,11.161,13899,0
20150427,11.259,11.607,11.152,11.509,71778,0
20150428,11.517,11.607,11.25,11.383,48948,0
20150429,11.42,11.509,11.206,11.206,20353,0
20150430,11.206,11.473,11.206,11.455,458244,0
20150504,11.464,11.491,11.34,11.464,131189,0
20150505,11.473,11.544,11.071,11.071,12284,0
20150506,11.276,11.428,11.206,11.259,15553,0
20150507,11.383,11.491,11.08,11.098,16378,0
20150508,11.169,11.41,11.169,11.375,1810,0
20150511,11.259,12.098,11.259,11.875,137029,0
20150512,11.875,11.875,11.509,11.509,70965,0
20150513,11.786,11.875,11.616,11.741,274030,0
20150514,11.741,12.054,11.651,11.741,35926,0
20150515,12.054,12.41,11.884,11.964,88981,0
20150518,12.321,12.321,11.875,11.964,20960,0
20150519,12.196,12.196,11.714,11.884,14647,0
20150520,11.893,12.009,11.562,11.741,194986,0
20150521,11.696,11.857,11.669,11.803,8351,0
20150522,11.803,12.116,11.669,12.054,40737,0
20150525,12.036,12.116,11.786,11.857,14938,0
20150526,11.776,11.776,11.616,11.669,3727,0
20150527,11.937,11.947,11.741,11.786,7511,0
20150528,12.589,12.589,11.786,12.089,64464,0
20150529,12.232,12.232,12.054,12.143,16972,0
20150601,12.161,12.366,12.054,12.143,76028,0
20150602,12.232,12.295,12.143,12.143,8773,0
20150603,12.161,12.161,12.098,12.143,31462,0
20150605,12.196,12.268,11.83,12.161,4758,0
20150608,12.027,12.027,11.303,11.678,25561,0
20150609,11.714,11.884,11.607,11.723,650683,0
20150610,11.571,11.776,11.571,11.776,14628,0
20150611,11.607,11.696,11.482,11.589,10644,0
20150612,11.607,11.607,11.206,11.517,34208,0
20150615,11.232,11.25,10.839,11.161,25854,0
20150616,11.071,11.071,10.83,10.893,19362,0
20150617,11.107,11.509,10.554,10.893,16305,0
20150618,11.088,11.088,10.818,10.921,9528,0
20150619,10.93,11.07,10.911,11.032,10062,0
20150622,10.921,11.07,10.8,10.865,24595,0
20150623,10.753,10.753,10.427,10.52,23448,0
20150624,10.437,10.558,10.334,10.474,31633,0
20150625,10.595,10.595,10.334,10.52,13026,0
20150626,10.613,10.679,10.613,10.669,2535,0
20150629,10.241,10.567,9.803,10.567,30158,0
20150630,10.558,10.911,10.334,10.911,12963,0
