Date,Open,High,Low,Close,Volume,OpenInt
20080401,33.934,38.006,33.331,37.102,219404,0
20080402,38.232,38.307,36.121,36.196,54459,0
20080403,37.252,37.252,35.668,36.196,24972,0
20080404,36.574,36.574,35.215,36.196,9358,0
20080407,36.121,36.951,35.141,35.442,33743,0
20080408,35.215,35.215,34.085,34.386,14803,0
20080409,34.386,36.799,34.009,35.668,397616,0
20080410,36.497,36.875,35.518,36.574,4437,0
20080411,37.704,40.645,37.704,38.458,136027,0
20080414,38.081,38.76,36.951,38.685,15334,0
20080415,39.213,39.891,37.704,37.704,45988,0
20080416,38.458,38.534,36.951,36.951,23274,0
20080417,37.553,37.704,36.574,37.176,8212,0
20080418,37.176,37.704,35.894,37.102,19399,0
20080421,38.006,38.006,36.574,36.724,6179,0
20080422,36.951,36.951,35.065,35.366,29244,0
20080423,35.292,35.743,34.537,34.838,16009,0
20080424,35.141,35.894,34.687,35.292,10023,0
20080425,36.271,36.271,34.764,36.271,15736,0
20080428,36.875,37.403,36.271,36.951,13054,0
20080429,36.724,36.875,36.271,36.497,1530,0
20080430,36.046,36.648,36.046,36.648,9589,0
20080505,37.704,37.704,36.196,36.799,3832,0
20080506,36.648,36.724,36.196,36.724,5556,0
20080507,36.724,36.875,36.271,36.799,8822,0
20080508,36.196,36.875,35.97,36.271,3634,0
20080509,36.196,36.271,35.366,35.668,34443,0
20080512,36.196,36.497,35.442,36.196,4429,0
20080513,36.271,36.423,35.819,36.271,5962,0
20080514,37.553,37.553,35.97,36.121,6963,0
20080515,35.97,36.799,35.819,36.497,58096,0
20080516,37.478,38.912,37.252,38.912,82770,0
20080519,39.213,40.721,39.213,40.645,53936,0
20080520,40.645,42.078,39.967,40.57,104826,0
20080521,40.57,40.872,39.062,40.721,48712,0
20080523,41.474,42.229,40.721,41.474,11710,0
20080526,41.776,41.776,40.117,40.419,3530,0
20080527,38.835,40.495,38.835,39.967,4883,0
20080528,40.193,41.097,39.287,40.946,10506,0
20080529,40.946,41.4,39.741,41.173,3208,0
20080530,41.097,41.248,40.344,40.645,54026,0
20080602,40.117,40.721,39.967,40.042,2994,0
20080603,40.57,41.776,39.59,41.474,112706,0
20080604,41.852,43.284,41.4,41.4,7312,0
20080605,41.852,41.852,40.721,41.324,2465,0
20080606,41.474,42.153,41.023,41.474,128620,0
20080609,40.495,40.645,39.59,40.57,14362,0
20080610,39.967,41.173,39.287,39.59,24032,0
20080611,40.268,40.344,38.307,39.439,80606,0
20080612,38.534,39.287,38.384,38.534,74618,0
20080613,38.307,38.458,37.704,38.081,56644,0
20080616,38.912,38.912,38.081,38.534,13635,0
20080617,38.307,38.912,38.307,38.835,33638,0
20080618,39.136,39.59,38.006,38.006,24127,0
20080619,38.76,39.59,38.006,39.287,20385,0
20080620,39.815,39.815,38.534,38.835,33195,0
20080623,38.835,38.835,36.271,36.574,69818,0
20080624,36.574,37.78,36.347,36.799,32214,0
20080625,37.327,38.157,36.799,37.704,32868,0
20080626,37.855,38.609,37.704,38.609,40708,0
20080627,37.704,37.78,37.025,37.629,27255,0
20080630,37.629,38.006,37.025,37.327,44264,0
20080701,38.006,38.006,36.423,36.574,22715,0
20080702,36.347,37.478,35.894,35.97,8693,0
20080703,35.065,35.819,33.934,33.934,93264,0
20080704,34.537,34.537,31.672,33.18,859378,0
20080707,33.18,33.255,31.822,32.727,4793,0
20080708,32.048,33.029,30.465,31.294,13428,0
20080709,31.37,32.576,31.294,32.426,3154,0
20080710,32.125,33.708,30.315,31.672,145320,0
20080711,31.973,31.973,30.917,31.521,8250,0
20080714,32.275,32.275,29.56,29.937,16128,0
20080715,29.937,30.238,28.806,28.956,163739,0
20080716,28.655,30.164,28.655,29.787,7741,0
20080717,30.616,32.35,30.616,32.275,10199,0
20080718,32.35,32.426,31.672,32.199,2958,0
20080721,32.199,34.613,32.199,34.236,5870,0
20080722,33.934,34.16,33.331,33.405,3790,0
20080723,34.085,36.724,34.085,36.724,28581,0
20080724,36.799,37.025,35.518,36.196,15943,0
20080725,35.442,38.609,34.764,38.157,38424,0
20080728,38.081,39.891,37.931,38.534,137995,0
20080729,38.384,38.534,38.006,38.534,25364,0
20080730,39.514,40.268,38.081,38.534,98596,0
20080731,38.534,38.534,37.025,37.553,15710,0
20080801,37.704,38.534,37.025,38.458,4435,0
20080804,38.081,38.081,36.648,37.553,6369,0
20080805,37.553,38.081,36.951,38.081,95360,0
20080806,38.76,38.76,37.403,37.403,26924,0
20080807,37.327,37.704,36.799,37.403,112703,0
20080808,37.403,37.931,37.102,37.704,1202,0
20080811,37.704,39.136,37.704,38.458,115361,0
20080812,38.76,39.213,38.458,38.458,59670,0
20080813,39.062,39.062,38.307,38.76,5536,0
20080814,39.59,39.967,39.213,39.514,110263,0
20080818,39.59,40.193,38.912,40.042,30258,0
20080819,39.59,39.815,38.307,38.835,12594,0
20080820,39.213,39.213,38.534,39.213,6555,0
20080821,39.891,39.891,38.835,38.986,1396,0
20080822,38.986,39.59,38.835,39.514,21859,0
20080825,39.514,39.815,39.439,39.514,1915,0
20080826,39.59,39.59,39.439,39.59,7605,0
20080827,39.062,39.59,39.062,39.363,31017,0
20080828,39.363,39.439,38.685,39.439,5725,0
20080829,39.213,39.741,38.986,39.514,6415,0
20080901,39.741,39.741,38.986,39.213,17602,0
20080902,39.741,41.023,39.741,40.419,27982,0
20080903,40.193,40.721,40.042,40.117,18197,0
20080904,40.645,44.114,40.645,42.229,65908,0
20080905,41.023,41.852,40.721,40.721,33841,0
20080908,41.776,42.531,40.57,40.721,7964,0
20080909,41.474,41.474,39.891,40.117,4113,0
20080910,39.741,39.967,39.287,39.891,18023,0
20080911,39.514,41.474,39.439,41.324,7985,0
20080912,41.248,42.907,41.097,42.38,83494,0
20080915,41.474,41.474,40.117,40.495,12563,0
20080916,39.967,40.57,37.855,38.006,29401,0
20080917,39.213,39.59,36.875,37.327,30067,0
20080918,35.743,37.704,34.687,36.875,102254,0
20080919,38.534,39.136,37.704,38.986,14797,0
20080922,39.213,40.419,38.685,38.685,6235,0
20080923,38.081,38.081,37.176,37.704,10913,0
20080924,38.232,38.232,37.403,38.081,4355,0
20080925,37.704,38.685,37.704,38.534,10812,0
20080926,38.458,38.458,37.553,37.78,4630,0
20080929,37.704,38.006,36.951,37.403,10228,0
20080930,36.271,39.741,36.196,38.835,36688,0
20081001,39.136,39.891,38.232,38.458,3042,0
20081002,38.76,38.835,38.006,38.232,1624,0
20081003,38.912,38.912,37.176,38.157,9768,0
20081006,37.252,38.081,36.648,37.252,16278,0
20081007,37.704,38.081,35.819,37.704,16518,0
20081008,36.046,37.327,35.442,36.574,17100,0
20081009,36.951,37.102,35.518,36.196,9375,0
20081010,34.009,35.065,31.898,32.576,147577,0
20081013,33.934,35.97,33.934,35.442,52305,0
20081014,37.704,38.081,36.121,36.121,15871,0
20081015,36.121,36.574,34.838,35.442,12847,0
20081016,34.16,36.196,33.18,35.442,139494,0
20081017,37.176,37.176,34.085,35.215,18560,0
20081020,36.121,36.497,36.046,36.196,87122,0
20081021,36.799,36.799,35.819,35.819,6692,0
20081022,35.442,36.423,34.613,35.065,5881,0
20081023,34.311,35.518,32.576,34.687,50174,0
20081024,34.838,34.99,34.009,34.386,55320,0
20081027,35.366,35.366,33.783,34.463,27756,0
20081028,35.366,35.593,34.16,34.613,29218,0
20081029,35.819,35.819,34.687,34.687,32244,0
20081030,35.366,35.668,34.687,34.838,9644,0
20081031,34.838,34.99,34.386,34.99,5330,0
20081103,35.442,36.724,35.366,36.196,10932,0
20081104,36.574,36.799,36.271,36.497,13856,0
20081105,36.724,36.799,35.894,36.574,9378,0
20081106,36.046,36.046,35.593,35.743,4273,0
20081107,35.668,35.97,34.687,35.065,7098,0
20081110,35.141,35.819,35.065,35.366,1011,0
20081112,35.292,35.442,33.632,33.632,36330,0
20081113,33.18,34.764,33.18,33.708,31289,0
20081114,35.215,35.215,34.311,34.764,13012,0
20081117,35.292,36.121,33.934,33.934,51603,0
20081118,34.613,34.687,33.632,34.613,26715,0
20081119,35.292,35.292,34.311,34.386,6141,0
20081120,33.783,33.858,33.18,33.482,22686,0
20081121,33.708,34.537,33.18,33.18,21514,0
20081124,34.613,34.613,32.048,33.858,578883,0
20081125,33.934,34.386,33.557,33.934,15447,0
20081126,33.934,34.16,33.783,33.858,12130,0
20081127,33.783,34.236,33.783,33.858,21943,0
20081128,33.934,33.934,33.482,33.482,13198,0
20081201,33.18,33.18,32.199,32.502,15399,0
20081202,32.199,32.877,31.068,32.125,9958,0
20081203,32.125,32.954,31.898,32.125,7904,0
20081204,32.426,32.426,31.822,32.048,5647,0
20081205,32.048,32.275,31.672,32.275,1337,0
20081208,32.426,33.104,32.048,32.275,27162,0
20081209,32.502,32.502,31.445,31.973,16282,0
20081210,32.048,32.426,31.521,31.672,16202,0
20081211,31.973,31.973,31.294,31.672,38047,0
20081212,31.068,31.596,30.917,30.917,8940,0
20081215,31.068,31.294,30.766,30.917,1962,0
20081216,30.917,30.993,30.616,30.616,6865,0
20081217,30.465,32.048,30.465,31.672,11334,0
20081218,31.672,31.672,30.917,31.219,12768,0
20081219,30.993,30.993,30.541,30.692,32674,0
20081222,30.692,30.766,30.164,30.541,10699,0
20081223,30.238,30.692,30.164,30.465,11262,0
20081229,30.541,30.541,30.315,30.465,9435,0
20081230,30.465,30.541,30.013,30.013,32716,0
20081231,30.164,30.541,30.164,30.465,1401,0
20090105,30.541,32.048,30.315,31.521,75628,0
20090106,31.898,33.405,31.521,32.426,20179,0
20090107,33.405,33.405,31.822,31.822,11076,0
20090108,31.822,32.125,31.521,31.521,16704,0
20090109,31.672,31.672,30.843,31.068,19107,0
20090112,31.068,31.068,30.541,30.616,4418,0
20090113,30.541,30.541,29.862,30.164,83385,0
20090114,30.088,30.164,29.636,29.711,49089,0
20090115,29.787,30.164,28.731,30.013,14642,0
20090116,30.088,30.315,29.711,29.787,4408,0
20090119,29.56,30.315,29.56,29.711,75111,0
20090120,29.409,29.787,29.409,29.409,1262,0
20090121,29.409,29.409,29.033,29.108,30815,0
20090122,29.033,29.259,27.373,27.826,12981,0
20090123,28.203,28.203,25.789,26.016,22252,0
20090126,25.715,25.715,23.678,25.639,81959,0
20090127,26.092,28.655,26.092,27.147,175665,0
20090128,27.901,27.901,27.524,27.75,30981,0
20090129,27.901,28.882,27.147,27.977,86208,0
20090130,27.449,28.956,27.449,28.278,8838,0
20090202,28.731,29.56,27.901,28.655,8780,0
20090203,28.278,28.354,27.901,27.901,21924,0
20090204,27.977,28.354,26.016,26.468,24704,0
20090205,26.544,26.544,25.789,26.243,16168,0
20090206,26.393,27.298,25.488,26.921,20398,0
20090209,26.77,26.921,26.016,26.468,43638,0
20090210,26.317,27.373,26.092,27.223,11607,0
20090211,26.77,27.223,26.317,27.223,2622,0
20090212,26.921,27.072,26.393,26.393,905,0
20090213,27.298,27.298,26.468,26.996,1094,0
20090216,26.996,27.373,26.468,26.468,2468,0
20090217,26.468,27.147,26.016,26.468,5581,0
20090218,26.619,26.619,24.885,25.639,15014,0
20090219,25.639,26.77,25.262,26.77,3499,0
20090220,26.695,26.695,26.016,26.393,710,0
20090223,26.77,26.77,25.789,26.317,3395,0
20090224,25.865,26.544,25.715,25.789,1974,0
20090225,26.393,26.393,25.789,26.317,1194,0
20090226,26.393,26.393,25.262,25.789,5408,0
20090227,26.544,26.544,25.789,25.865,2628,0
20090302,25.639,26.243,24.282,25.639,15725,0
20090303,25.639,26.77,25.639,26.544,18104,0
