Date,Open,High,Low,Close,Volume,OpenInt
20090708,8.9633,9.2776,8.9633,9.0971,157654,0
20090709,9.4114,10.666,9.0614,9.546,39706,0
20090710,9.904,10.218,9.591,9.86,2908,0
20090713,10.756,11.661,10.263,10.531,31160,0
20090714,10.487,10.531,10.083,10.397,2558,0
20090715,10.128,10.317,9.86,10.317,625,0
20090716,9.86,10.442,9.77,10.442,575,0
20090717,10.397,10.397,10.218,10.397,167,0
20090720,9.869,10.353,9.869,10.353,252,0
20090721,9.869,10.397,9.869,10.397,123,0
20090722,9.869,10.397,9.869,10.397,979,0
20090723,9.896,10.442,9.77,9.904,43143,0
20090724,10.379,10.379,9.77,9.86,31685,0
20090727,9.85,9.86,9.85,9.86,5307,0
20090728,9.86,9.86,9.86,9.86,20912,0
20090729,9.86,10.308,9.86,10.308,842,0
20090730,9.904,10.353,9.85,9.85,6326,0
20090731,9.85,9.86,9.85,9.85,12891,0
20090804,9.689,9.86,9.681,9.86,1261,0
20090805,9.814,10.317,9.814,10.317,1507,0
20090807,9.86,9.86,9.77,9.77,39035,0
20090810,9.814,9.824,9.77,9.77,2633,0
20090811,9.814,9.814,9.814,9.814,3701,0
20090812,9.814,9.814,9.814,9.814,480,0
20090813,10.397,10.576,10.397,10.576,449,0
20090814,10.576,10.576,10.253,10.576,278,0
20090817,10.576,10.576,10.083,10.308,359,0
20090818,10.308,10.308,10.308,10.308,187,0
20090819,10.308,10.308,10.308,10.308,21936,0
20090820,10.308,10.308,10.039,10.128,867,0
20090821,10.128,10.487,10.128,10.308,79,0
20090824,10.818,10.845,10.487,10.801,2440,0
20090825,10.801,10.801,10.442,10.801,1881,0
20090826,10.801,11.329,10.801,10.979,1820,0
20090827,12.351,12.351,10.756,10.756,9984,0
20090828,10.756,11.607,10.756,11.607,136,0
20090831,11.562,11.562,11.562,11.562,45,0
20090901,10.936,11.115,10.936,11.115,847,0
20090902,10.936,10.936,10.936,10.936,308,0
20090903,10.936,10.936,10.936,10.936,5,0
20090904,10.936,10.936,10.576,10.576,837,0
20090907,10.576,10.576,10.389,10.397,88187,0
20090908,10.397,11.069,10.389,10.953,47383,0
20090909,11.025,11.204,11.025,11.115,3458,0
20090910,11.115,11.204,10.756,10.936,5347,0
20090911,11.204,11.921,10.944,11.832,43835,0
20090914,11.652,11.652,11.204,11.204,2404,0
20090915,11.652,11.652,11.159,11.159,2608,0
20090916,11.832,11.832,10.854,10.854,1729,0
20090917,11.115,11.607,11.115,11.472,1385,0
20090918,11.465,11.465,11.204,11.393,121,0
20090921,11.293,12.011,11.293,11.921,5021,0
20090922,12.235,12.279,12.235,12.279,1127,0
20090923,11.921,12.011,11.742,12.011,4072,0
20090924,11.948,12.459,11.742,12.459,12496,0
20090925,12.459,14.341,12.459,14.341,22564,0
20090928,14.207,14.207,13.534,14.162,603,0
20090929,13.444,13.983,13.444,13.983,67,0
20090930,13.355,13.804,13.31,13.804,2243,0
20091001,13.804,13.804,13.221,13.804,3663,0
20091002,14.297,14.297,14.297,14.297,1,0
20091005,14.117,14.117,14.072,14.072,62,0
20091006,13.355,13.444,13.051,13.444,4841,0
20091007,13.444,13.444,13.444,13.444,582,0
20091008,13.176,13.176,13.176,13.176,56,0
20091009,13.444,13.444,12.996,13.444,1211,0
20091012,12.996,12.996,12.996,12.996,2231,0
20091013,13.444,13.444,12.862,12.988,1773,0
20091014,12.817,12.817,12.558,12.817,2852,0
20091015,12.996,12.996,12.548,12.817,6148,0
20091016,13.444,13.444,13.266,13.266,1675,0
20091019,13.257,13.257,12.593,12.638,9289,0
20091020,12.602,13.221,12.602,12.996,457,0
20091021,12.996,12.996,12.548,12.548,11873,0
20091022,12.638,12.638,12.504,12.504,11513,0
20091023,12.638,12.638,12.548,12.548,3910,0
20091026,12.638,13.436,12.548,13.436,27106,0
20091027,13.087,13.087,12.996,12.996,1425,0
20091028,13.13,13.427,12.996,13.427,937,0
20091029,12.593,13.239,12.548,12.817,2064,0
20091030,13.166,13.166,12.548,12.817,14165,0
20091102,12.996,13.436,12.655,12.655,1826,0
20091103,12.692,12.692,12.611,12.692,3073,0
20091104,12.996,12.996,12.728,12.728,603,0
20091105,12.683,12.683,12.459,12.548,6622,0
20091106,12.558,12.558,12.459,12.459,200,0
20091109,12.593,12.593,12.504,12.504,6163,0
20091110,12.522,12.522,12.504,12.504,1673,0
20091112,12.548,13.266,12.459,13.266,51391,0
20091113,13.346,13.4,12.584,12.584,1264,0
20091116,12.584,13.266,12.584,13.266,814,0
20091117,12.996,12.996,12.996,12.996,117,0
20091118,12.728,12.728,12.548,12.728,2354,0
20091120,12.728,12.728,12.728,12.728,1,0
20091123,12.728,12.728,12.728,12.728,290,0
20091124,12.638,12.737,12.548,12.548,7719,0
20091125,12.548,12.907,12.548,12.907,1687,0
20091126,13.176,13.176,13.176,13.176,336,0
20091130,13.176,13.176,12.602,12.602,3554,0
20091201,12.647,13.176,12.647,13.176,340,0
20091202,13.176,13.176,13.176,13.176,1,0
20091203,13.176,13.176,13.176,13.176,2,0
20091204,13.087,13.087,12.647,13.041,200,0
20091207,13.087,13.4,13.087,13.4,296,0
20091208,13.104,13.104,13.087,13.087,1638,0
20091210,13.427,13.427,12.862,12.862,379,0
20091211,12.996,12.996,12.996,12.996,5,0
20091215,12.826,12.826,12.548,12.548,1222,0
20091216,12.575,12.575,12.558,12.558,164,0
20091217,12.558,12.952,12.558,12.952,704,0
20091218,12.952,12.952,12.297,12.898,13181,0
20091221,12.548,12.548,12.548,12.548,334,0
20091222,12.459,12.817,12.459,12.486,710,0
20091223,12.476,12.495,12.476,12.495,5639,0
20091228,12.459,12.988,12.459,12.988,255,0
20091229,12.996,12.996,12.996,12.996,11,0
20091230,13.176,13.176,12.988,12.988,2,0
20091231,12.988,12.988,12.988,12.988,121,0
20100104,13.087,13.087,12.683,12.728,324,0
20100105,12.548,12.952,12.548,12.548,4598,0
20100106,12.548,12.907,12.548,12.907,363,0
20100107,12.907,12.907,12.728,12.728,5103,0
20100108,12.728,12.728,12.548,12.728,554,0
20100112,12.548,12.548,12.548,12.548,11,0
20100113,12.548,12.548,12.548,12.548,34,0
20100114,12.728,13.166,12.728,13.166,134,0
20100115,13.221,13.221,13.221,13.221,11,0
20100118,13.221,13.221,13.221,13.221,5,0
20100119,13.221,13.221,13.13,13.13,134,0
20100120,13.176,13.221,13.176,13.221,137,0
20100121,13.221,13.221,13.221,13.221,23,0
20100122,12.996,13.266,12.907,12.907,537,0
20100125,13.176,13.176,12.773,12.773,206,0
20100126,12.548,12.548,12.548,12.548,5639,0
20100127,12.548,12.548,12.548,12.548,15285,0
20100128,12.817,12.817,12.548,12.548,23337,0
20100201,12.638,12.638,12.638,12.638,114,0
20100202,12.996,12.996,12.638,12.638,2,0
20100203,12.638,12.638,12.504,12.548,1681,0
20100204,12.548,12.548,12.548,12.548,2,0
20100205,12.548,12.548,12.145,12.548,449,0
20100208,12.369,12.459,12.369,12.459,419,0
20100209,12.504,12.504,12.504,12.504,5,0
20100210,12.504,12.548,12.504,12.548,1774,0
20100211,12.369,12.548,12.369,12.459,3767,0
20100212,12.459,12.459,12.369,12.369,1461,0
20100215,12.307,12.459,12.307,12.459,686,0
20100216,12.459,12.548,12.325,12.369,25340,0
20100217,12.548,12.548,12.459,12.459,1999,0
20100218,12.548,12.548,12.459,12.459,27904,0
20100219,12.459,12.459,12.325,12.459,1294,0
20100222,12.459,12.459,12.459,12.459,8060,0
20100223,12.459,12.459,12.459,12.459,930,0
20100224,12.414,12.414,12.414,12.414,389,0
20100225,12.325,12.54,12.325,12.54,7050,0
20100226,12.54,12.54,12.54,12.54,7,0
20100301,12.54,12.54,12.54,12.54,11,0
20100302,12.54,12.54,12.54,12.54,11,0
20100303,12.54,12.54,12.145,12.19,1050,0
20100304,12.055,12.235,12.055,12.235,127,0
20100305,12.235,12.459,12.235,12.459,654,0
20100308,12.459,12.459,12.459,12.459,557,0
20100309,12.54,12.54,12.109,12.244,291,0
20100310,12.055,12.53,12.055,12.53,1228,0
20100311,12.522,12.522,12.522,12.522,23,0
20100312,12.512,12.522,12.512,12.522,759,0
20100315,12.522,12.522,12.208,12.512,390,0
20100316,12.504,12.504,12.459,12.495,9554,0
20100317,12.504,12.504,12.504,12.504,11,0
20100318,12.495,12.495,12.495,12.495,11,0
20100319,12.504,12.504,12.145,12.504,670,0
20100322,12.504,12.504,12.504,12.504,11,0
20100323,12.369,12.504,12.369,12.504,447,0
20100324,12.504,12.504,12.253,12.504,624,0
20100325,12.495,12.495,12.19,12.495,837,0
20100326,12.19,12.495,12.109,12.495,9133,0
20100329,12.495,12.495,12.055,12.486,1260,0
20100330,12.495,12.495,12.119,12.119,7659,0
20100331,12.459,12.459,12.459,12.459,2,0
20100401,12.459,12.459,12.037,12.45,3717,0
20100406,12.037,12.459,12.037,12.1,1390,0
20100407,12.037,12.45,12.001,12.45,2128,0
20100408,12.414,12.414,11.948,11.948,485,0
20100409,12.1,12.361,12.1,12.1,6194,0
20100412,12.1,12.19,12.1,12.1,2616,0
20100413,11.948,12.011,11.948,12.011,569,0
20100414,11.948,11.948,11.921,11.921,948,0
20100415,11.921,11.921,11.921,11.921,1227,0
20100416,11.921,11.921,11.921,11.921,111,0
20100419,11.921,11.921,11.661,11.661,5693,0
20100420,11.921,11.921,11.697,11.832,7514,0
20100421,11.832,11.832,11.832,11.832,56,0
20100422,11.652,11.769,11.652,11.769,1127,0
20100423,12.145,12.145,12.145,12.145,558,0
20100426,12.1,12.1,11.876,11.876,1678,0
20100427,12.011,12.011,11.921,11.921,514,0
20100428,11.786,11.786,11.786,11.786,1610,0
20100429,11.75,11.786,11.75,11.786,28,0
20100430,11.849,11.849,11.849,11.849,11,0
20100504,11.965,11.965,11.965,11.965,52,0
20100505,11.965,12.44,11.965,12.414,466,0
20100506,12.414,12.414,12.414,12.414,5,0
20100507,12.011,12.548,11.93,12.548,7542,0
20100510,12.548,12.862,12.548,12.773,2436,0
20100511,12.584,13.221,12.584,13.221,1539,0
20100512,12.584,12.979,12.584,12.979,301,0
20100513,12.979,12.979,12.952,12.979,1483,0
20100514,13.257,13.714,12.996,13.714,1965,0
20100517,13.714,13.714,13.705,13.705,842,0
20100518,13.669,13.669,13.444,13.534,1255,0
20100519,13.525,13.623,13.525,13.534,2411,0
20100520,13.534,13.544,13.444,13.444,4025,0
20100521,13.534,13.534,13.534,13.534,11,0
20100524,13.444,13.444,13.176,13.176,452,0
20100525,13.176,13.176,12.728,12.728,2064,0
20100526,12.836,13.176,12.817,13.176,1680,0
20100527,13.623,13.696,13.176,13.176,424,0
20100528,13.185,13.804,13.185,13.804,916,0
20100531,13.804,14.79,13.804,14.359,19801,0
20100601,14.772,14.78,14.341,14.699,3049,0
20100602,14.341,14.655,14.341,14.655,564,0
20100607,14.341,14.341,14.341,14.341,5,0
20100608,14.52,14.52,14.52,14.52,5,0
20100609,14.52,14.52,14.297,14.297,10101,0
20100610,14.52,14.52,13.893,14.081,8707,0
20100611,13.983,14.341,13.983,14.072,7186,0
20100614,14.117,14.117,13.355,13.893,12710,0
20100615,13.893,14.341,13.893,14.341,411,0
20100616,14.43,14.476,14.251,14.251,416,0
20100617,14.52,14.655,14.52,14.655,5877,0
20100618,14.655,14.655,14.655,14.655,1515,0
20100621,14.538,14.538,14.251,14.341,1020,0
20100622,14.341,14.341,14.144,14.144,2673,0
20100623,14.117,14.243,13.983,13.983,4826,0
20100624,14.251,14.251,14.251,14.251,23,0
20100625,14.243,14.251,13.983,13.983,4012,0
20100628,13.57,13.57,13.355,13.355,2009,0
20100629,13.454,13.848,13.454,13.848,183,0
20100630,13.973,13.973,13.534,13.893,1581,0
20100701,13.893,13.973,13.534,13.534,296,0
20100705,13.552,13.552,13.552,13.552,395,0
20100706,13.884,13.884,13.83,13.83,123,0
20100707,13.973,13.973,13.973,13.973,5,0
20100708,14.243,14.243,13.623,13.623,993,0
20100709,13.623,13.623,13.444,13.444,860,0
20100712,13.758,13.758,13.355,13.355,4184,0
20100713,13.355,13.365,13.31,13.31,1672,0
20100714,13.418,13.444,13.418,13.427,1363,0
20100715,13.176,13.444,13.176,13.444,891,0
20100716,13.23,14.251,13.23,14.251,1636,0
20100719,14.251,14.251,14.162,14.162,73,0
20100720,14.162,14.162,14.072,14.072,339,0
20100721,14.072,14.251,14.072,14.207,1549,0
20100722,14.117,14.117,13.444,13.623,3124,0
20100723,13.623,13.669,13.534,13.534,8162,0
20100726,13.804,13.804,13.714,13.714,126,0
20100727,13.714,13.714,13.686,13.705,5333,0
20100728,13.714,13.714,13.444,13.623,1060,0
20100729,13.714,13.714,13.4,13.408,129,0
20100730,13.365,13.365,13.365,13.365,1176,0
20100802,13.31,13.444,13.275,13.4,2316,0
20100803,13.444,13.804,13.444,13.804,344,0
20100804,13.659,13.659,13.659,13.659,1,0
20100805,13.642,13.714,13.454,13.714,1881,0
20100806,13.714,14.045,13.623,14.045,35169,0
