Date,Open,High,Low,Close,Volume,OpenInt
20060913,11.206,12.106,9.685,9.754,1206047,0
20060914,10.162,10.162,9.4774,9.4774,169098,0
20060915,9.456,9.456,9.0617,9.3388,108290,0
20060918,9.4774,9.4774,9.1305,9.1863,40797,0
20060919,9.0961,9.0961,8.7853,8.8543,80008,0
20060920,8.8887,9.0961,8.7991,9.0617,54165,0
20060921,8.9584,9.4077,8.8543,9.0273,47775,0
20060922,8.9928,9.297,8.924,9.1928,36282,0
20060925,9.1305,9.4774,9.1305,9.3937,42104,0
20060926,9.3388,9.4077,9.1519,9.283,25160,0
20060927,9.0766,9.1305,8.924,8.938,34483,0
20060928,8.9928,9.2551,8.9928,9.1928,8652,0
20060929,9.0347,9.0347,8.9928,9.0273,8135,0
20061002,9.0273,9.0552,8.9928,8.9928,6618,0
20061003,8.9928,8.9928,8.7853,8.9445,23805,0
20061004,8.8617,8.9166,8.716,8.9166,6948,0
20061005,8.9863,9.0273,8.806,8.8199,34525,0
20061006,8.9584,9.0617,8.8268,9.0617,22733,0
20061009,9.3249,9.3249,9.1444,9.1444,9822,0
20061010,9.1444,9.1649,9.0273,9.0961,9682,0
20061011,9.0961,9.1863,9.0617,9.1305,16526,0
20061012,9.0142,9.1519,9.0003,9.0273,10617,0
20061013,9.0347,9.0617,8.9584,8.9584,11638,0
20061016,8.938,9.1305,8.938,8.9928,10987,0
20061017,8.9584,9.0617,8.8887,9.0552,13312,0
20061018,9.0617,9.124,8.9789,9.0961,14249,0
20061019,9.1165,9.4077,9.0477,9.3528,41082,0
20061020,9.47,9.816,9.47,9.685,46027,0
20061023,9.954,9.954,9.4774,9.657,15296,0
20061024,9.4979,9.822,9.3388,9.546,12068,0
20061025,9.4839,9.685,9.4495,9.526,19256,0
20061026,9.616,9.775,9.616,9.746,19749,0
20061027,9.754,9.885,9.733,9.754,30525,0
20061030,9.829,9.829,9.643,9.788,15739,0
20061031,9.878,9.878,9.678,9.788,11010,0
20061102,9.788,9.85,9.719,9.788,10020,0
20061103,9.788,10.148,9.788,10.092,35488,0
20061106,10.238,10.514,10.238,10.342,75972,0
20061107,10.48,10.48,9.857,10.072,32256,0
20061108,10.079,10.1,9.927,10.03,12242,0
20061109,10.03,10.28,9.961,9.995,12681,0
20061110,10.03,10.273,9.968,10.196,8512,0
20061113,10.168,10.168,9.927,10.1,16486,0
20061114,10.065,10.092,9.829,10.092,17912,0
20061115,10.03,10.03,9.4839,9.746,14802,0
20061116,9.623,9.713,9.616,9.685,6078,0
20061117,9.691,9.816,9.657,9.685,2546,0
20061120,9.616,9.809,9.56,9.809,9818,0
20061121,9.713,9.954,9.705,9.829,6337,0
20061122,9.768,10.03,9.768,9.947,15369,0
20061123,10.03,10.1,9.961,10.065,20521,0
20061124,10.1,10.301,9.961,10.301,38179,0
20061127,10.335,10.597,10.1,10.307,30597,0
20061128,10.307,10.355,10.106,10.307,16544,0
20061129,10.307,10.563,10.238,10.555,23249,0
20061130,10.653,11.345,10.653,11.275,87060,0
20061201,11.552,12.348,11.552,12.175,107510,0
20061204,12.313,12.762,11.829,11.863,38233,0
20061205,11.733,12.002,11.414,11.428,24267,0
20061206,11.428,11.428,10.722,11.206,36025,0
20061207,11.414,11.414,11.013,11.199,3043,0
20061208,11.069,11.345,10.944,11.345,6390,0
20061211,11.42,11.47,11.069,11.275,9478,0
20061212,11.075,11.241,10.826,10.826,16217,0
20061213,10.826,10.93,10.632,10.722,19802,0
20061214,10.736,10.826,10.445,10.445,9469,0
20061215,10.41,10.445,9.685,10.445,42117,0
20061218,10.452,10.452,10.307,10.377,9575,0
20061219,10.168,10.238,9.3388,9.3388,14525,0
