Date,Open,High,Low,Close,Volume,OpenInt
20080408,8.2378,8.7187,8.2203,8.4041,282979,0
20080409,8.3253,8.4389,8.3253,8.3951,146565,0
20080410,8.3778,8.4126,8.3602,8.3951,73370,0
20080411,8.4214,8.4914,8.4214,8.4827,23943,0
20080414,8.4827,8.4827,8.3165,8.3951,6895,0
20080415,8.3951,8.4389,8.3951,8.3951,9027,0
20080416,8.3691,8.3951,8.3691,8.3951,4711,0
20080417,8.3951,8.3951,8.3602,8.3951,2146,0
20080418,8.3165,8.3951,8.3165,8.3951,9834,0
20080421,8.4041,8.4041,8.3951,8.4041,11543,0
20080422,8.4303,8.4303,8.3427,8.3951,70899,0
20080423,8.2903,8.3951,8.2903,8.3951,2901,0
20080424,8.3951,8.3951,8.3951,8.3951,411,0
20080425,8.3951,8.3951,8.2291,8.2378,36065,0
20080428,8.2291,8.3778,8.2291,8.3778,208,0
20080429,8.3778,8.3778,8.3778,8.3778,141,0
20080430,8.1328,8.4827,8.1328,8.4827,11447,0
20080505,8.3077,8.3951,8.3077,8.3951,1521,0
20080506,8.3951,8.3951,8.3951,8.3951,15,0
20080507,8.4565,8.4565,8.4565,8.4565,115,0
20080508,8.4565,8.4565,8.2291,8.3951,35215,0
20080509,8.4739,8.5001,8.3077,8.4739,889,0
20080512,8.4827,8.4827,8.4739,8.4827,35715,0
20080513,8.4914,8.4914,8.3165,8.4914,812,0
20080514,8.5001,8.5701,8.3951,8.5701,5125,0
20080515,8.6488,8.7449,8.5701,8.7449,2184,0
20080516,8.8237,9.2788,8.8237,8.9637,136960,0
20080519,9.1819,9.3561,9.1819,9.3312,32983,0
20080520,9.4445,9.611,9.2788,9.418,2632,0
20080521,9.4357,9.4357,9.2001,9.2001,3050,0
20080523,9.0248,9.3659,9.0248,9.3659,2256,0
20080526,9.418,9.4445,9.0512,9.3561,301,0
20080527,9.3561,9.3561,9.3404,9.3404,222,0
20080528,9.3225,9.3312,9.3225,9.3312,126,0
20080529,9.3312,9.3312,9.3312,9.3312,90,0
20080530,9.418,9.418,9.2701,9.2701,131,0
20080602,9.2701,9.2701,9.2701,9.2701,735,0
20080603,9.2701,9.2701,9.2701,9.2701,173,0
20080604,9.2701,9.2701,9.0162,9.0162,194,0
20080605,9.1123,9.2701,9.1123,9.1123,5356,0
20080606,9.2001,9.2001,9.1915,9.1915,1274,0
20080609,8.9199,9.2701,8.6577,9.2701,2216,0
20080610,9.2526,9.2526,9.2526,9.2526,21,0
20080611,9.1563,9.1563,9.1563,9.1563,58,0
20080612,9.1648,9.1648,9.1648,9.1648,42,0
20080613,9.1819,9.1819,9.1819,9.1819,53,0
20080616,9.1563,9.1563,9.1563,9.1563,58,0
20080617,8.8325,9.1208,8.8325,9.1208,819,0
20080618,9.0952,9.0952,8.7626,9.0952,381,0
20080619,8.7626,8.8325,8.7626,8.8325,1576,0
20080620,8.8237,9.0162,8.8237,9.0162,711,0
20080623,8.8325,9.1294,8.8325,9.0865,54,0
20080624,9.0685,9.0685,9.0512,9.0512,1065,0
20080625,8.9986,8.9986,8.9637,8.9898,183,0
20080626,8.9199,9.0073,8.8761,9.0073,1374,0
20080627,8.9112,8.9112,8.9112,8.9112,23,0
20080630,8.9986,8.9986,8.9986,8.9986,23,0
20080701,9.0162,9.0162,9.0073,9.0073,30,0
20080702,8.9898,8.9898,8.9898,8.9898,25,0
20080703,9.0512,9.0512,9.0512,9.0512,23,0
20080704,9.0073,9.0073,8.9986,8.9986,23,0
20080707,9.0073,9.0073,9.0073,9.0073,23,0
20080708,8.8325,8.9986,8.8325,8.9986,680,0
20080709,8.9986,8.9986,8.6577,8.9898,535,0
20080710,8.9199,8.9199,8.9199,8.9199,28,0
20080711,8.9199,8.9199,8.6577,8.9199,1358,0
20080714,8.6577,8.9898,8.6577,8.8325,87,0
20080715,8.5701,8.8761,8.5701,8.8761,1459,0
20080716,8.9986,8.9986,8.9112,8.9112,881,0
20080717,8.7449,8.9199,8.5701,8.5701,702,0
20080718,8.9898,8.9898,8.5701,8.5701,218,0
20080721,8.9898,8.9898,8.9898,8.9898,80,0
20080722,8.7449,8.7449,8.7449,8.7449,572,0
20080723,8.7449,8.7449,8.7449,8.7449,87,0
20080724,8.7449,8.7449,8.7449,8.7449,342,0
20080725,8.7449,8.7449,8.5701,8.7449,388,0
20080728,8.9199,8.9199,8.9199,8.9199,23,0
20080729,8.9199,8.9199,8.9112,8.9112,23,0
20080730,8.9199,8.9199,8.8761,8.8761,23,0
20080731,8.7449,8.7449,8.5701,8.5701,159,0
20080801,8.7449,8.7449,8.5701,8.7449,1819,0
20080804,8.7449,8.7449,8.7449,8.7449,23,0
20080805,8.7449,8.7449,8.7364,8.7364,23,0
20080806,8.9199,8.9199,8.7449,8.7449,32,0
