Date,Open,High,Low,Close,Volume,OpenInt
20150508,114.4,114.4,107.6,111.3,260486,0
20150511,110.95,112.4,109.2,111.55,72189,0
20150512,112,112,111,111.8,10873,0
20150513,114,117.95,113.9,117.9,203616,0
20150514,118,118,115.6,117.5,20759,0
20150515,117.5,117.5,116.5,117,20174,0
20150518,117,117,116,116.9,36067,0
20150519,116.1,117.8,116.1,117.8,8210,0
20150520,117.9,118,116.55,117,24788,0
20150521,117.6,117.6,115.5,115.5,24245,0
20150522,115.55,116.9,115.3,116.45,45194,0
20150525,115.95,115.95,115.1,115.1,4139,0
20150526,115.1,115.9,115.1,115.6,6468,0
20150527,115.6,115.6,114.2,114.75,6036,0
20150528,114.8,115.25,114,115.25,49355,0
20150529,114.5,116.2,114.5,116.2,2292,0
20150601,116,116.3,116,116.2,627,0
20150602,115.55,116.15,115,115.25,9568,0
20150603,115,115.85,115,115.85,2676,0
20150605,115.65,116,114.7,116,6705,0
20150608,115,116.1,115,116,38305,0
20150609,115.6,115.6,114.55,115,29765,0
20150610,114.5,115.5,114.5,115.05,3237,0
20150611,115.5,116.85,115.5,116.5,7103,0
20150612,116.5,117,116.5,116.5,11024,0
20150615,115.6,116,115.3,115.5,16583,0
20150616,115.2,115.7,115.05,115.2,896,0
20150617,115.25,115.45,114.55,115,32804,0
20150618,115.5,115.5,114.05,115,5967,0
20150619,115,115,114.1,114.6,5703,0
20150622,115,115,114.55,114.7,267,0
20150623,114.5,114.95,114.3,114.95,14660,0
20150624,115.65,117,115,115.2,3935,0
20150625,115.4,115.85,115.2,115.2,838,0
20150626,116,116,115,115.5,4499,0
20150629,113.95,114.35,110.2,113,10213,0
20150630,113,114.45,112.1,113.5,1862,0
20150701,115,115,113.5,114,740,0
20150702,113.55,114,112,112.5,1294,0
20150703,113,113.15,113,113,5122,0
20150706,111.6,111.6,110.55,111,970,0
20150707,112.95,113.3,111.1,113.3,2128,0
20150708,111,113.5,105.15,111.75,11476,0
20150709,112.5,112.9,111.5,111.5,2506,0
20150710,112,113,111.5,112,2591,0
20150713,113,113,111.8,112.4,262,0
20150714,112.95,112.95,111.7,112.2,317,0
20150715,111.9,112.8,111.9,112.7,6030,0
20150716,112.95,117.5,112.2,117.15,36411,0
20150717,117.5,119.7,117.2,119.5,5910,0
20150720,119.9,121.85,118,119,6878,0
