Date,Open,High,Low,Close,Volume,OpenInt
20141125,180.55,190.06,179.13,190.06,22612,0
20141126,195.1,203.36,191.01,199.56,7409,0
20141127,203.17,203.17,192.43,195.38,3410,0
20141128,196.42,203.17,191.96,201.47,3992,0
20141201,202.51,202.51,197.66,200.99,345,0
20141202,198.33,201.47,198.23,199.61,591,0
20141203,200.51,200.51,193.86,197.56,1008,0
20141204,196.24,197.18,196.24,196.71,667,0
20141205,196.47,197.61,196.24,197.61,525,0
20141208,197.61,197.61,196.24,196.67,671,0
20141209,196.24,196.71,193.01,196.33,1156,0
20141210,193.86,195.57,193.38,194,209,0
20141211,193.96,193.96,181.79,184.36,1713,0
20141212,185.3,188.63,184.45,186.26,370,0
20141215,185.78,188.44,185.3,188.44,158,0
20141216,188.44,188.49,183.79,188.11,351,0
20141217,188.49,188.49,185.3,185.3,66,0
20141218,185.3,187.21,184.36,184.36,461,0
20141219,182.55,182.93,181.6,181.98,240,0
20141222,181.6,185.3,181.51,183.41,270,0
20141223,181.6,182.93,181.6,182.93,111,0
20141229,182.46,183.5,182.46,182.46,142,0
20141230,183.55,188.16,183.55,188.16,2500,0
20150102,188.16,192.81,185.3,187.45,245,0
20150105,188.63,188.63,187.68,188.16,259,0
20150107,188.16,188.16,183.41,188.16,79,0
20150108,188.63,188.63,185.3,188.16,86,0
20150109,189.01,189.01,185.12,185.12,5953,0
20150112,185.3,186.16,185.12,185.3,1361,0
20150113,183.5,183.88,179.23,179.61,8730,0
20150114,179.23,179.23,172,175.8,7040,0
20150115,175.8,175.8,168.39,175.67,2379,0
20150116,173.43,175.67,171.05,175.67,1987,0
20150119,174.28,175.67,171.38,175.67,4854,0
20150120,172,183.88,172,183.88,31764,0
20150121,181.51,183.88,178.65,183.88,162,0
20150122,181.51,183.88,181.51,183.83,295,0
20150123,181.51,183.41,181.51,183.41,166,0
20150126,181.51,183.83,181.51,183.6,222,0
20150127,183.83,183.83,183.83,183.83,53,0
20150128,181.51,181.51,181.08,181.08,218,0
20150129,181.08,183.41,181.08,183.41,397,0
20150130,181.08,183.41,181.08,183.41,235,0
20150202,181.08,183.31,181.08,183.31,35,0
20150203,181.08,182.41,181.08,182.41,96,0
20150204,179.61,181.51,176.85,181.51,5394,0
20150206,176.85,176.85,176.85,176.85,262,0
20150209,176.76,176.76,176.71,176.71,35,0
20150210,176.33,176.76,171.05,176.76,222,0
20150211,172,176.76,172,176.76,43,0
20150212,176.76,176.76,171.05,176.76,86,0
20150216,176.76,181.41,176.76,180.55,492,0
20150217,180.55,185.17,180.55,180.55,5433,0
20150218,178.65,179.61,178.65,179.61,13,0
20150219,180.08,186.26,174.86,186.26,2336,0
20150220,185.3,186.74,185.3,186.74,15,0
20150223,177.04,177.04,177.04,177.04,7,0
20150224,179.61,180.55,177.8,180.55,145,0
20150225,180.22,185.3,180.22,184.84,7942,0
20150226,183.98,185.22,180.55,185.22,31,0
20150227,180.55,185.22,180.55,180.55,863,0
20150302,180.55,182.46,180.55,182.46,80,0
20150303,180.55,182.46,178.65,180.55,165,0
20150304,182.27,182.41,182.27,182.36,187,0
20150305,182.36,182.36,180.55,182.36,275,0
20150306,180.55,181.51,180.55,181.51,58,0
20150309,180.55,180.55,179.61,180.55,76,0
20150310,179.03,180.55,179.03,180.55,25,0
20150311,180.55,180.55,179.61,180.47,5306,0
20150312,179.61,180.47,179.61,180.47,37,0
20150313,179.03,180.42,178.94,178.94,1144,0
20150316,178.85,194.19,178.85,194.19,2831,0
20150317,193.86,194.19,190.06,194.1,2786,0
20150318,194.14,194.14,191.49,193.67,185,0
20150319,193.67,193.67,191.96,192.91,176,0
20150320,192.91,192.91,190.06,192.43,113,0
20150323,190.06,192.91,186.74,192.91,238,0
20150324,193.58,195.76,190.53,195.66,765,0
20150325,192.05,198.61,192.05,198.61,5184,0
20150326,195.05,195.76,194.81,195.76,117,0
20150327,192.29,198.61,190.15,198.61,256,0
20150330,198.61,198.61,197.66,198.52,40,0
20150331,197.66,198.61,197.66,198.61,287,0
20150401,198.61,199.56,193.38,199.56,323,0
20150402,199.56,204.31,199.56,204.12,570,0
20150407,204.31,204.31,197.95,204.12,850,0
20150408,203.36,223.32,203.36,223.32,11677,0
20150409,223.32,235.67,220.47,232.83,4045,0
20150410,232.63,232.83,228.07,231.87,477,0
20150413,231.82,232.83,228.26,232.83,406,0
20150414,232.83,232.83,228.07,232.68,50,0
20150415,225.7,232.35,218.57,228.07,125,0
20150416,228.54,228.54,215.72,221.23,392,0
20150417,216.2,223.32,216.2,223.32,143,0
20150420,221.38,223.32,216.91,222.85,123,0
20150421,218.57,218.57,216.66,216.66,82,0
20150422,216.66,216.66,216.66,216.66,121,0
20150424,216.66,216.66,211.91,216.66,122,0
20150427,216.66,216.66,216.66,216.66,55,0
20150428,216.66,217.62,216.66,217.62,98,0
20150429,214.76,221.23,213.91,221.23,113,0
20150430,217.62,221.23,213.91,221.23,120,0
20150504,221.23,225.22,221.23,225.22,367,0
20150505,224.27,224.27,224.27,224.27,1,0
20150506,224.27,224.27,223.32,223.32,332,0
20150507,218.57,227.12,218.57,226.93,35,0
20150508,224.74,225.22,219.56,225.22,9472,0
20150511,220.47,225.12,220.47,225.12,49,0
20150512,228.07,228.07,225.12,227.88,119,0
20150513,227.88,227.88,227.83,227.83,84,0
20150514,226.93,228.07,225.22,228.07,264,0
20150515,220.47,227.12,220.47,227.12,64,0
20150518,226.17,226.17,220.47,220.47,94,0
20150519,224.27,227.6,224.27,227.6,23,0
20150520,227.6,227.6,227.6,227.6,174,0
20150521,220.52,226.13,218.66,218.66,91,0
20150522,218.9,222.89,218.61,218.61,39,0
20150525,223.32,223.32,220.47,220.47,134,0
20150526,218.61,222.37,218.57,222.37,227,0
20150527,229.82,229.82,226.85,226.85,194,0
20150528,227.82,227.82,211.27,225.87,180,0
20150529,223.93,223.93,219.06,223.93,579,0
20150601,219.35,225.87,219.35,225.87,128,0
20150602,224.9,224.9,222.95,222.95,414,0
20150603,220.03,220.03,220.03,220.03,1,0
20150605,222.95,222.95,222.95,222.95,3,0
20150609,222.95,224.9,209.32,222.86,77,0
20150610,222.86,225.68,222.86,225.68,15,0
20150611,217.99,224.9,217.99,224.9,82,0
20150612,218.18,224.41,218.18,224.41,9,0
20150615,214.19,223.93,214.19,223.93,109,0
20150616,217.6,224.12,217.6,224.12,228,0
20150617,219.06,224.71,219.06,224.71,123,0
20150618,219.06,223.93,214.73,223.93,748,0
20150619,218.08,223.44,218.08,223.44,176,0
20150622,216.19,222.9,216.19,222.9,32,0
20150623,222.9,222.9,222.9,222.9,2,0
20150624,221.01,221.01,221.01,221.01,2,0
20150625,217.35,219.3,216.14,216.14,51,0
20150626,216.19,216.62,212.49,212.49,502,0
20150629,208.59,218.04,196.91,218.04,345,0
20150702,214.19,215.16,204.55,215.16,491,0
20150703,214.19,214.19,214.19,214.19,10,0
20150706,209.23,215.46,209.23,215.46,1253,0
20150707,212.34,214.19,212.34,214.19,12,0
20150708,214.19,221.98,212.34,221.98,187,0
20150709,209.47,222.76,209.47,222.76,414,0
20150710,221.98,221.98,221.98,221.98,64,0
20150713,221.98,221.98,221.98,221.98,56,0
20150714,219.06,223.34,219.06,223.34,20,0
20150715,223.34,223.34,223.34,223.34,168,0
20150716,221.01,228.16,221.01,225.92,743,0
20150717,227.82,228.21,227.82,227.82,1323,0
20150720,227.82,227.82,223.93,223.93,326,0
20150721,227.82,227.82,225.87,225.87,298,0
20150722,226.85,226.85,224.9,224.9,82,0
20150723,223.93,223.93,223.93,223.93,17,0
20150724,227.77,228.06,223.93,228.06,62,0
20150727,227.82,227.82,227.82,227.82,4,0
20150729,227.82,227.82,222.95,222.95,83,0
20150730,227.19,227.19,227.19,227.19,256,0
20150731,217.45,226.51,217.4,226.51,45,0
20150804,221.98,226.51,220.03,226.51,129,0
20150805,223.93,238.43,223.93,238.43,2774,0
20150806,238.53,238.53,233.66,238.53,230,0
20150807,240.23,240.23,226.85,238.24,165,0
20150810,238.53,238.53,238.53,238.53,21,0
20150811,238.53,238.53,238.53,238.53,5,0
20150812,238.53,238.53,238.53,238.53,186,0
20150813,239.41,239.41,233.66,239.41,56,0
20150817,231.72,237.56,231.72,237.56,18,0
20150818,237.56,237.56,237.56,237.56,18,0
20150821,234.64,237.56,231.72,237.56,147,0
20150824,226.85,228.75,215.16,228.75,960,0
20150825,222.95,227.53,222.95,226.51,276,0
20150826,221.98,226.75,221.98,226.75,215,0
20150827,221.98,226.85,221.98,221.98,268,0
20150828,221.98,229.77,221.98,229.77,312,0
20150831,231.81,237.56,231.81,237.56,247,0
20150901,236.58,237.56,222.95,237.56,947,0
20150902,236.58,236.58,236.58,236.58,1090,0
20150907,229.87,236.49,228.79,236.49,198,0
20150909,233.66,236.58,233.66,234.64,5231,0
20150910,228.79,235.61,228.79,235.61,105,0
20150911,232.69,232.69,228.79,230.74,676,0
20150914,235.61,235.61,234.64,234.64,12,0
20150915,234.64,234.64,234.64,234.64,42,0
20150916,234.64,234.64,228.02,229.77,63,0
20150917,228.79,228.79,228.79,228.79,2,0
20150918,228.79,232.69,226.94,226.94,5802,0
20150921,232.69,236.58,232.59,236.58,296,0
20150922,236.58,238.53,229.87,237.07,164,0
20150923,233.66,238.53,231.72,238.53,147,0
20150924,238.53,238.53,238.53,238.53,10,0
20150928,230.74,238.53,230.74,238.53,103,0
20150929,231.72,232.2,228.79,228.79,199,0
20150930,237.46,238.53,237.46,238.53,247,0
20151005,238.53,238.53,237.56,238.53,181,0
20151006,238.53,243.4,236.58,239.5,226,0
20151007,239.5,248.27,239.5,248.27,128,0
20151008,244.37,252.16,243.4,252.16,145,0
20151009,252.16,258,248.27,258,100,0
20151012,258,258,248.27,258,70,0
20151014,253.13,253.13,248.27,253.13,60,0
20151015,248.27,248.27,248.27,248.27,1,0
20151016,253.13,253.13,250.21,250.21,32,0
20151019,248.27,258,248.27,258,78,0
20151020,249.34,262.87,249.34,258.98,117,0
20151021,258,258,258,258,54,0
20151022,258,258,246.81,257.52,71,0
20151023,249.24,257.03,249.24,256.06,39,0
20151027,256.06,256.06,246.32,255.08,120,0
20151028,255.08,255.08,255.08,255.08,12,0
20151029,246.32,253.13,246.32,253.13,50,0
20151103,245.73,253.13,245.35,253.13,78,0
20151104,252.65,253.13,252.65,253.13,308,0
20151109,246.32,246.32,243.4,243.4,460,0
20151110,243.4,243.4,243.4,243.4,21,0
20151113,246.22,246.22,239.99,245.3,106,0
20151116,246.32,252.11,243.4,252.11,161,0
20151117,253.09,253.09,250.21,250.21,110,0
20151118,243.4,249.87,238.58,238.58,3572,0
20151119,238.58,251.19,238.58,247.2,6448,0
20151120,248.22,250.16,243.01,250.16,1118,0
20151123,248.27,248.27,243.45,247.2,339,0
20151124,250.94,250.94,244.37,247.15,54,0
20151125,245.25,250.12,245.25,250.12,46,0
20151126,243.4,244.37,242.57,242.57,76,0
20151127,242.57,246.32,241.45,246.32,54,0
20151130,246.27,246.27,245.93,245.93,2,0
20151201,245.59,245.59,242.91,242.91,78,0
20151202,240.67,243.4,234.64,243.2,111,0
20151203,242.42,242.42,242.42,242.42,4,0
20151204,243.2,243.4,230.25,243.4,555,0
20151207,242.42,242.42,242.42,242.42,3,0
20151208,239.99,241.45,239.99,241.45,2,0
20151209,240.48,240.48,229.09,238.53,155,0
20151210,237.56,238.53,232.69,238.53,124,0
20151211,238.53,238.53,238.53,238.53,119,0
20151214,233.71,238.43,233.71,237.95,2176,0
20151215,237.95,237.95,237.95,237.95,31,0
20151216,231.72,233.66,231.72,233.66,43,0
20151217,229.96,233.66,216.24,223.93,832,0
20151218,223.93,237.56,223.93,228.65,177,0
20151221,230.25,233.52,222.95,228.79,1034,0
20151222,228.79,228.79,226.85,226.85,9,0
20151223,233.18,233.57,233.18,233.57,56,0
20151228,225,232.69,224.9,230.74,444,0
20151229,232.64,232.64,222.95,222.95,1601,0
20151230,232.2,249.05,226.85,249.05,260,0
20160104,233.81,241.89,230.94,241.89,52,0
20160105,241.21,241.89,241.21,241.89,33,0
20160107,238.53,238.53,238.53,238.53,10,0
20160108,229.77,231.67,223.15,223.15,71,0
20160111,234.54,234.54,223.05,223.93,146,0
20160112,232.59,232.59,223.93,223.93,81,0
20160113,228.6,228.6,221.98,228.5,69,0
20160114,221.98,222.95,220.03,222.95,332,0
20160115,223.93,223.93,214.19,216.14,337,0
20160118,214.19,214.19,204.55,205.43,106,0
20160119,221.88,221.88,208.5,210.3,1251,0
20160120,210.78,213.07,206.5,213.07,100,0
20160121,211.22,211.22,209.32,209.32,60,0
20160122,209.32,218.08,208.54,208.54,183,0
20160125,209.71,217.99,209.71,210.3,3368,0
20160126,210.3,213.7,210.3,213.7,5,0
