Date,Open,High,Low,Close,Volume,OpenInt
20090323,6.1503,8.6105,6.1503,7.3803,28772,0
20090324,6.86,7.3803,6.226,7.3803,2007,0
20090325,6.8127,8.0427,6.8127,7.0207,3385,0
20090326,7.0019,7.5696,6.4342,7.5696,1651,0
20090327,7.0965,7.0965,7.0965,7.0965,528,0
20090330,6.8127,7.5696,6.8127,7.0965,1470,0
20090331,7.5507,8.0238,7.5507,7.7115,3483,0
20090401,7.3803,7.7115,7.3803,7.6643,604,0
20090402,7.6643,7.7589,7.6643,7.7589,2683,0
20090403,8.0143,8.0143,7.4277,7.4277,3876,0
20090406,7.9386,7.9481,7.4466,7.4466,1489,0
20090407,7.4466,8.0427,7.4466,8.0332,3128,0
20090408,8.0427,8.5158,7.4751,7.5696,4154,0
20090409,7.5696,7.9954,7.0965,7.1438,2723,0
20090414,7.1911,7.3803,7.0965,7.0965,9946,0
20090415,8.0332,8.0332,7.1249,7.3709,8141,0
20090416,7.2006,7.2006,6.3586,6.6044,10658,0
20090417,6.8127,6.8789,6.5761,6.5761,3817,0
20090420,6.6235,6.6235,6.1029,6.1029,2503,0
20090421,6.0557,6.0557,5.8191,5.8191,1058,0
20090422,5.9137,6.0557,5.9137,6.0084,1996,0
20090423,6.3301,6.3301,6.2165,6.2165,2610,0
20090424,6.4814,6.4814,6.226,6.226,155,0
20090427,6.4342,6.8127,6.4342,6.8127,288,0
20090428,6.737,6.737,6.5287,6.5287,227,0
20090429,6.5287,6.8127,6.5193,6.5193,2592,0
20090430,7.0019,7.0019,5.8286,5.8286,4911,0
20090504,6.9924,7.0019,6.3869,6.3869,8291,0
20090505,6.983,6.983,6.4814,6.4814,796,0
20090506,6.3963,6.5287,6.1503,6.5287,2800,0
20090507,6.8127,6.8127,6.3395,6.3395,3371,0
20090508,6.737,6.737,6.1787,6.491,2078,0
20090511,6.5193,6.5193,6.0652,6.1503,7319,0
20090512,6.1408,6.1408,5.9421,5.9611,5759,0
20090513,6.0652,6.0652,5.6772,5.6772,7273,0
20090514,5.9611,5.9611,5.734,5.734,1959,0
20090515,5.7719,5.7719,5.7245,5.7245,472,0
20090518,6.0557,6.0557,5.7245,5.7245,2533,0
20090519,5.9611,5.9611,5.6015,5.6015,4123,0
20090520,5.8759,5.8759,5.6015,5.6299,100,0
20090521,5.6299,5.7719,5.6299,5.7719,1766,0
20090522,5.8759,5.8759,5.8759,5.8759,2,0
20090525,5.7245,5.7245,5.5825,5.5825,731,0
20090526,5.7245,5.7245,5.7245,5.7245,11,0
20090527,5.6772,5.6772,5.6772,5.6772,333,0
20090528,5.6772,5.6772,5.6772,5.6772,898,0
20090529,5.6772,5.6772,5.6299,5.6299,448,0
20090601,5.6772,5.6772,5.6677,5.6677,446,0
20090602,5.6677,5.6677,5.5825,5.5825,79,0
20090603,5.6394,5.6772,5.592,5.592,1108,0
