Date,Open,High,Low,Close,Volume,OpenInt
20101220,3.0876,3.2953,3.0088,3.1162,287458,0
20101221,3.1305,3.2525,3.0088,3.2095,99329,0
20101222,3.2237,3.5461,3.2167,3.2596,258116,0
20101223,3.2811,3.4244,3.2095,3.2237,39323,0
20101227,3.2953,3.2953,3.016,3.2237,30462,0
20101228,3.1593,3.2738,3.0661,3.2667,20318,0
20101229,3.2308,3.2308,3.1521,3.1521,20023,0
20101230,3.1305,3.1521,3.0661,3.1521,5253,0
20101231,3.1593,3.2667,3.0876,3.2667,9558,0
20110103,3.188,3.2596,3.1521,3.188,37964,0
20110104,3.1951,3.1951,3.0805,3.1808,13664,0
20110105,3.102,3.4314,3.0088,3.2022,61762,0
20110107,3.2022,3.2811,3.0805,3.188,19228,0
20110110,3.0303,3.1521,2.9873,3.1378,12123,0
20110111,3.1162,3.1521,3.1162,3.1451,5831,0
20110112,3.0805,3.1808,2.9946,3.1162,6950,0
20110113,3.1235,3.1235,3.0088,3.0805,3751,0
20110114,3.0375,3.0375,2.8083,2.8655,55145,0
20110117,2.8655,3.0088,2.7939,2.9516,17056,0
20110118,2.9516,2.973,2.7939,2.93,14112,0
20110119,2.8655,3.0447,2.7939,2.8655,39981,0
20110120,2.8655,3.0088,2.7939,2.9157,33508,0
20110121,2.9086,2.9157,2.7866,2.8728,13698,0
20110124,2.7939,2.8941,2.7939,2.837,148028,0
20110125,2.758,2.8512,2.758,2.801,6465,0
20110126,2.7939,2.837,2.7223,2.758,158638,0
20110127,2.7796,2.923,2.7223,2.8225,50165,0
20110128,2.8297,2.8512,2.7796,2.8297,11460,0
20110131,2.8941,3.0088,2.8728,2.923,14083,0
20110201,2.923,3.0016,2.8655,2.93,17551,0
20110202,2.8655,2.93,2.8083,2.93,15500,0
20110203,2.93,2.9516,2.923,2.9516,2884,0
20110204,2.8728,2.8728,2.758,2.8584,33919,0
20110207,2.8728,2.8728,2.7939,2.8442,26933,0
20110208,2.8297,2.8655,2.7939,2.8655,5106,0
20110209,2.9372,2.9372,2.7223,2.8512,6019,0
20110210,2.7223,2.8655,2.7223,2.8584,2771,0
20110211,2.8512,2.923,2.7366,2.8655,6264,0
20110214,2.8584,2.8584,2.7509,2.8297,6939,0
20110215,2.8083,2.8297,2.7509,2.8297,2066,0
20110216,2.7939,2.8297,2.7939,2.8297,2792,0
20110217,2.7725,2.7939,2.7653,2.7939,4551,0
20110218,2.7653,2.8442,2.7653,2.8442,1397,0
20110221,2.8297,2.8655,2.8297,2.8655,3569,0
20110222,2.8655,2.8655,2.7725,2.8655,4956,0
20110223,2.8442,2.8655,2.8442,2.8655,7240,0
20110224,2.8297,2.8655,2.8297,2.8655,7192,0
20110225,2.8941,3.1305,2.8941,3.0232,33015,0
20110228,3.0517,3.0517,2.9516,3.0016,13082,0
20110301,2.9802,3.016,2.9802,3.016,10330,0
20110302,2.9802,3.1093,2.9802,3.0088,36002,0
20110303,2.9873,3.0661,2.9802,2.9802,1785,0
20110304,2.9587,3.0088,2.837,2.9658,15112,0
20110307,2.801,2.9372,2.801,2.9372,809,0
20110308,2.973,3.1162,2.9372,3.0948,89780,0
20110309,3.1162,3.1162,2.8941,3.1093,6157,0
20110310,3.1235,3.1521,3.016,3.1521,18073,0
20110311,3.0805,3.1521,3.0805,3.1162,1333,0
20110314,3.016,3.1378,3.0088,3.1305,12560,0
20110315,2.9658,3.1305,2.9658,3.1305,4539,0
20110316,3.102,3.1162,2.973,2.973,10626,0
20110317,2.9873,3.0661,2.9516,3.0661,7069,0
20110318,3.1093,3.1093,2.9587,2.9587,1593,0
20110321,3.0303,3.0303,2.9372,3.0303,23378,0
20110322,3.016,3.0232,2.9444,3.0232,2664,0
20110323,2.9946,3.0232,2.9372,2.9444,42052,0
20110324,2.9516,3.0232,2.9516,3.0232,2536,0
20110325,2.973,3.0232,2.973,3.0232,1442,0
20110328,3.0088,3.0733,3.0088,3.0733,1906,0
20110329,3.0661,3.0733,3.0447,3.0447,9532,0
20110330,3.0805,3.188,3.0661,3.1521,32001,0
20110331,3.1451,3.1521,3.1378,3.1521,10344,0
20110401,3.1521,3.1521,3.1521,3.1521,1670,0
20110404,3.1521,3.2022,3.1451,3.1951,4355,0
20110405,3.188,3.2095,3.1521,3.2095,20670,0
20110406,3.1521,3.1951,3.1521,3.1951,1694,0
20110407,3.1521,3.2596,3.1451,3.2237,20473,0
20110408,3.1593,3.2095,3.1521,3.2095,3367,0
20110411,3.2237,3.2237,3.2095,3.2095,347,0
20110412,3.1162,3.2022,3.0805,3.2022,3420,0
20110414,3.188,3.188,3.188,3.188,829,0
20110418,3.0805,3.1664,3.0517,3.1664,1884,0
20110419,3.0088,3.1305,2.9444,2.973,12621,0
20110420,2.973,3.0303,2.973,2.973,15298,0
20110421,2.973,3.0303,2.973,3.0016,21260,0
20110426,3.016,3.016,3.016,3.016,347,0
20110427,3.0733,3.0733,3.0591,3.0591,2681,0
20110428,3.0232,3.0447,2.9946,3.0447,1717,0
20110429,3.0447,3.0447,2.9587,3.0375,3006,0
20110502,3.0375,3.0375,2.9372,2.9372,1397,0
20110504,2.9372,3.0375,2.9372,3.0303,664,0
20110505,2.9658,3.016,2.9372,3.016,2313,0
20110506,3.016,3.016,2.973,2.973,1256,0
20110509,2.973,3.016,2.973,2.973,16163,0
20110510,2.973,3.0088,2.973,2.973,3467,0
20110511,2.973,2.973,2.973,2.973,10931,0
20110512,2.973,3.0088,2.973,2.9873,141,0
20110513,2.9658,3.0088,2.9372,2.9516,3356,0
20110516,2.9372,3.0016,2.9372,2.973,856,0
20110517,2.9372,2.973,2.9372,2.973,41210,0
20110518,2.9372,2.9658,2.9372,2.9658,6560,0
20110519,2.9372,2.9658,2.8655,2.8728,2548,0
20110520,2.973,2.973,2.8941,2.8941,3729,0
20110523,2.973,2.973,2.8655,2.8941,19680,0
20110524,2.8655,2.9372,2.8655,2.9372,20824,0
20110525,2.93,2.9372,2.93,2.9372,2094,0
20110526,2.9372,2.9372,2.9372,2.9372,3520,0
20110527,2.9372,2.9372,2.8297,2.8297,365,0
20110530,2.8655,2.8655,2.8655,2.8655,889,0
20110531,2.8655,2.9157,2.8655,2.8655,2946,0
20110601,2.8655,2.93,2.8584,2.93,5153,0
20110603,2.9157,2.93,2.9014,2.9014,3491,0
20110606,2.93,2.93,2.9014,2.9014,699,0
20110607,2.93,2.93,2.8297,2.923,143,0
20110608,2.8655,2.93,2.8297,2.93,1374,0
20110609,2.8297,2.93,2.8297,2.93,5028,0
20110610,2.8584,2.9086,2.8584,2.9086,566,0
20110613,2.8584,2.93,2.7223,2.8655,5300,0
20110614,2.7223,2.8941,2.7223,2.8655,199,0
20110615,2.837,2.8655,2.8297,2.8584,154,0
20110616,2.8655,2.923,2.7223,2.8655,47266,0
20110617,2.7223,2.8655,2.7223,2.8655,44485,0
20110622,2.8442,2.8442,2.8442,2.8442,168,0
20110624,2.7223,2.7223,2.7223,2.7223,161,0
20110627,2.7223,2.7223,2.7223,2.7223,7333,0
20110628,2.7509,2.758,2.6865,2.6865,10426,0
20110629,2.5074,2.6506,2.5074,2.5934,55387,0
20110630,2.6506,2.6506,2.6149,2.6149,13325,0
20110701,2.6149,2.7223,2.6149,2.7223,2229,0
20110704,2.622,2.6434,2.622,2.622,4554,0
20110705,2.6149,2.6149,2.6149,2.6149,8096,0
20110706,2.6005,2.6149,2.5791,2.6149,3154,0
20110707,2.622,2.622,2.5791,2.5791,777,0
20110708,2.5934,2.6076,2.5791,2.5934,2778,0
20110711,2.5934,2.5934,2.5004,2.5791,11867,0
20110712,2.5074,2.7079,2.3284,2.7079,53677,0
20110713,2.6434,2.6434,2.5791,2.6434,4996,0
20110714,2.6149,2.6506,2.5432,2.6434,3015,0
20110715,2.5074,2.5791,2.4358,2.5719,5230,0
20110718,2.5074,2.5074,2.185,2.2208,36753,0
20110719,2.2782,2.3425,2.2137,2.2782,44147,0
20110720,2.2925,2.4,2.2925,2.4,46083,0
20110721,2.4,2.4214,2.3355,2.3783,6659,0
20110722,2.407,2.4571,2.3783,2.4571,7990,0
20110725,2.5646,2.5646,2.4715,2.4715,2654,0
20110726,2.4715,2.5432,2.4358,2.4358,7791,0
20110727,2.4358,2.4358,2.4,2.4,5270,0
20110728,2.3641,2.4,2.3284,2.3355,7829,0
20110729,2.3355,2.4,2.3355,2.4,2870,0
20110801,2.4,2.4,2.4,2.4,42,0
20110802,2.407,2.4286,2.407,2.4286,159,0
20110803,2.3641,2.3641,2.2566,2.2566,5696,0
20110804,2.2566,2.3284,2.2566,2.2566,4864,0
20110805,2.2639,2.2925,2.228,2.2495,44293,0
20110808,2.0847,2.2137,2.0847,2.1492,15113,0
20110809,2.1133,2.1492,1.9413,2.1133,20917,0
20110810,1.9701,2.2566,1.9701,2.0417,12251,0
20110811,2.0059,2.1062,2.0059,2.0775,4971,0
20110812,2.1133,2.1419,2.1133,2.1419,19518,0
20110816,2.1562,2.228,2.1492,2.228,43940,0
20110817,2.1492,2.2208,2.1492,2.2208,2916,0
20110818,2.228,2.2352,2.0919,2.0919,10914,0
20110819,2.0775,2.1419,2.0775,2.0775,2414,0
20110822,2.0775,2.1349,2.0775,2.1349,4193,0
20110823,2.1419,2.1419,2.099,2.1419,2635,0
20110824,2.1419,2.1419,2.0775,2.1133,14736,0
20110825,2.1133,2.2352,2.1133,2.2352,23522,0
20110826,2.2495,2.3856,2.2495,2.3569,23567,0
20110829,2.3856,2.5719,2.3856,2.5719,39470,0
20110830,2.4858,2.5791,2.4858,2.5432,13678,0
20110831,2.5719,2.5719,2.5432,2.5719,18385,0
20110901,2.5432,2.5432,2.5146,2.5146,924,0
20110902,2.5074,2.5074,2.4,2.4,6106,0
20110905,2.5074,2.5074,2.3783,2.3783,1375,0
20110906,2.4358,2.4358,2.4286,2.4286,154,0
20110907,2.4358,2.5074,2.4,2.4,28673,0
20110908,2.4358,2.4358,2.4,2.4358,10134,0
20110909,2.5217,2.5217,2.4358,2.4358,3186,0
20110912,2.4358,2.4358,2.2566,2.2925,3678,0
20110913,2.2925,2.3355,2.228,2.3355,12413,0
20110914,2.3284,2.3284,2.3284,2.3284,3490,0
20110915,2.4286,2.4286,2.2997,2.3641,5478,0
20110916,2.3641,2.3641,2.3498,2.3498,55,0
20110919,2.3425,2.3425,2.3425,2.3425,230,0
20110920,2.2925,2.2925,2.2566,2.2566,5625,0
20110921,2.2925,2.321,2.2566,2.321,7971,0
20110922,2.321,2.5074,2.321,2.3641,42461,0
20110923,2.3641,2.3641,2.3641,2.3641,13,0
20110926,2.3569,2.3641,2.3284,2.3569,11319,0
20110927,2.4286,2.4286,2.3641,2.3641,4232,0
20110928,2.3713,2.3713,2.3713,2.3713,248,0
20110929,2.4286,2.4715,2.3783,2.4715,21273,0
20110930,2.4645,2.4645,2.4645,2.4645,273,0
20111003,2.4645,2.4645,2.4358,2.4358,6644,0
20111004,2.4358,2.4788,2.3641,2.4,28481,0
20111005,2.4,2.4645,2.4,2.4645,17945,0
20111006,2.4645,2.4645,2.4358,2.4358,42,0
20111007,2.4286,2.4286,2.3569,2.4142,4924,0
20111010,2.4,2.4,2.4,2.4,42,0
20111011,2.3641,2.4429,2.3641,2.3783,30003,0
20111012,2.3783,2.4214,2.3783,2.4142,52838,0
20111013,2.4,2.4571,2.4,2.4358,6606,0
20111014,2.4358,2.4358,2.4358,2.4358,2955,0
20111017,2.45,2.4571,2.45,2.4571,3629,0
20111018,2.45,2.4571,2.45,2.45,4994,0
20111019,2.4429,2.4429,2.4358,2.4358,253,0
20111020,2.3139,2.3569,2.2997,2.3425,17368,0
20111021,2.3425,2.5432,2.3355,2.5074,16473,0
20111024,2.5074,2.5074,2.4645,2.5074,6258,0
20111025,2.5004,2.5719,2.4645,2.5719,942,0
20111026,2.5719,2.5719,2.5719,2.5719,68,0
20111027,2.5791,2.5791,2.5791,2.5791,506,0
20111028,2.5791,2.5791,2.5575,2.5575,279,0
20111031,2.5791,2.5791,2.5432,2.5791,3378,0
20111102,2.5074,2.5074,2.493,2.493,1535,0
20111103,2.4571,2.5004,2.4286,2.4286,949,0
20111104,2.4286,2.5146,2.4286,2.5074,1266,0
20111107,2.5791,2.5791,2.5074,2.5074,356,0
20111108,2.493,2.5004,2.493,2.5004,1675,0
20111109,2.5074,2.5074,2.4715,2.4715,279,0
20111110,2.4358,2.4645,2.4358,2.4645,419,0
20111114,2.4715,2.4715,2.4214,2.4358,9065,0
20111115,2.5004,2.5004,2.4142,2.4142,3509,0
20111116,2.3856,2.4,2.3856,2.3856,573,0
