Date,Open,High,Low,Close,Volume,OpenInt
20111011,14.561,15.046,14.075,14.075,24283,0
20111012,14.075,14.075,13.299,13.871,27918,0
20111013,13.881,14.415,13.784,14.415,3075,0
20111014,14.561,15.017,14.367,14.561,15508,0
20111017,14.561,14.561,13.59,14.269,2687,0
20111018,14.221,14.221,12.619,13.59,876,0
20111019,13.687,13.687,13.59,13.59,618,0
20111020,13.59,13.59,13.347,13.347,103,0
20111021,13.347,14.386,13.056,14.386,6016,0
20111024,14.075,14.075,14.075,14.075,10,0
20111025,14.075,14.075,13.939,14.066,525,0
20111026,14.066,14.066,13.93,13.93,21,0
20111027,13.93,13.93,13.784,13.784,36,0
20111028,13.784,13.784,13.59,13.59,2179,0
20111031,13.59,13.59,13.396,13.59,1247,0
20111102,13.347,13.347,12.619,12.765,2448,0
20111103,13.105,13.444,13.105,13.396,1143,0
20111104,13.444,13.59,13.396,13.396,201,0
20111107,13.396,13.474,13.396,13.464,144,0
20111108,13.493,13.493,12.813,12.813,6696,0
20111109,13.105,13.105,13.105,13.105,10,0
20111110,13.105,13.648,13.105,13.639,2696,0
20111114,13.639,13.648,13.435,13.435,1034,0
20111115,13.299,13.299,13.153,13.153,31,0
20111116,13.153,13.153,13.105,13.105,52,0
20111117,13.105,13.105,9.717,10.678,13423,0
20111118,11.639,11.639,9.513,9.707,21706,0
20111121,9.707,9.707,9.707,9.707,10,0
20111122,9.688,9.998,9.688,9.998,21192,0
20111123,10.192,10.29,9.998,9.998,361,0
20111124,10.008,11.163,9.998,9.998,697,0
20111125,9.998,9.998,9.998,9.998,10,0
20111128,10.095,10.095,10.008,10.008,62,0
20111129,9.998,9.998,9.901,9.901,258,0
20111130,9.901,9.911,9.901,9.901,150,0
20111201,9.901,9.901,9.901,9.901,4,0
20111202,9.824,9.833,9.824,9.833,82,0
20111205,9.853,9.95,9.853,9.95,41,0
20111206,9.853,9.853,9.853,9.853,31,0
20111207,9.95,9.95,9.95,9.95,52,0
20111208,9.901,11.639,9.4159,11.639,79843,0
20111209,11.639,11.639,11.639,11.639,10,0
20111212,11.629,11.629,9.707,9.707,979,0
20111214,9.707,9.707,9.707,9.707,10,0
20111216,9.707,10.192,9.697,9.697,1535,0
20111219,10.192,10.192,9.707,9.707,72,0
20111220,9.697,9.697,9.2121,9.2218,1823,0
20111221,9.2218,9.998,9.2121,9.998,18564,0
20111222,10.095,10.192,10.095,10.192,3470,0
20111223,10.192,10.29,10.183,10.29,1403,0
20111227,10.387,10.668,10.387,10.629,2107,0
20111228,10.678,11.153,10.192,11.153,22489,0
20111229,11.251,11.551,11.202,11.357,7487,0
20111230,11.493,11.493,10.192,11.066,1533,0
20120102,10.678,10.678,10.542,10.542,603,0
20120103,10.542,10.678,10.542,10.678,1267,0
20120104,10.678,10.678,10.192,10.192,3260,0
20120105,10.192,10.192,10.192,10.192,41,0
20120109,10.192,10.29,10.192,10.29,263,0
20120110,10.338,10.387,10.338,10.387,62,0
20120111,10.338,10.484,10.338,10.484,30,0
20120112,10.338,10.484,10.29,10.29,192,0
20120113,10.387,10.581,10.387,10.581,272,0
20120116,10.581,10.581,10.435,10.484,979,0
20120117,10.387,10.59,10.387,10.59,381,0
20120118,10.59,10.59,10.484,10.581,2442,0
20120119,10.581,10.581,10.561,10.581,1550,0
20120120,10.581,10.581,10.581,10.581,21,0
20120123,10.581,10.581,10.484,10.484,2874,0
20120124,10.484,10.484,8.7364,9.513,2154,0
20120125,9.532,10.192,9.532,10.192,197,0
20120126,10.571,12.668,10.561,10.775,5547,0
20120127,10.775,12.61,10.775,11.163,6929,0
20120130,12.037,12.328,10.872,12.328,10030,0
20120131,12.58,12.61,12.425,12.522,4481,0
20120201,12.571,14.9,12.571,14.9,15700,0
20120202,14.367,14.9,14.269,14.658,3567,0
20120203,14.561,17.463,14.415,17.463,6079,0
20120206,17.415,18.22,16.987,16.987,3938,0
20120207,17.23,17.376,16.696,16.745,3663,0
20120208,16.968,16.968,16.958,16.958,417,0
20120209,16.958,16.987,16.492,16.492,2747,0
20120210,16.502,16.502,15.366,16.017,5366,0
20120213,15.531,16.114,15.434,16.017,1131,0
20120214,16.065,16.065,15.92,15.92,239,0
20120215,15.92,16.502,15.046,15.046,1991,0
20120216,15.046,15.046,14.172,14.279,1060,0
20120217,14.269,15.726,14.269,15.726,640,0
20120220,16.502,16.502,15.065,16.405,755,0
20120221,15.677,15.726,15.677,15.677,727,0
20120222,15.726,16.017,15.726,15.92,1360,0
20120223,15.871,15.871,15.531,15.58,2096,0
20120224,15.677,15.716,14.561,14.561,1119,0
20120227,14.561,15.24,14.561,15.24,330,0
20120228,15.24,15.24,15.095,15.24,1046,0
20120229,15.24,15.24,14.124,14.269,6031,0
20120301,14.502,14.502,13.59,13.871,1736,0
20120302,13.881,14.075,13.444,13.59,1157,0
20120305,13.59,13.881,13.59,13.881,980,0
20120306,13.784,13.881,13.59,13.59,1002,0
20120308,13.59,14.26,13.59,13.978,1087,0
20120309,13.988,13.988,13.988,13.988,766,0
20120312,14.172,14.26,14.172,14.26,22858,0
20120313,14.269,14.269,14.172,14.221,205,0
20120314,14.221,14.367,14.211,14.221,3519,0
20120315,14.269,14.269,14.221,14.269,793,0
20120316,14.269,14.269,14.075,14.221,2205,0
20120319,14.269,14.269,14.221,14.221,1833,0
20120320,14.221,15.24,14.221,14.609,50788,0
20120321,14.658,15.24,14.561,14.609,4835,0
20120322,14.561,14.561,14.134,14.134,794,0
20120323,14.124,14.269,14.124,14.124,639,0
20120326,14.367,14.367,14.075,14.075,1157,0
20120327,14.075,14.211,13.978,14.075,57643,0
20120328,14.075,14.075,14.075,14.075,2246,0
20120329,13.988,14.027,13.978,14.027,232,0
20120330,13.978,14.221,13.978,14.075,24806,0
20120402,14.085,14.085,13.687,13.687,4584,0
20120403,13.687,14.046,13.687,14.017,2005,0
20120404,14.017,14.046,13.59,13.59,6998,0
20120405,13.59,13.726,13.59,13.726,118,0
20120410,13.726,13.726,12.959,13.444,1762,0
20120411,13.483,13.541,13.25,13.541,4648,0
20120412,13.6,13.6,13.6,13.6,618,0
20120413,13.59,13.6,13.58,13.59,5005,0
20120416,13.59,13.59,13.444,13.444,113,0
20120417,13.396,13.396,13.396,13.396,1445,0
20120418,13.493,13.726,13.396,13.396,1082,0
20120419,13.396,13.58,13.396,13.58,1092,0
20120420,13.59,13.59,13.396,13.396,1061,0
20120423,13.59,13.59,13.153,13.153,6397,0
20120424,13.25,13.347,13.25,13.347,108,0
20120425,13.347,13.347,13.347,13.347,21,0
20120426,13.396,13.396,13.105,13.347,1291,0
20120427,13.347,13.347,13.347,13.347,1,0
20120430,13.396,13.396,13.299,13.299,726,0
20120502,13.299,13.299,13.105,13.299,2536,0
20120504,13.299,13.299,13.299,13.299,52,0
20120507,13.299,13.299,13.153,13.153,41,0
20120508,13.105,13.114,12.862,12.862,4512,0
20120509,12.862,12.862,12.522,12.619,5656,0
20120510,12.619,12.619,12.415,12.415,515,0
20120511,12.425,12.425,12.328,12.377,4553,0
20120515,12.474,12.474,12.328,12.328,3559,0
20120516,12.367,12.367,12.367,12.367,15,0
20120517,12.377,12.619,12.377,12.619,1226,0
20120518,12.619,12.619,12.571,12.571,564,0
20120521,12.61,12.61,12.61,12.61,377,0
20120522,12.61,12.61,12.377,12.377,77,0
20120524,12.328,12.328,12.124,12.328,5917,0
20120525,12.328,12.328,12.124,12.318,2627,0
20120528,12.328,12.425,12.037,12.425,221,0
20120529,12.425,12.425,12.425,12.425,10,0
20120530,12.328,12.328,12.328,12.328,258,0
20120601,12.28,12.28,11.988,12.134,140,0
20120604,12.134,12.134,11.852,11.852,206,0
20120605,11.862,11.872,11.852,11.862,513,0
20120606,11.794,11.843,11.794,11.843,57,0
20120608,11.891,11.959,11.891,11.959,41,0
20120611,12.037,12.231,11.94,11.94,134,0
20120612,12.134,12.134,12.134,12.134,5,0
20120613,12.134,12.134,12.134,12.134,10,0
20120614,12.134,12.134,12.134,12.134,5,0
20120615,12.134,12.134,12.124,12.134,31,0
20120618,12.134,12.134,11.988,11.988,82,0
20120619,11.988,11.988,11.988,11.988,31,0
20120620,12.047,12.124,12.047,12.124,103,0
20120621,12.134,12.231,12.124,12.231,690,0
20120622,12.328,13.59,12.328,13.299,1596,0
20120625,13.299,13.299,12.998,12.998,1854,0
20120626,13.299,13.299,12.619,12.619,1441,0
20120627,12.813,12.813,12.134,12.134,1150,0
20120628,12.134,12.134,11.843,11.843,376,0
20120629,11.843,11.843,11.649,11.649,3714,0
20120702,11.649,11.649,11.649,11.649,103,0
20120703,11.843,12.105,11.551,11.649,330,0
20120704,11.649,11.649,10.794,11.095,234,0
20120705,11.309,11.445,11.309,11.445,15,0
20120706,11.649,11.649,11.649,11.649,5,0
20120709,11.649,11.649,11.124,11.124,149,0
20120711,11.124,11.124,11.124,11.124,5,0
