Date,Open,High,Low,Close,Volume,OpenInt
20120326,2.1378,2.1378,1.632,1.7274,1872099,0
20120327,1.7274,1.7274,1.4411,1.5747,2101363,0
20120328,1.6129,1.632,1.4984,1.5747,1351094,0
20120329,1.5747,1.6034,1.527,1.5747,166844,0
20120330,1.5652,1.6129,1.5556,1.5747,246121,0
20120402,1.5843,1.5843,1.527,1.5461,141328,0
20120403,1.5366,1.5843,1.5366,1.5843,148979,0
20120404,1.5556,1.5556,1.4793,1.5175,34619,0
20120405,1.527,1.527,1.4698,1.4793,265013,0
20120410,1.4602,1.4602,1.3743,1.3743,161104,0
20120411,1.3457,1.3839,1.3171,1.3839,152337,0
20120412,1.3934,1.422,1.3648,1.422,29107,0
20120413,1.4698,1.4698,1.422,1.4602,24650,0
20120416,1.422,1.4316,1.3266,1.3648,104862,0
20120417,1.3075,1.3648,1.3075,1.3361,67373,0
20120418,1.3361,1.3743,1.3361,1.3457,68856,0
20120419,1.3552,1.3743,1.3361,1.3648,122416,0
20120420,1.3743,1.3743,1.3457,1.3552,100598,0
20120423,1.4029,1.4029,1.2407,1.2789,83118,0
20120424,1.2884,1.3171,1.2884,1.3075,139786,0
20120425,1.3266,1.3266,1.2884,1.3171,48301,0
20120426,1.3075,1.3266,1.2884,1.3171,51235,0
20120427,1.3266,1.3266,1.298,1.3171,13215,0
20120430,1.3266,1.3266,1.3075,1.3171,1671,0
20120502,1.3075,1.3075,1.298,1.3075,2398,0
20120504,1.2884,1.3075,1.2884,1.2884,7993,0
20120507,1.2884,1.298,1.2598,1.2884,25755,0
20120508,1.2884,1.298,1.2598,1.298,13651,0
20120509,1.298,1.3266,1.2693,1.3266,61356,0
20120510,1.3171,1.3171,1.2693,1.2789,3353,0
20120511,1.2693,1.3075,1.2598,1.2884,17567,0
20120514,1.2884,1.2884,1.2598,1.2884,1646,0
20120515,1.2598,1.2884,1.2502,1.2598,42142,0
20120516,1.2884,1.2884,1.193,1.2598,34528,0
20120517,1.2216,1.2884,1.2216,1.2407,74316,0
20120518,1.2693,1.2693,1.2025,1.2598,71693,0
20120521,1.2693,1.2693,1.2216,1.2216,25309,0
20120522,1.2407,1.2407,1.2121,1.2407,27426,0
20120523,1.2121,1.2312,1.1834,1.2121,63727,0
20120524,1.2121,1.2121,1.1834,1.193,44316,0
20120525,1.2693,1.2693,1.1166,1.2598,38734,0
20120528,1.1548,1.2216,1.1357,1.2121,101203,0
20120529,1.2312,1.2312,1.1548,1.1548,41189,0
20120530,1.2216,1.2216,1.1357,1.1644,25636,0
20120531,1.1644,1.1644,1.1357,1.1357,92129,0
20120601,1.1357,1.1644,1.088,1.1357,61629,0
20120604,1.0594,1.1453,1.0594,1.1262,7744,0
20120605,1.088,1.1262,1.0785,1.0785,67177,0
20120606,1.1357,1.1357,1.0498,1.1071,70511,0
20120608,1.1357,1.1357,1.0498,1.0594,51914,0
20120611,1.0307,1.0975,1.0307,1.0594,60038,0
20120612,1.1071,1.1071,1.1071,1.1071,3579,0
20120613,1.1453,1.1453,1.1071,1.1453,2222,0
20120614,1.1453,1.1453,1.0975,1.1357,13929,0
20120615,1.1834,1.1834,1.1262,1.1834,33643,0
20120618,1.1262,1.1834,1.1262,1.1644,7915,0
20120619,1.1834,1.1834,1.1453,1.1453,4714,0
20120620,1.193,1.193,1.1357,1.1453,26897,0
20120621,1.1834,1.1834,1.1834,1.1834,17,0
20120622,1.1071,1.1739,1.1071,1.1739,16,0
20120625,1.1834,1.1834,1.088,1.1357,78378,0
20120626,1.1357,1.1357,1.088,1.1357,39994,0
20120627,1.1357,1.1357,1.0785,1.1262,3688,0
20120628,1.1262,1.1262,1.0785,1.1071,13859,0
20120629,1.1262,1.1357,1.1262,1.1357,20961,0
20120702,1.1357,1.1357,1.0594,1.1166,13552,0
20120703,1.1071,1.1262,1.0785,1.1262,8271,0
20120704,1.1262,1.1357,1.0975,1.1357,6399,0
20120705,1.1357,1.1357,1.1357,1.1357,5,0
20120706,1.1357,1.1357,1.0689,1.1357,13483,0
20120709,1.1357,1.1357,1.1357,1.1357,2123,0
20120710,1.0785,1.1166,1.0689,1.1071,11557,0
20120711,1.1166,1.1166,1.0594,1.088,4837,0
20120712,1.088,1.1071,1.088,1.1071,1210,0
20120713,1.088,1.088,1.0212,1.0785,31996,0
20120716,1.1262,1.1262,1.0021,1.0594,7661,0
20120717,1.0594,1.0594,1.0021,1.0498,16764,0
20120718,1.0498,1.0498,0.9448,0.9544,203162,0
20120719,0.9639,1.0403,0.9544,1.0403,33626,0
20120720,1.0307,1.0307,0.9448,0.9448,364182,0
20120723,0.9735,0.9926,0.9448,0.9735,92284,0
20120724,1.0021,1.0021,0.9544,0.983,20106,0
20120725,0.9926,0.9926,0.9639,0.9926,24602,0
20120726,0.9926,1.0021,0.9926,1.0021,2784,0
20120727,1.0116,1.0307,1.0116,1.0307,613,0
20120730,1.0307,1.0307,0.9735,1.0307,8870,0
20120731,1.0498,1.0498,0.9926,1.0498,146,0
20120801,0.9639,1.0212,0.9639,0.9735,7329,0
20120802,0.9735,1.0307,0.9735,0.983,1067,0
20120803,1.0403,1.0403,1.0403,1.0403,10,0
20120806,1.0403,1.0403,1.0403,1.0403,13,0
20120807,1.0403,1.0403,0.983,1.0403,2388,0
20120808,0.9735,1.0021,0.9735,1.0021,24102,0
20120809,1.0403,1.0403,1.0403,1.0403,5,0
20120810,1.0403,1.0403,0.9735,1.0307,260,0
20120813,1.0403,1.0403,1.0307,1.0307,1609,0
20120814,1.0403,1.0403,0.983,0.983,381,0
20120816,1.0307,1.0307,0.9926,1.0021,2384,0
20120817,0.9926,1.0403,0.9926,1.0403,10562,0
20120820,1.0403,1.0403,1.0021,1.0116,6643,0
20120821,1.0403,1.0403,0.9544,1.0307,7692,0
20120822,1.0116,1.0403,1.0021,1.0403,6354,0
20120823,1.0403,1.0403,1.0021,1.0307,413,0
20120824,1.0403,1.0403,1.0403,1.0403,5,0
20120827,1.0403,1.0403,1.0403,1.0403,13,0
20120828,1.0403,1.0403,1.0021,1.0403,19167,0
20120829,1.0403,1.0403,0.983,1.0403,5718,0
20120830,1.0403,1.0403,0.9926,1.0212,7918,0
20120831,1.0403,1.0403,1.0307,1.0403,36679,0
20120903,1.0498,1.0498,1.0212,1.0212,18369,0
20120904,1.0498,1.0498,1.0212,1.0212,3466,0
20120905,1.0403,1.0403,1.0021,1.0021,72295,0
20120906,1.0212,1.0212,1.0021,1.0116,11911,0
20120907,1.0116,1.0212,1.0021,1.0212,3368,0
20120910,1.0212,1.0212,1.0116,1.0116,46271,0
20120911,1.0212,1.0212,1.0116,1.0212,320634,0
20120912,1.0212,1.0307,1.0116,1.0212,135029,0
20120913,1.0307,1.0403,1.0021,1.0307,14992,0
20120914,1.0307,1.0785,1.0307,1.0498,190064,0
20120917,1.0975,1.0975,1.0498,1.0498,12949,0
20120918,1.0594,1.0975,1.0498,1.0498,11027,0
20120919,1.0689,1.0975,1.0403,1.0975,8085,0
20120920,1.0689,1.0689,1.0403,1.0689,2621,0
20120921,1.0975,1.1548,1.0975,1.1453,16718,0
20120924,1.1453,1.193,1.1453,1.193,5761,0
20120925,1.1453,1.1834,1.1262,1.1834,2805,0
20120926,1.2312,1.2312,1.1357,1.193,5312,0
20120927,1.1739,1.193,1.1453,1.193,410230,0
20120928,1.193,1.2884,1.1453,1.2884,9322,0
20121001,1.1834,1.2884,1.1644,1.2407,23802,0
20121002,1.2407,1.2407,1.1834,1.2407,9229,0
20121003,1.2312,1.2312,1.193,1.193,3577,0
20121004,1.2312,1.2312,1.193,1.2312,2835,0
20121005,1.2216,1.3075,1.2216,1.3075,22729,0
20121008,1.3075,1.3075,1.2407,1.2407,7633,0
20121009,1.2598,1.2598,1.1834,1.2312,8055,0
20121010,1.2312,1.2312,1.1739,1.2312,5682,0
20121011,1.2693,1.2693,1.1834,1.2312,16170,0
20121012,1.2789,1.2789,1.1834,1.2407,3304,0
20121015,1.1453,1.2312,1.1453,1.2312,3274,0
20121016,1.2121,1.2407,1.1834,1.2407,16615,0
20121017,1.2502,1.2598,1.1739,1.2598,20791,0
20121018,1.2789,1.2789,1.193,1.193,3617,0
20121019,1.2598,1.2598,1.2216,1.2598,3362,0
20121022,1.2598,1.2598,1.2121,1.2598,2882,0
20121023,1.2598,1.2598,1.2598,1.2598,8,0
