Date,Open,High,Low,Close,Volume,OpenInt
20140108,10.397,11.802,10.397,11.474,158958,0
20140109,11.474,11.943,11.381,11.839,115921,0
20140110,11.849,11.99,11.709,11.802,29836,0
20140113,11.662,12.646,11.662,12.448,52851,0
20140114,12.177,12.599,12.177,12.495,55281,0
20140115,12.43,12.917,12.43,12.552,25960,0
20140116,12.552,12.683,12.42,12.636,36356,0
20140117,12.646,12.992,12.646,12.879,14099,0
20140120,13.058,13.058,12.57,12.954,9335,0
20140121,12.954,13.582,12.832,13.582,112388,0
20140122,13.667,13.938,13.488,13.854,37438,0
20140123,13.844,14.331,13.722,13.854,76903,0
20140124,13.9,14.05,13.582,13.91,30533,0
20140127,13.863,13.947,13.263,13.947,22161,0
20140128,13.956,14.04,13.779,14.04,14397,0
20140129,14.05,14.284,13.919,14.05,24191,0
20140130,14.05,14.05,13.507,13.9,16563,0
20140131,14.003,14.003,13.31,13.394,43103,0
20140203,13.385,13.919,13.301,13.807,15010,0
20140204,13.807,13.807,13.563,13.788,14471,0
20140205,13.769,14.275,13.769,14.266,43571,0
20140206,14.36,14.837,14.36,14.612,54638,0
20140207,14.781,15.081,14.753,15.081,122252,0
20140210,15.362,15.923,15.362,15.736,164167,0
20140211,16.064,17.254,16.064,16.673,112849,0
20140212,16.767,16.767,16.017,16.345,95938,0
20140213,16.345,16.345,16.017,16.251,13354,0
20140214,16.167,16.392,16.12,16.345,24783,0
20140217,16.664,16.767,16.204,16.757,75302,0
20140218,17.048,17.141,16.673,16.691,67870,0
20140219,16.691,16.691,16.345,16.532,21850,0
20140220,16.392,16.485,16.298,16.485,12508,0
20140221,16.701,16.71,16.41,16.71,24869,0
20140224,16.673,16.673,16.579,16.673,8525,0
20140225,16.589,16.673,16.401,16.664,8138,0
20140226,16.664,16.664,16.13,16.383,13611,0
20140227,16.251,16.345,16.12,16.336,7289,0
20140228,16.392,16.392,16.176,16.27,14746,0
20140303,15.596,15.764,14.154,14.678,89677,0
20140304,14.696,15.829,14.696,15.409,22602,0
20140305,15.961,15.961,15.268,15.352,26412,0
20140306,15.362,15.456,14.8,15.456,18076,0
20140307,15.362,15.362,15.034,15.362,6010,0
20140310,14.987,15.071,14.8,15.024,8857,0
20140311,15.081,15.081,14.659,14.659,11860,0
20140312,14.388,14.977,13.582,14.144,49376,0
20140313,14.05,14.144,13.329,13.816,28674,0
20140314,13.207,13.704,12.795,13.488,46640,0
20140317,13.263,14.987,13.263,14.8,38954,0
20140318,14.875,15.034,14.425,15.034,9120,0
20140319,14.987,15.268,14.509,14.519,20494,0
20140320,14.79,14.79,14.331,14.341,14967,0
20140321,14.594,14.781,14.331,14.519,5808,0
20140324,15.456,15.923,14.659,15.23,103106,0
20140325,15.315,15.886,14.949,15.829,121585,0
20140326,15.829,16.251,15.829,16.074,127519,0
20140327,16.102,16.111,15.868,16.111,17836,0
20140328,16.064,16.064,15.511,15.923,10935,0
20140331,16.017,16.017,15.783,15.829,947,0
20140401,16.008,16.008,15.811,15.829,3709,0
20140402,15.829,16.008,15.596,15.98,13978,0
20140403,15.97,16.045,15.446,16.017,22713,0
20140404,15.829,16.017,15.829,16.008,2383,0
20140407,15.821,16.008,15.54,15.876,15187,0
20140408,15.642,15.876,15.474,15.876,4277,0
20140409,15.829,16.008,15.511,16.008,19452,0
20140410,15.876,15.923,15.876,15.923,1890,0
20140411,15.642,15.829,15.549,15.829,6428,0
20140414,15.829,15.829,14.8,15.54,16345,0
20140415,15.099,15.389,14.996,15.296,4075,0
20140416,14.996,15.118,14.8,15.024,12482,0
20140417,14.987,15.446,14.987,15.249,6181,0
20140422,14.706,15.352,14.706,15.352,4945,0
20140423,15.362,15.642,15.277,15.446,5529,0
20140424,15.381,15.633,14.696,14.969,4409,0
20140425,14.753,14.987,14.753,14.902,956,0
20140428,14.715,14.753,14.706,14.753,5859,0
20140429,14.631,14.959,14.631,14.959,591,0
20140430,14.959,15.099,14.762,14.8,546,0
20140502,15.053,15.053,14.771,14.771,953,0
20140505,14.771,15.081,14.706,15.081,7575,0
20140506,15.071,15.071,14.706,14.987,1145,0
20140507,14.893,14.893,14.06,14.06,11794,0
20140508,14.247,14.519,14.247,14.519,6139,0
20140509,14.519,14.519,14.05,14.238,6592,0
20140512,14.238,14.519,14.191,14.519,1173,0
20140513,14.519,14.519,14.303,14.425,13775,0
20140514,14.097,14.519,14.097,14.519,2588,0
20140515,14.519,14.987,14.378,14.8,15871,0
20140516,14.977,14.977,14.378,14.547,3558,0
20140519,14.781,14.8,14.069,14.069,50951,0
20140520,14.069,14.706,14.069,14.5,8349,0
20140521,14.49,14.8,14.49,14.8,5910,0
20140522,14.481,14.987,14.378,14.893,8745,0
20140523,14.893,14.893,14.566,14.753,524,0
20140526,14.425,14.743,14.425,14.649,772,0
20140527,14.706,14.893,14.425,14.762,2909,0
20140528,14.94,14.94,14.574,14.696,724,0
20140529,14.696,14.706,14.566,14.659,1510,0
20140530,14.659,14.94,14.659,14.828,1612,0
20140602,14.837,14.837,14.444,14.8,2187,0
20140603,14.584,14.8,14.584,14.79,2623,0
20140604,14.8,14.8,14.322,14.472,14544,0
20140605,14.509,14.519,14.472,14.519,3304,0
20140606,14.574,14.574,14.434,14.519,1357,0
20140609,14.612,14.893,14.612,14.612,1068,0
20140610,14.743,14.743,14.425,14.519,6121,0
20140611,14.397,14.519,14.209,14.519,5065,0
20140612,14.425,14.5,14.162,14.5,1896,0
20140613,14.519,14.519,14.368,14.462,347,0
20140616,14.378,14.472,14.172,14.472,2017,0
20140617,14.472,14.519,14.2,14.519,4821,0
20140618,14.519,14.519,14.378,14.519,3372,0
20140620,14.425,14.509,14.425,14.509,4932,0
20140623,14.256,14.425,14.2,14.266,655,0
20140624,14.247,14.284,14.154,14.284,1868,0
20140625,14.219,14.238,14.032,14.032,4943,0
20140626,14.05,14.238,13.732,14.238,4323,0
