Date,Open,High,Low,Close,Volume,OpenInt
20010524,3.897,3.9392,3.7115,3.8548,63087,0
20010525,3.8801,3.8801,3.7367,3.7619,6481,0
20010528,3.7705,3.7705,3.644,3.7536,12536,0
20010529,3.6861,3.7367,3.5848,3.6861,13252,0
20010530,3.6776,3.6776,3.5174,3.6018,2494,0
20010531,3.5595,3.5595,3.4751,3.4751,12187,0
20010601,3.4669,3.5174,3.4246,3.4246,9604,0
20010604,3.4751,3.4751,3.2221,3.2221,3961,0
20010605,3.1716,3.18,2.7499,2.8848,21708,0
20010606,2.8512,2.8763,2.8257,2.8679,3370,0
20010607,2.8004,2.8595,2.7667,2.8425,1629,0
20010608,2.8257,2.8425,2.7667,2.8425,1222,0
20010612,2.6824,2.7921,2.5979,2.5979,12083,0
20010613,2.6149,2.6149,2.5811,2.5811,3723,0
20010615,2.5979,2.6318,2.5137,2.5137,8306,0
20010618,2.5137,2.5137,2.345,2.345,4562,0
20010619,2.3281,2.3281,1.9231,2.0413,24913,0
20010620,2.0161,2.0161,1.8895,1.8895,12388,0
20010621,1.8895,1.9231,1.8726,1.9231,3107,0
20010622,1.8979,1.94,1.881,1.881,16292,0
20010625,1.94,2.033,1.9148,2.033,58278,0
20010626,2.0834,2.0834,2.0075,2.0075,2170,0
20010627,2.0075,2.0075,2.0075,2.0075,209,0
20010628,1.9231,1.9231,1.8473,1.8473,1171,0
20010629,1.8473,1.9317,1.8473,1.9231,5436,0
20010702,1.8895,1.8895,1.8895,1.8895,1434,0
20010704,1.8473,1.9231,1.8473,1.9231,246,0
20010705,2.0413,2.0919,2.0413,2.0497,2292,0
20010710,2.0497,2.0497,2.0075,2.0075,3938,0
20010711,2.0497,2.0497,2.0497,2.0497,835,0
20010713,1.881,1.881,1.881,1.881,2779,0
20010716,2.0834,2.1426,2.0834,2.1426,567,0
20010717,2.1341,2.1763,2.1341,2.1763,729,0
20010718,2.1763,2.1763,2.1763,2.1763,1,0
20010719,2.1763,2.1763,2.0075,2.1763,28,0
20010723,2.0497,2.0497,2.0497,2.0497,3818,0
20010724,2.1087,2.1087,2.1087,2.1087,1,0
20010725,2.1004,2.1004,2.0919,2.0919,6204,0
20010726,2.1004,2.1004,2.1004,2.1004,40,0
20010727,2.0075,2.0075,2.0075,2.0075,7135,0
20010730,1.9907,1.9907,1.9907,1.9907,1241,0
20010731,1.9231,1.9991,1.881,1.9991,9811,0
20010802,1.8979,1.8979,1.8305,1.8305,3885,0
20010803,1.9231,1.9231,1.9231,1.9231,37,0
20010807,1.7206,1.8473,1.7206,1.8473,2391,0
20010809,1.6785,1.6785,1.6785,1.6785,11338,0
20010810,1.7629,1.8473,1.7629,1.8473,2088,0
20010813,1.881,1.881,1.434,1.6616,30257,0
20010814,1.5267,1.5437,1.5014,1.5437,10145,0
20010816,1.5437,1.5437,1.4256,1.5352,8970,0
20010817,1.6111,1.6111,1.5267,1.5267,1508,0
20010820,1.5267,1.5267,1.5267,1.5267,6076,0
20010821,1.5943,1.5943,1.5098,1.5098,5196,0
20010822,1.4677,1.5519,1.4677,1.5519,5806,0
20010823,1.5943,1.5943,1.5519,1.5519,2362,0
20010827,1.5943,1.6027,1.5098,1.6027,1311,0
20010831,1.4677,1.5519,1.4677,1.5182,8809,0
20010903,1.4846,1.4846,1.4593,1.4593,3395,0
20010904,1.4677,1.4677,1.4677,1.4677,1019,0
20010905,1.5606,1.5606,1.5606,1.5606,596,0
20010906,1.5098,1.5098,1.5098,1.5098,596,0
20010907,1.5098,1.5098,1.5098,1.5098,1192,0
20010912,1.2569,1.5098,1.2569,1.5098,5370,0
20010917,1.3412,1.476,1.3412,1.476,197,0
