Date,Open,High,Low,Close,Volume,OpenInt
20080603,7.5937,7.5937,5.829,7.2591,20106,0
20080604,7.5329,7.5329,5.8556,6.2768,1711,0
20080605,5.5883,5.9559,5.0267,5.1805,3229,0
20080606,5.1805,5.5147,5.1805,5.5147,864,0
20080609,5.5147,5.5147,5.2407,5.3677,497,0
20080610,5.3745,5.4145,5.3745,5.4145,276,0
20080611,5.2674,5.2674,5.0469,5.1671,1021,0
20080612,5.3677,5.3677,5.2807,5.3542,2137,0
20080613,5.4079,5.5081,5.4079,5.4546,1034,0
20080616,5.4813,5.4813,5.4212,5.4212,645,0
20080617,5.4546,5.4546,5.4479,5.4479,829,0
20080618,5.4546,5.4546,5.4546,5.4546,18,0
20080619,5.4212,5.4679,5.4212,5.4679,294,0
20080620,5.4546,5.4546,5.2607,5.4345,1137,0
20080623,5.5214,5.7487,5.381,5.6149,1473,0
20080624,5.6418,5.6418,5.6418,5.6418,36,0
20080625,5.6818,5.6953,5.6818,5.6953,201,0
20080626,5.742,6.1699,5.6418,6.1699,1308,0
20080627,5.889,6.1164,5.8824,6.1164,1181,0
20080630,6.1164,6.1164,5.8021,6.0161,774,0
20080701,5.8021,5.8021,5.7487,5.7487,1105,0
20080702,5.5348,5.5615,5.5348,5.5615,367,0
20080703,5.7553,5.8089,5.5883,5.6953,607,0
20080707,5.6953,5.6953,5.6953,5.6953,18,0
20080708,5.4212,5.4212,5.4212,5.4212,18,0
20080709,5.4212,5.4212,5.4212,5.4212,18,0
20080710,5.4212,5.4212,5.4212,5.4212,18,0
20080711,5.4212,5.4212,5.4212,5.4212,18,0
20080714,5.4212,5.4212,5.4212,5.4212,18,0
20080715,5.3142,5.3142,5.3142,5.3142,36,0
20080716,5.3142,5.3142,5.3142,5.3142,18,0
20080717,5.3142,5.3142,5.3142,5.3142,18,0
20080718,5.3142,5.3142,5.2073,5.2073,477,0
20080721,5.2607,5.2607,5.2607,5.2607,18,0
20080722,5.3076,5.3142,5.3076,5.3142,668,0
20080723,5.3142,5.3142,5.3142,5.3142,18,0
20080724,5.3142,5.3142,5.3142,5.3142,18,0
20080725,5.3142,5.3142,5.3142,5.3142,18,0
20080728,5.3142,5.3142,5.3142,5.3142,18,0
20080729,5.3076,5.3076,5.3076,5.3076,221,0
20080730,5.3076,5.3076,5.0736,5.0736,515,0
20080731,5.1805,5.3076,5.0469,5.0469,647,0
20080801,5.1538,5.234,5.1538,5.234,424,0
20080804,5.2807,5.2807,5.2807,5.2807,18,0
20080805,5.2807,5.2807,5.2807,5.2807,18,0
20080806,5.2807,5.3142,5.2807,5.3142,304,0
20080807,5.3542,5.3542,5.3542,5.3542,18,0
20080808,5.3677,5.3677,5.3677,5.3677,18,0
20080811,5.3677,5.3677,5.3677,5.3677,18,0
20080812,5.381,5.381,5.381,5.381,18,0
20080813,5.3877,5.3877,5.3877,5.3877,18,0
20080814,5.3944,5.3944,5.3944,5.3944,18,0
20080819,5.3944,5.4079,5.3944,5.4079,36,0
20080821,5.4145,5.4145,5.4145,5.4145,18,0
20080822,5.4212,5.4212,5.4212,5.4212,18,0
20080825,5.4546,5.4546,5.4546,5.4546,18,0
20080826,5.4813,5.4947,5.4813,5.4947,36,0
20080827,5.5081,5.5615,5.3142,5.3142,506,0
20080828,5.5883,5.5883,5.5883,5.5883,18,0
20080829,5.5749,5.5749,5.5749,5.5749,18,0
