Date,Open,High,Low,Close,Volume,OpenInt
20001129,2.2855,2.2855,2.2855,2.2855,24590,0
20001130,2.1418,2.1418,2.1418,2.1418,15581,0
20001201,1.983,1.983,1.983,1.983,26820,0
20001204,2.0965,2.0965,2.0965,2.0965,16906,0
20001205,2.2478,2.2478,2.2478,2.2478,83700,0
20001206,2.3311,2.3311,2.3311,2.3311,9356,0
20001207,2.3613,2.3613,2.3613,2.3613,12334,0
20001208,2.3385,2.3385,2.3385,2.3385,3235,0
20001211,2.3385,2.3385,2.3385,2.3385,1679,0
20001212,2.2629,2.2629,2.2629,2.2629,4689,0
20001213,2.2325,2.2325,2.2325,2.2325,1830,0
20001214,2.0586,2.0586,2.0586,2.0586,14978,0
20001215,2.0207,2.0207,2.0207,2.0207,10069,0
20001218,2.0207,2.0207,2.0207,2.0207,4368,0
20001219,2.1266,2.1266,2.1266,2.1266,8196,0
20001220,2.0586,2.0586,2.0586,2.0586,3477,0
20001221,1.9526,1.9526,1.9526,1.9526,9207,0
20001222,1.998,1.998,1.998,1.998,13425,0
20001227,1.8845,1.8845,1.8845,1.8845,15352,0
20001228,1.9072,1.9072,1.9072,1.9072,6111,0
20001229,1.8542,1.8542,1.8542,1.8542,8937,0
20010102,1.8845,1.8845,1.8845,1.8845,977,0
20010103,1.839,1.839,1.839,1.839,4932,0
20010104,1.8314,1.8314,1.8314,1.8314,1137,0
20010105,1.6349,1.6349,1.6349,1.6349,22537,0
20010108,1.5515,1.5515,1.5515,1.5515,11823,0
20010109,1.5289,1.5289,1.5289,1.5289,12197,0
20010110,1.5289,1.5289,1.5289,1.5289,15955,0
20010111,1.5591,1.5591,1.5591,1.5591,10415,0
20010112,1.5892,1.5892,1.5892,1.5892,2433,0
20010115,1.5968,1.5968,1.5968,1.5968,14087,0
20010116,1.5438,1.5438,1.5438,1.5438,1374,0
20010117,1.5289,1.5289,1.5289,1.5289,5579,0
20010118,1.5591,1.5591,1.5591,1.5591,1902,0
20010119,1.6574,1.6574,1.6574,1.6574,3729,0
20010122,1.665,1.665,1.665,1.665,5601,0
20010123,1.5591,1.5591,1.5591,1.5591,1937,0
20010124,1.6349,1.6349,1.6349,1.6349,491,0
20010125,1.6725,1.6725,1.6725,1.6725,3417,0
20010126,1.6725,1.6725,1.6725,1.6725,3306,0
20010129,1.5741,1.5741,1.5741,1.5741,1380,0
20010130,1.6272,1.6272,1.6272,1.6272,4269,0
20010131,1.6574,1.6574,1.6574,1.6574,2840,0
20010201,1.6574,1.6574,1.6574,1.6574,3548,0
20010202,1.6349,1.6349,1.6349,1.6349,1407,0
20010205,1.5968,1.5968,1.5968,1.5968,3523,0
20010206,1.5438,1.5438,1.5438,1.5438,1473,0
20010207,1.5438,1.5438,1.5438,1.5438,7750,0
20010208,1.5438,1.5438,1.5438,1.5438,2514,0
20010209,1.5289,1.5289,1.5289,1.5289,11201,0
20010212,1.5289,1.5289,1.5289,1.5289,2322,0
20010213,1.4304,1.4304,1.4304,1.4304,6653,0
20010214,1.4682,1.4682,1.4682,1.4682,4181,0
20010215,1.4608,1.4608,1.4608,1.4608,1422,0
20010216,1.4228,1.4228,1.4228,1.4228,7750,0
20010219,1.2035,1.2035,1.2035,1.2035,18151,0
20010220,1.1277,1.1277,1.1277,1.1277,7709,0
20010221,1.0672,1.0672,1.0672,1.0672,4117,0
20010222,1.1352,1.1352,1.1352,1.1352,2904,0
20010223,1.2337,1.2337,1.2337,1.2337,1830,0
20010226,1.1352,1.1352,1.1352,1.1352,1331,0
20010227,1.1957,1.1957,1.1957,1.1957,1126,0
20010228,1.0822,1.0822,1.0822,1.0822,1198,0
20010301,1.12,1.12,1.12,1.12,1407,0
20010302,1.105,1.105,1.105,1.105,2051,0
20010305,1.0672,1.0672,1.0672,1.0672,2830,0
20010306,1.0974,1.0974,1.0974,1.0974,1817,0
20010307,1.0672,1.0672,1.0672,1.0672,1568,0
20010308,1.0747,1.0747,1.0747,1.0747,4226,0
20010309,1.0822,1.0822,1.0822,1.0822,139,0
20010312,0.9687,0.9687,0.9687,0.9687,2646,0
20010313,1.052,1.052,1.052,1.052,2817,0
20010314,1.0293,1.0293,1.0293,1.0293,2255,0
20010315,0.9611,0.9611,0.9611,0.9611,5545,0
20010316,0.9611,0.9611,0.9611,0.9611,1922,0
20010319,0.9915,0.9915,0.9915,0.9915,1549,0
20010320,0.9915,0.9915,0.9915,0.9915,2817,0
20010321,1.0066,1.0066,1.0066,1.0066,1451,0
20010322,1.0293,1.0293,1.0293,1.0293,6056,0
20010323,1.0672,1.0672,1.0672,1.0672,7014,0
20010326,1.0974,1.0974,1.0974,1.0974,2545,0
20010327,1.2792,1.2792,1.2792,1.2792,4859,0
20010328,1.2714,1.2714,1.2714,1.2714,2677,0
20010329,1.2792,1.2792,1.2792,1.2792,2817,0
20010330,1.3471,1.3471,1.3471,1.3471,422,0
20010402,1.2792,1.2792,1.2792,1.2792,15488,0
20010403,1.3093,1.3093,1.3093,1.3093,115,0
20010404,1.2412,1.2412,1.2412,1.2412,2817,0
20010405,1.3396,1.3396,1.3396,1.3396,141,0
20010406,1.3396,1.3396,1.3396,1.3396,563,0
20010409,1.3396,1.3396,1.3396,1.3396,282,0
20010410,1.3396,1.3396,1.3396,1.3396,141,0
20010411,1.3093,1.3093,1.3093,1.3093,1927,0
20010412,1.1352,1.1352,1.1352,1.1352,16101,0
20010417,1.3471,1.3471,1.3471,1.3471,563,0
20010418,1.3471,1.3471,1.3093,1.3093,7591,0
20010419,1.3244,1.3244,1.1881,1.2184,21312,0
20010420,1.1957,1.1957,1.1957,1.1957,7493,0
20010423,1.1277,1.1277,1.0672,1.1125,15004,0
20010424,1.0974,1.1427,1.0822,1.1427,1588,0
20010425,1.0898,1.1808,1.0822,1.1808,8877,0
20010426,1.1352,1.158,1.1352,1.158,2112,0
20010427,1.1655,1.1732,1.1352,1.1352,845,0
20010502,1.0974,1.158,1.0974,1.158,12750,0
20010504,1.2035,1.2035,1.0974,1.0974,5469,0
20010507,1.0747,1.0747,1.0747,1.0747,3845,0
20010508,1.0974,1.0974,1.052,1.0974,5917,0
20010510,1.0672,1.105,1.0672,1.105,5705,0
20010511,1.105,1.105,1.105,1.105,69,0
20010514,1.1352,1.1352,1.1352,1.1352,8455,0
20010515,1.0822,1.1352,0.9915,1.1352,21208,0
20010516,1.0974,1.12,1.0974,1.12,987,0
20010517,1.12,1.1352,1.0066,1.1352,14920,0
20010518,1.0974,1.0974,1.0066,1.0974,15770,0
20010521,1.0974,1.0974,1.0822,1.0974,6027,0
20010522,1.0672,1.0974,1.0672,1.0974,1548,0
20010523,1.0672,1.0898,1.0672,1.0898,845,0
20010524,1.0672,1.0974,1.0672,1.0974,1283,0
20010528,1.0217,1.0747,1.0217,1.0443,22120,0
20010529,1.0368,1.0596,1.0217,1.0596,9433,0
20010530,1.0293,1.0596,1.0293,1.0596,4987,0
20010531,1.0443,1.0443,1.0293,1.0293,5354,0
20010604,1.0368,1.0368,1.0293,1.0293,7890,0
20010605,1.0443,1.0596,1.0443,1.0596,1588,0
20010606,1.0443,1.0443,1.0443,1.0443,181,0
20010607,1.0672,1.0747,1.0217,1.0747,6204,0
20010608,1.0672,1.0672,1.0672,1.0672,5134,0
20010611,1.0141,1.0443,0.999,1.0443,845,0
20010613,0.9915,1.0368,0.9915,1.0368,563,0
20010615,1.0141,1.0141,1.0141,1.0141,422,0
20010618,1.0293,1.0293,1.0293,1.0293,3068,0
20010619,0.9915,1.0293,0.9915,1.0293,282,0
20010620,1.0293,1.0293,1.0293,1.0293,69,0
20010621,1.0293,1.0443,1.0293,1.0443,2322,0
20010622,1.0293,1.0293,1.0293,1.0293,1407,0
20010625,1.0217,1.0217,1.0217,1.0217,704,0
20010627,0.999,0.999,0.9839,0.9839,9089,0
20010628,0.9915,1.0141,0.9915,1.0141,2475,0
20010629,0.9915,1.0141,0.9915,1.0141,422,0
20010702,0.999,0.999,0.9915,0.9915,1407,0
20010703,0.9915,1.0217,0.9915,1.0217,845,0
20010704,1.0217,1.0368,0.9687,1.0293,6086,0
20010705,1.0293,1.0293,1.0293,1.0293,9863,0
20010706,1.0293,1.0822,1.0293,1.0822,2177,0
20010709,1.0217,1.0217,0.9762,0.9762,1126,0
20010710,0.9762,1.0066,0.9762,1.0066,7187,0
20010711,0.9762,1.0066,0.9762,1.0066,845,0
