Date,Open,High,Low,Close,Volume,OpenInt
20071128,5.487,6.2186,5.4797,6.204,175770,0
20071129,6.8039,6.8039,6.2332,6.438,228535,0
20071130,6.438,6.438,6.0063,6.3284,100902,0
20071203,6.438,6.438,6.1454,6.2552,97211,0
20071204,6.438,6.438,5.9991,6.2918,45806,0
20071205,6.321,6.321,5.9991,6.1161,148915,0
20071206,6.1161,6.1235,5.9625,5.9699,54457,0
20071207,5.9991,6.0063,5.9625,5.9699,186593,0
20071210,5.9333,6.2115,5.9259,6.1528,182041,0
20071211,6.2918,6.2918,6.0723,6.0723,27182,0
20071212,5.9259,6.0723,5.9259,5.9991,48253,0
20071213,5.9333,5.9991,5.9333,5.9991,29204,0
20071214,5.9991,5.9991,5.9845,5.9991,77870,0
20071217,5.9991,5.9991,5.9259,5.9918,47265,0
20071218,5.9259,5.9259,5.7065,5.7065,7804,0
20071219,5.7284,5.9259,5.7284,5.9259,11227,0
20071220,5.6918,5.9991,5.6918,5.9991,10406,0
20071221,5.9991,5.9991,5.8528,5.8528,74349,0
20071227,5.8528,5.8528,5.3406,5.4137,33671,0
20071228,5.487,5.8528,5.487,5.8528,7111,0
20080102,6.1309,6.1309,5.8528,5.8674,29102,0
20080103,5.8894,5.8894,5.7797,5.7797,852,0
20080104,5.8454,5.8528,5.7797,5.7797,7553,0
20080107,5.7577,5.7577,5.487,5.4942,2528,0
20080108,5.5236,5.6332,5.487,5.6332,6456,0
20080109,5.487,5.5602,5.3114,5.487,6262,0
20080110,5.3187,5.3187,5.2457,5.3187,11057,0
20080111,5.2968,5.2968,5.1578,5.1578,3565,0
20080114,5.4723,5.4723,5.1212,5.1944,31870,0
20080115,5.3919,5.3919,5.1944,5.3919,8447,0
20080116,5.1944,5.2676,4.9894,5.2676,272862,0
20080117,5.209,5.487,5.1212,5.3114,140341,0
20080118,5.2309,5.4137,5.2309,5.4137,18303,0
20080121,5.487,5.487,5.1066,5.1212,21401,0
20080122,5.1212,5.1944,5.0554,5.1944,23124,0
20080123,5.1944,5.3041,5.0773,5.1066,19012,0
20080124,5.2968,5.2968,5.1723,5.1723,2635,0
20080125,5.187,5.4137,5.187,5.4137,48567,0
20080128,5.2821,5.6332,5.2821,5.5602,936063,0
20080129,5.743,6.0211,5.7065,5.8162,6442,0
20080130,5.904,5.904,5.6332,5.6332,9233,0
20080131,5.8528,5.9114,5.8528,5.8747,51374,0
20080201,5.9845,5.9845,5.7943,5.8454,6206,0
20080204,5.8454,6.0723,5.8454,6.0356,30483,0
20080205,5.9259,6.0723,5.8528,5.8674,17971,0
20080206,5.7138,6.0649,5.7138,6.0649,11113,0
20080207,6.0796,6.0796,6.0723,6.0723,1602,0
20080208,6.0723,6.1381,6.0356,6.1381,1298,0
20080211,6.182,6.2698,6.1454,6.2552,7081,0
20080212,6.2625,7.0161,6.2625,7.0161,34782,0
20080213,7.1916,7.9013,7.1916,7.5721,62055,0
20080214,7.6818,7.9013,7.2428,7.3088,107794,0
20080215,7.2574,8.3403,7.2574,8.1939,361807,0
20080218,8.7719,9.2182,8.5232,8.6695,164611,0
20080219,8.6695,8.7057,8.3182,8.4865,63086,0
20080220,8.2671,8.4135,8.15,8.1572,72152,0
20080221,8.4135,8.4865,8.1572,8.3257,22861,0
20080222,8.3988,8.3988,7.9819,8.1572,11423,0
20080225,8.333,8.333,7.5575,7.6818,57583,0
20080226,7.755,8.0475,7.5721,7.5721,407044,0
20080227,7.499,7.9013,7.499,7.7842,20058,0
20080228,7.8866,7.8866,7.4623,7.499,153569,0
20080229,7.3891,7.4915,7.2939,7.3161,97912,0
20080303,7.1404,7.1404,6.7381,6.9283,71489,0
