Date,Open,High,Low,Close,Volume,OpenInt
20080402,8.8351,8.8817,8.1005,8.2586,87622,0
20080403,8.2213,8.2213,7.0681,7.44,47790,0
20080404,7.4308,7.8121,7.1239,7.1704,33714,0
20080407,7.1891,7.3286,7.1611,7.2076,23871,0
20080408,7.3286,7.3286,7.0681,7.0775,7243,0
20080409,7.0775,7.0775,6.9751,6.9751,4860,0
20080410,6.9007,6.9007,6.6775,6.6775,4087,0
20080411,6.6961,6.6961,6.1474,6.2312,35990,0
20080414,6.2312,6.2312,5.7289,5.7755,35325,0
20080415,5.7661,6.0452,5.7661,6.0452,10720,0
20080416,6.2312,6.789,6.2312,6.631,33360,0
20080417,6.6496,6.7426,6.5101,6.6869,16467,0
20080418,6.6961,6.6961,6.3799,6.5846,3575,0
20080421,6.4171,6.4636,6.1381,6.3242,3202,0
20080422,6.4915,6.4915,5.8684,6.0358,5877,0
20080423,6.0358,6.0358,5.6267,5.7196,656,0
20080424,5.6359,5.9241,5.6359,5.6824,3168,0
20080425,5.5801,5.8684,5.2547,5.8033,9324,0
20080428,5.8592,6.0358,5.8592,5.9521,6695,0
20080429,5.7661,6.0823,5.7661,5.9057,3612,0
20080430,5.9336,5.9336,5.7196,5.8963,2579,0
20080505,5.8963,6.0265,5.7661,6.0265,4752,0
20080506,6.0265,6.3706,6.0079,6.3056,4080,0
20080507,6.3056,6.3056,6.1381,6.2777,1731,0
20080508,6.2218,6.2312,5.8127,6.1846,2052,0
20080509,5.9521,6.1567,5.8312,6.0452,457,0
20080512,5.98,5.98,5.7196,5.8592,2402,0
20080513,5.8592,5.8592,5.7755,5.7755,1398,0
20080514,5.8592,5.8592,5.7011,5.8497,9861,0
20080515,5.7755,5.7755,5.7196,5.7196,2435,0
20080516,5.6916,5.8497,5.6732,5.8497,1441,0
20080519,5.8497,5.9336,5.7289,5.7661,7522,0
20080520,5.7196,5.7196,5.6545,5.6824,3454,0
20080521,6.0452,6.0452,5.6732,5.9521,1108,0
20080523,6.0358,6.0358,5.9521,5.9893,1408,0
20080526,5.98,5.98,5.5801,5.887,2785,0
20080527,5.7661,5.7661,5.6732,5.7661,306,0
20080528,5.6732,5.8127,5.6732,5.8127,1335,0
20080529,5.7661,5.8127,5.4407,5.7568,3738,0
20080530,5.7382,5.7382,5.4964,5.7103,4020,0
20080602,5.4034,5.6173,5.3941,5.6173,5926,0
20080603,5.2731,5.7661,5.2731,5.7196,13679,0
20080604,5.7568,5.7568,5.6173,5.7289,3195,0
20080605,5.7661,5.9057,5.7196,5.8033,36371,0
20080606,5.8497,5.8497,5.6732,5.8219,574,0
20080609,5.7475,5.8033,5.5801,5.6732,3121,0
20080610,5.7661,5.7661,5.4407,5.5801,1626,0
20080611,5.5056,5.5615,5.1151,5.1244,14961,0
20080612,5.1337,5.1337,4.8081,4.9198,7357,0
20080613,4.9291,4.9291,4.7896,4.9105,257,0
20080616,4.957,5.1709,4.7431,5.1709,764,0
20080618,5.0965,5.0965,4.7989,5.0965,92,0
20080623,4.7896,5.0965,4.7896,5.0965,930,0
20080624,4.7524,5.0406,4.3804,5.0406,2260,0
20080625,4.7989,4.7989,4.5571,4.7896,4955,0
20080626,4.5198,4.7896,4.5198,4.7431,2871,0
20080627,4.6501,4.7338,4.4734,4.7338,1322,0
20080630,4.6501,4.7431,4.6501,4.6501,844,0
20080701,4.6037,4.6501,4.5013,4.6037,1082,0
20080702,4.1852,4.5477,4.1852,4.5477,1971,0
20080703,4.5477,4.5477,4.3711,4.4641,745,0
20080704,4.4641,4.8362,4.4641,4.5571,5020,0
20080707,4.6966,4.6966,4.6315,4.6315,438,0
20080708,4.7431,4.7431,4.4176,4.4176,5057,0
20080709,4.6408,4.6408,4.4176,4.4176,2023,0
20080710,4.4176,4.5942,4.3153,4.585,338,0
20080711,4.2409,4.2409,4.2036,4.213,5857,0
20080714,4.2316,4.2316,4.1852,4.2316,4239,0
20080715,4.1852,4.1852,3.9991,3.9991,1086,0
20080716,3.9991,4.0269,3.9432,3.9991,1136,0
20080717,3.9897,3.9897,3.9247,3.9711,3264,0
20080718,3.9805,3.9805,3.9526,3.9805,1618,0
20080721,3.9897,3.9897,3.9711,3.9897,1786,0
20080722,3.9991,3.9991,3.9526,3.9897,844,0
20080723,3.9805,4.0828,3.7201,4.0828,3814,0
20080724,4.1386,4.4082,4.1386,4.3246,9225,0
20080725,4.3246,4.4082,4.3246,4.4082,7406,0
20080728,4.2966,4.4082,4.2966,4.3711,3817,0
20080729,4.3711,4.4082,4.1479,4.3711,9939,0
20080730,4.2781,4.4176,4.2316,4.4082,7642,0
20080731,4.4082,4.4176,4.2781,4.3896,5124,0
20080801,4.3804,4.3896,4.3804,4.3896,339,0
20080804,4.4082,4.4082,4.2781,4.4082,2956,0
20080805,4.4082,4.4176,4.1852,4.4176,5118,0
20080806,4.4176,4.6037,4.3804,4.5571,7720,0
20080808,4.5571,4.5571,4.5013,4.5013,520,0
20080811,4.4641,4.6408,4.4641,4.6129,1019,0
20080812,4.6315,4.6315,4.2781,4.2781,5298,0
20080813,4.6129,4.6408,4.4641,4.4641,770,0
20080814,4.4176,4.6129,4.4176,4.5571,917,0
20080818,4.4734,4.6221,4.4176,4.6221,3143,0
20080819,4.6129,4.6408,4.3711,4.6037,2939,0
20080821,4.5106,4.6408,4.4641,4.6315,3490,0
20080822,4.6315,4.6408,4.4641,4.6315,5704,0
20080825,4.6221,4.6315,4.6221,4.6315,344,0
20080826,4.6221,4.6221,4.4641,4.6221,3240,0
20080827,4.6315,4.6315,4.6315,4.6315,92,0
20080828,4.6037,4.6315,4.492,4.6315,2494,0
20080829,4.4641,4.6037,4.4641,4.6037,456,0
20080901,4.4548,4.5571,4.4361,4.4641,1784,0
20080902,4.5106,4.5477,4.4176,4.4176,1965,0
