Date,Open,High,Low,Close,Volume,OpenInt
20150507,35.25,36,34.6,35,445934,0
20150508,35.58,35.6,35.05,35.13,23827,0
20150511,35.5,35.5,35,35,85690,0
20150512,35.1,35.1,34.9,34.9,97753,0
20150513,34.81,34.95,34.3,34.3,3140,0
20150514,34.4,34.85,34.05,34.85,2613,0
20150515,34.5,35.2,34.5,35.2,3016,0
20150518,35.35,35.5,34.82,34.82,13626,0
20150519,34.7,34.85,34.7,34.8,57928,0
20150520,34.75,35.4,34.75,34.8,2438,0
20150521,35.5,35.5,35.01,35.01,505,0
20150522,34.72,35.48,34.72,34.82,49004,0
20150525,35.38,35.38,35.38,35.38,145,0
20150526,34.85,34.85,34.85,34.85,63,0
20150527,34.51,35,34.51,34.75,77478,0
20150528,34.7,34.84,34.52,34.75,40900,0
20150529,34.41,34.9,34.41,34.8,13155,0
20150601,34.7,34.85,34.55,34.75,6014,0
20150602,34.7,34.75,34.5,34.75,25680,0
20150603,34.5,34.8,34.5,34.68,15199,0
20150605,34.65,34.65,34.6,34.6,32675,0
20150608,34.58,34.8,34.58,34.8,5520,0
20150609,34.6,34.6,34.6,34.6,33436,0
20150610,34.6,34.7,34.52,34.56,12850,0
20150611,34.7,34.7,34.52,34.55,49794,0
20150612,34.65,34.65,34.55,34.55,7679,0
20150615,34.8,34.8,34.6,34.6,3310,0
20150616,34.6,34.75,34.48,34.75,21427,0
20150617,34.8,34.8,34.65,34.7,14524,0
20150618,34.75,34.85,34.75,34.78,3781,0
20150619,34.75,34.9,34.48,34.48,12203,0
20150622,34.51,34.7,34.51,34.6,3952,0
20150623,34.8,34.8,34.6,34.6,6412,0
20150624,34.61,34.9,34.61,34.77,13837,0
20150625,34.7,34.8,34.7,34.7,1112,0
20150626,34.6,34.6,34.54,34.58,622,0
20150629,34,34,31.35,33.7,10057,0
20150630,33.51,33.7,33.51,33.67,1051,0
20150701,33.67,34.88,33.67,34.86,14142,0
20150702,34.88,34.92,34.2,34.85,11191,0
20150703,34.85,34.92,34.19,34.5,15246,0
20150706,34.25,34.9,34.05,34.9,43507,0
20150707,34.5,34.7,34.5,34.5,2031,0
20150708,34.8,34.8,34.5,34.5,15814,0
20150709,34.6,34.6,34.2,34.5,4575,0
20150710,34.5,34.79,34.45,34.5,70382,0
20150713,34.7,34.7,34,34.28,16795,0
20150714,34.34,34.37,34,34.25,11416,0
20150715,34.25,34.6,34.02,34.6,3783,0
20150716,34.7,35.91,34.6,35.7,34353,0
20150717,35.51,36.63,35.51,36.62,247329,0
20150720,36.62,36.62,36.05,36.5,17220,0
20150721,36.5,36.88,36.2,36.88,9176,0
20150722,36.9,36.9,36.71,36.9,10153,0
20150723,36.8,36.9,36.61,36.7,5135,0
20150724,36.9,37,36.8,37,38543,0
20150727,37.15,37.3,36.8,36.81,7018,0
20150728,36.82,37.18,36.82,37,2388,0
20150729,37,37.15,36.98,36.98,11520,0
20150730,36.98,37,36.98,37,818,0
20150731,37,37.6,37,37.6,15239,0
