Date,Open,High,Low,Close,Volume,OpenInt
20151109,18.003,18.292,17.329,17.483,24779,0
20151110,17.502,18.195,16.847,16.944,10247,0
20151112,17.81,17.81,16.944,17.184,554,0
20151113,17.329,17.329,17.136,17.233,446,0
20151116,17.233,17.233,17.04,17.04,246,0
20151117,17.233,17.233,17.04,17.04,7930,0
20151118,17.233,17.233,16.896,16.944,242,0
20151119,16.896,17.04,16.896,17.04,12023,0
20151120,17.233,17.233,17.04,17.04,5194,0
20151123,17.04,17.04,16.366,16.366,27481,0
20151124,16.838,16.847,16.828,16.847,36064,0
20151125,16.655,16.655,16.655,16.655,1,0
20151126,16.847,16.847,16.847,16.847,710,0
20151127,16.847,16.847,16.847,16.847,415,0
20151130,16.655,17.184,16.655,17.184,1096,0
20151201,16.414,16.847,15.548,16.607,3219,0
20151202,16.607,16.607,16.366,16.366,215,0
20151203,15.471,15.596,15.471,15.596,6250,0
20151204,15.471,16.366,14.489,16.366,6616,0
20151207,16.414,16.414,15.452,15.452,146,0
20151208,15.644,16.511,15.644,16.366,8359,0
20151209,15.5,16.366,15.5,16.366,2193,0
20151210,16.356,16.366,16.356,16.366,481,0
20151211,16.366,16.366,16.366,16.366,21651,0
20151214,16.366,16.366,15.403,15.403,39680,0
20151215,14.826,15.663,14.826,15.297,54561,0
20151216,15.259,15.692,14.922,15.297,1289,0
20151217,14.922,15.307,14.826,14.922,27882,0
20151218,14.547,14.922,14.45,14.778,2086,0
20151221,14.527,14.527,14.441,14.441,1370,0
20151222,14.585,14.729,14.441,14.441,41740,0
20151223,13.959,14.537,13.959,14.393,6000,0
20151228,14.393,15.307,14.393,15.307,154,0
20151229,14.932,14.932,14.46,14.922,5933,0
20151230,14.922,16.366,14.922,16.366,4450,0
20160104,16.366,16.366,15.885,15.885,115,0
20160105,14.932,16.366,14.932,15.403,669,0
20160107,15.452,15.548,15.403,15.403,455,0
20160108,15.442,15.442,14.441,14.932,604,0
20160111,14.46,15.317,14.46,15.317,6,0
20160113,14.479,14.479,14.441,14.45,2480,0
20160114,14.518,14.537,14.441,14.45,1720,0
20160115,14.258,15.038,13.959,13.959,1559,0
20160118,14.007,14.007,14.007,14.007,28,0
20160119,14.441,14.729,14.056,14.056,216,0
20160120,13.767,13.921,13.478,13.921,1208,0
20160121,13.526,13.959,13.488,13.959,1535,0
20160122,13.959,13.959,13.902,13.902,14433,0
20160125,13.902,13.959,13.902,13.959,156,0
20160126,13.767,13.959,13.767,13.767,1298,0
20160127,13.767,13.863,13.632,13.632,6343,0
20160128,13.959,13.959,13.844,13.863,191,0
20160129,13.863,13.863,13.574,13.574,381,0
20160201,14.142,14.441,14.142,14.441,1040,0
20160202,14.729,14.729,14.441,14.441,64,0
20160203,14.922,14.922,14.912,14.922,214,0
20160204,14.912,14.912,14.912,14.912,27,0
20160208,14.922,14.922,13.959,13.959,560,0
20160209,13.959,13.969,13.959,13.959,21515,0
20160210,13.959,14.142,13.959,14.142,415,0
20160215,13.719,14.421,13.719,14.152,518,0
20160218,13.497,13.863,12.997,12.997,15991,0
20160219,13.093,13.449,12.997,13.353,1872,0
20160222,13.305,13.305,13.045,13.045,2503,0
20160223,13.285,13.285,13.074,13.074,61,0
20160224,13.372,13.478,13.285,13.478,758,0
20160225,13.959,14.421,13.796,14.335,785,0
20160226,14.335,14.335,13.911,13.959,2344,0
20160229,13.959,13.959,13.478,13.959,5091,0
20160301,13.959,13.959,13.95,13.959,473,0
20160302,13.959,13.959,13.719,13.959,388,0
20160303,13.959,14.441,13.959,14.441,954,0
20160304,14.624,15.297,14.614,14.729,2248,0
20160307,15.115,15.346,14.729,15.124,5421,0
20160308,15.692,15.692,15.403,15.634,2495,0
20160309,15.673,15.673,15.644,15.644,617,0
20160310,15.769,16.27,15.769,16.241,11906,0
20160311,16.27,16.462,16.26,16.462,3327,0
20160314,16.462,16.462,16.27,16.424,1568,0
20160315,16,16.559,15.971,16.559,34390,0
20160316,16.549,16.722,16.549,16.722,1215,0
20160317,16.655,16.751,16.559,16.559,60081,0
20160318,16.462,16.462,15.885,16.462,23457,0
20160321,16.462,16.944,16.222,16.944,64093,0
20160322,16.944,16.944,16.174,16.174,73375,0
20160323,16.174,16.645,16.174,16.645,793,0
20160324,16.636,16.636,16.376,16.376,685,0
20160329,16.462,16.462,15.403,16.077,3347,0
20160330,16.077,16.077,16.02,16.02,1030,0
20160331,16.077,16.366,15.981,16.366,1320,0
20160401,16.549,16.549,16.356,16.356,796,0
20160404,16.356,16.366,16.356,16.356,225,0
20160405,16.366,16.366,15.904,16.356,23,0
20160406,16.347,16.347,16.328,16.328,2,0
20160407,16.328,16.347,15.808,16.347,2109,0
20160408,16.347,16.847,16.337,16.847,3448,0
20160411,16.847,16.944,16.443,16.886,7789,0
20160412,16.924,16.934,16.568,16.886,2713,0
20160413,16.896,16.944,16.742,16.944,2906,0
20160414,16.742,16.944,16.356,16.915,3596,0
20160415,16.944,16.944,16.944,16.944,2807,0
20160418,16.944,16.992,16.366,16.366,27547,0
20160419,16.934,16.944,16.366,16.944,3328,0
20160420,16.944,16.982,16.896,16.944,3550,0
20160421,16.944,16.944,16.385,16.944,2853,0
20160422,16.896,16.944,16.52,16.944,46696,0
20160425,16.944,17.04,16.751,17.04,35225,0
20160426,16.847,16.944,16.751,16.944,60551,0
20160427,16.944,16.944,16.896,16.896,127,0
20160428,16.896,16.896,16.896,16.896,253,0
20160429,16.7512,17.0881,16.3757,17.0881,1058,0
20160502,17.0881,17.0881,16.8475,17.04,792,0
20160504,17.1,17.75,17.1,17.74,2152,0
20160505,17.7,17.7,17.45,17.64,636,0
20160506,17.6,17.6,17.2,17.5,9275,0
20160509,17.6,17.6,16,17.4,6909,0
20160510,17.49,17.49,17.1,17.4,1460,0
20160511,17.4,17.41,16.6,17.19,1863,0
20160512,17.28,17.28,16.99,16.99,1003,0
20160513,16.98,17.3,16.98,16.98,134,0
20160516,16.96,17,16.96,16.99,52,0
20160517,16.98,17.2,16.65,16.89,150,0
20160518,16.65,16.99,16.48,16.48,673,0
20160519,16.49,16.58,16.49,16.49,154,0
20160520,16.5,16.9,16.34,16.9,1184,0
20160523,16.4,17.2,16.4,17,5182,0
20160524,16.9,17.1,16.9,17.05,1484,0
20160525,17.09,17.15,17.09,17.15,799,0
