Date,Open,High,Low,Close,Volume,OpenInt
20160506,11.55,12.06,11.52,12.05,1438491,0
20160509,12.05,12.07,11.83,12,309574,0
20160510,11.97,12,11.82,11.94,31580,0
20160511,11.88,12.05,11.7,12.05,172942,0
20160512,12.05,12.29,12,12.15,318552,0
20160513,12.21,12.4,12.11,12.4,142157,0
20160516,12.4,13.2,12.3,13,132453,0
20160517,13.14,13.14,12.95,13,405542,0
20160518,13.11,13.7,13.11,13.58,123426,0
20160519,13.3,13.9,13.2,13.9,53700,0
20160520,13.9,14.3,13.65,14.3,55208,0
20160523,14.25,14.25,13.6,14,36942,0
20160524,13.85,14.48,12.85,14.2,96938,0
20160525,14.2,15,13.85,15,32081,0
20160527,15,15,14.5,14.9,4771,0
20160530,14.7,15.4,14.51,14.89,66309,0
20160531,14.98,14.98,14.42,14.69,42708,0
20160601,14.69,14.7,13.9,14.4,18165,0
20160602,14.35,14.35,13.92,13.92,5752,0
20160603,13.8,14,13.33,14,8517,0
20160606,14.35,14.35,13.65,14,2451,0
20160607,13.82,14,13.63,14,52283,0
20160608,14,14,13.65,13.65,1519,0
20160609,13.52,13.72,13.52,13.7,4895,0
20160610,13.6,13.8,13.48,13.8,14588,0
20160613,13.8,13.8,13.5,13.7,11137,0
20160614,13.5,13.7,13.36,13.7,16902,0
20160615,13.47,13.59,13.47,13.59,56793,0
20160616,13.4,13.5,13.36,13.49,22189,0
20160617,13.36,13.7,13.36,13.7,21710,0
20160620,13.51,13.75,13.5,13.75,17102,0
20160621,13.8,13.9,13.51,13.85,20887,0
20160622,13.85,14.19,13.85,14,25444,0
20160623,14,14.2,13.81,14.2,8253,0
20160624,13.5,14.5,13.33,14.39,110309,0
20160627,14.39,15,14,15,69422,0
20160628,14.61,15.47,14.61,14.89,33227,0
20160629,14.89,14.89,14.75,14.82,32167,0
20160630,14.98,15.1,14.51,15.1,92098,0
20160701,14.91,14.95,14.86,14.94,984,0
20160704,14.89,15,14.51,15,8078,0
20160705,14.78,14.8,14.68,14.69,31578,0
20160706,14.64,14.64,14.25,14.5,108337,0
20160707,14.36,14.58,14.36,14.57,1305,0
20160708,14.41,14.7,14.41,14.7,710,0
20160711,14.98,14.98,14.51,14.84,2507,0
20160712,14.7,14.84,14.5,14.84,21775,0
20160713,14.7,14.97,14.01,14.69,35946,0
20160714,14.75,14.75,14.55,14.72,19204,0
20160715,14.84,14.84,14.32,14.69,10831,0
20160718,14.68,14.68,14.41,14.68,62334,0
20160719,14.67,14.68,14.08,14.19,297258,0
20160720,14.29,14.29,14.1,14.1,8773,0
20160721,14.1,14.48,14.05,14.48,36976,0
20160722,14.5,14.5,14.15,14.36,2239,0
20160725,14.36,14.36,14.11,14.26,1919,0
20160726,14.28,14.55,14.02,14.55,15663,0
20160727,14.53,14.53,13.85,14,147230,0
20160728,13.99,14.19,13.66,14.19,126494,0
20160729,14.1,14.1,13.87,13.99,17872,0
20160801,14.39,14.39,13.67,13.97,5930,0
20160802,13.97,13.97,13.65,13.89,5731,0
20160803,13.85,13.85,13.56,13.74,75633,0
20160804,13.95,13.95,13.62,13.78,67628,0
20160805,13.79,13.79,13.41,13.55,5178,0
20160808,14.09,14.09,13.21,13.38,8159,0
20160809,13.25,13.97,13.25,13.5,56626,0
20160810,13.56,13.56,13.29,13.5,6354,0
20160811,13.5,13.69,13.28,13.43,10607,0
20160812,13.69,13.69,13.28,13.41,4739,0
20160816,13.29,13.5,13.21,13.34,11990,0
20160817,12.05,12.05,10.91,11.32,472149,0
20160818,11.5,11.5,10.95,11.09,58063,0
20160819,11.09,11.3,10.89,11.2,6875,0
20160822,11.35,11.46,11,11.42,22823,0
20160823,11.42,11.42,11.01,11.2,21496,0
20160824,11.03,11.4,11.03,11.4,3937,0
20160825,11.5,11.73,11.23,11.65,7712,0
20160826,11.5,11.6,11.36,11.59,26355,0
20160829,11.58,11.58,11.22,11.35,9555,0
20160830,11.34,11.39,11.2,11.39,6172,0
20160831,11.32,11.34,11.11,11.2,17930,0
20160901,11.07,11.29,11.02,11.19,30709,0
20160902,11.09,11.19,10.7,10.78,26836,0
20160905,10.78,10.78,9.5,9.5,47524,0
20160906,9.45,9.45,8.76,9.21,126906,0
20160907,9.1,9.79,9,9.79,24399,0
20160908,9.78,9.79,9.5,9.66,6522,0
20160909,9.5,10,9.5,10,9335,0
20160912,10,10.1,9.89,10.1,30017,0
20160913,10.11,10.11,9.76,10.1,16646,0
20160914,10.2,10.4,10.01,10.4,7994,0
20160915,10.3,10.4,10.25,10.25,4275,0
20160916,9.94,10.19,9.91,10.19,871,0
20160919,10.4,10.4,9.71,10.2,41653,0
20160920,10.2,10.2,9.81,10,5067,0
20160921,10.34,10.34,9.56,9.99,3398,0
20160922,9.98,10.39,9.98,10,1324,0
20160923,9.76,10.39,9.76,10,10097,0
20160926,9.86,10.38,9.86,10.19,21840,0
20160927,9.88,10.3,9.88,10.25,5769,0
20160928,10.29,10.4,9.91,10.39,10730,0
20160929,10.06,10.34,10.06,10.3,12963,0
20160930,10.35,10.5,10,10.35,51390,0
20161003,10.4,10.4,10.11,10.11,2464,0
20161004,10.11,10.11,9.3,9.67,33959,0
20161005,9.5,9.87,9.5,9.79,888,0
20161006,9.78,9.78,9.63,9.65,313,0
20161007,9.6,9.86,9.31,9.31,3905,0
20161010,9.2,9.5,9.2,9.5,338,0
20161011,9.19,9.45,8.95,8.95,31102,0
20161012,8.94,9.48,8.77,8.94,8465,0
20161013,8.85,9.16,8.85,9.16,252,0
20161014,8.86,9.49,8.86,9.08,1222,0
20161017,9,9.07,8.85,9,42029,0
20161018,9,9.4,6.57,7,466192,0
20161019,6.96,7.61,6.65,6.89,283685,0
20161020,6.82,7.39,6.82,7.19,63539,0
20161021,7.29,7.29,7.02,7.24,359878,0
20161024,7.08,7.98,7.08,7.5,1540176,0
20161025,7.97,7.97,7.33,7.9,491494,0
20161026,7.98,8.5,7.93,8,133059,0
20161027,8.2,8.2,7.83,8,49655,0
20161028,8.05,8.05,7.8,8,1610,0
20161031,8,8.05,7.85,7.91,7215,0
20161102,8.19,8.19,7.85,7.99,4825,0
20161103,7.8,8,7.6,8,49318,0
20161104,8.1,8.48,7.92,8.48,50759,0
20161107,8.5,8.5,8.06,8.3,1354,0
