Date,Open,High,Low,Close,Volume,OpenInt
20051019,33.995,33.995,32.159,32.349,879291,0
20051020,32.602,33.045,31.527,31.97,288050,0
20051021,31.97,31.97,31.463,31.842,140305,0
20051024,31.653,32.286,31.527,31.716,180407,0
20051025,31.653,32.919,31.653,32.919,116159,0
20051026,33.172,33.299,32.413,33.172,142500,0
20051027,32.602,32.919,32.286,32.919,29753,0
20051028,32.539,32.602,32.349,32.476,50353,0
20051031,32.286,32.729,32.286,32.539,8900,0
20051102,32.602,32.792,32.286,32.539,17368,0
20051103,32.602,32.602,32.033,32.096,56010,0
20051104,32.033,32.033,30.767,31.02,70582,0
20051107,31.02,31.02,29.374,30.386,96311,0
20051108,30.07,30.64,30.07,30.386,61101,0
20051109,30.64,31.463,30.64,31.463,89416,0
20051110,31.653,31.779,31.273,31.653,95199,0
20051114,31.653,32.413,31.653,32.413,35033,0
20051115,32.286,32.729,32.159,32.729,50982,0
20051116,32.413,33.235,32.349,33.172,77484,0
20051117,33.235,34.185,33.172,33.869,71624,0
20051118,33.931,34.249,33.615,34.185,59671,0
20051121,34.185,34.185,33.552,33.806,27011,0
20051122,33.931,34.374,33.678,34.249,111573,0
20051123,33.742,34.249,33.742,34.122,73020,0
20051124,33.742,34.374,33.742,34.249,76113,0
20051125,33.869,34.312,33.869,34.312,47581,0
20051128,34.185,34.374,34.058,34.312,38350,0
20051129,34.249,35.642,34.185,35.451,107530,0
20051130,35.324,35.767,35.008,35.767,34480,0
20051201,35.451,36.021,35.324,35.388,16609,0
20051202,35.451,35.578,35.261,35.451,35963,0
20051205,35.388,35.451,34.881,35.451,41864,0
20051206,34.945,35.451,34.881,35.451,44146,0
20051207,35.135,35.451,34.945,35.451,74377,0
20051208,35.451,35.451,34.945,35.199,12521,0
20051209,35.135,35.135,34.755,34.945,48595,0
20051212,35.324,35.324,34.502,34.818,21331,0
20051213,34.565,34.565,34.249,34.438,16298,0
20051214,34.185,34.502,34.185,34.502,25815,0
20051215,34.502,34.502,34.122,34.502,30261,0
20051216,34.312,34.565,34.249,34.502,13779,0
20051219,34.502,34.502,34.185,34.185,20266,0
20051220,34.185,34.438,34.122,34.374,27373,0
20051221,34.249,34.628,34.249,34.628,19286,0
20051222,34.374,34.818,34.249,34.502,31272,0
20051223,34.628,34.628,34.312,34.628,14701,0
20051227,34.374,34.438,34.312,34.438,36613,0
20051228,34.312,34.502,34.312,34.502,14547,0
20051229,34.374,34.502,34.374,34.502,26202,0
20051230,34.312,34.565,34.249,34.565,18987,0
20060102,34.374,34.374,33.678,34.185,20215,0
20060103,34.122,34.249,33.931,34.185,84059,0
20060104,34.185,34.312,34.122,34.249,59419,0
20060105,34.185,34.312,34.122,34.249,44468,0
20060106,34.122,34.438,34.122,34.438,54254,0
20060109,34.628,34.692,34.185,34.312,16198,0
20060110,34.185,34.312,34.122,34.312,20595,0
20060111,34.185,34.565,34.185,34.502,33587,0
20060112,34.438,35.135,34.438,35.135,52679,0
20060113,35.135,35.135,34.692,35.071,22291,0
20060116,35.324,35.388,35.135,35.199,16622,0
20060117,35.135,35.135,34.818,35.008,15217,0
20060118,34.185,37.16,34.185,36.781,265719,0
20060119,37.54,39.186,37.54,38.87,387791,0
20060120,39.186,43.491,39.186,42.794,476935,0
20060123,41.338,42.098,40.516,41.465,269877,0
20060124,41.149,41.465,40.832,40.832,144185,0
20060125,40.832,42.034,40.832,41.908,475754,0
20060126,41.908,41.908,40.832,41.149,39359,0
20060127,40.832,41.149,40.832,40.896,25217,0
20060130,40.578,41.275,40.516,41.212,22835,0
20060131,40.832,41.149,40.642,41.149,45058,0
20060201,40.642,41.085,40.642,41.085,17235,0
20060202,41.085,41.085,40.199,40.896,20588,0
20060203,40.896,40.896,40.453,40.516,110560,0
20060206,40.516,41.782,40.326,41.149,46683,0
20060207,41.212,41.275,40.578,41.275,42301,0
20060208,41.212,41.275,40.516,41.275,32028,0
20060209,41.085,42.414,40.642,42.289,72918,0
20060210,41.528,42.225,41.528,42.098,44809,0
20060213,42.162,42.414,41.971,42.162,32822,0
20060214,42.098,45.2,42.034,44.694,144591,0
20060215,44.694,44.821,43.428,43.681,61580,0
20060216,43.618,43.681,42.731,43.048,58511,0
20060217,43.048,43.174,42.731,43.048,38217,0
20060220,43.048,43.174,42.731,43.048,82558,0
20060221,43.048,43.048,41.782,42.477,17215,0
20060222,42.477,42.731,41.908,42.668,19964,0
20060223,42.985,42.985,42.225,42.542,3129,0
20060224,42.542,42.668,42.098,42.668,20593,0
20060227,42.921,43.681,42.414,43.681,52309,0
20060228,43.681,43.681,42.794,42.858,32964,0
20060301,42.858,42.858,42.098,42.098,57756,0
20060302,42.414,43.807,42.414,43.428,48425,0
20060303,43.048,43.618,42.794,43.048,33112,0
20060306,43.048,43.364,42.351,42.477,9539,0
20060307,42.668,42.668,40.263,41.782,16663,0
20060308,41.782,41.908,40.896,41.022,28428,0
20060309,40.642,41.655,40.642,41.655,23603,0
20060310,41.782,41.971,41.592,41.971,26653,0
20060313,41.338,41.971,41.338,41.971,8521,0
20060314,41.782,41.782,41.528,41.592,20256,0
20060315,41.149,41.718,41.149,41.528,3607,0
20060316,42.034,42.921,41.338,42.605,31414,0
20060317,42.668,43.681,42.668,43.111,28353,0
20060320,43.618,43.618,42.731,43.048,68315,0
20060321,43.048,43.048,42.034,42.289,4236,0
20060322,41.846,42.289,41.655,41.655,4403,0
20060323,41.592,42.162,41.592,41.908,8234,0
20060324,41.908,42.098,41.528,41.655,12385,0
20060327,41.655,43.048,41.655,42.985,14264,0
20060328,43.428,43.744,42.542,42.858,21734,0
20060329,42.921,42.921,42.162,42.858,9389,0
20060330,42.731,43.111,42.289,43.048,12365,0
20060331,43.048,43.428,42.289,42.668,14100,0
20060403,43.048,43.491,42.289,43.364,34684,0
20060404,43.618,43.618,42.794,43.364,37076,0
20060405,43.555,44.25,43.238,44.25,55131,0
20060406,44.314,44.566,43.87,44.25,19339,0
20060407,44.061,44.884,44.061,44.566,28436,0
20060410,44.884,44.884,43.998,44.441,26034,0
20060411,44.187,46.023,43.998,45.643,44504,0
20060412,45.643,45.896,45.009,45.77,18055,0
