Date,Open,High,Low,Close,Volume,OpenInt
20121030,23.559,23.639,23.289,23.289,3371145,0
20121031,23.289,23.397,23.109,23.109,425734,0
20121102,23.109,23.109,22.749,22.839,310463,0
20121105,22.749,22.821,22.749,22.749,117551,0
20121106,22.749,23.055,22.749,22.992,66106,0
20121107,23.091,23.19,23.001,23.001,50719,0
20121108,23.001,23.063,22.992,23.063,35451,0
20121109,23.063,23.082,22.956,23.019,50228,0
20121112,23.019,23.073,22.974,22.974,86676,0
20121113,22.974,23.063,22.974,23.037,258271,0
20121114,23.109,23.253,23.109,23.235,127267,0
20121115,23.271,23.378,23.199,23.244,86339,0
20121116,23.28,23.442,23.28,23.397,97785,0
20121119,23.378,23.442,23.244,23.333,134327,0
20121120,23.289,23.316,23.109,23.127,37501,0
20121121,23.063,23.1,23.019,23.028,28231,0
20121122,23.019,23.631,22.938,23.612,631082,0
20121123,23.559,23.703,23.442,23.648,123571,0
20121126,23.648,23.765,23.648,23.756,472264,0
20121127,23.756,23.756,23.567,23.712,37857,0
20121128,23.648,23.648,23.505,23.54,19641,0
20121129,23.586,23.738,23.531,23.712,58099,0
20121130,23.738,23.738,23.657,23.703,47902,0
20121203,23.703,23.703,23.559,23.621,47194,0
20121204,23.576,23.648,23.576,23.648,57662,0
20121205,23.586,23.667,23.576,23.595,47678,0
20121206,23.586,23.631,23.576,23.603,35169,0
20121207,23.631,23.667,23.576,23.667,29355,0
20121210,23.684,23.729,23.603,23.648,28600,0
20121211,23.603,23.667,23.586,23.648,48210,0
20121212,23.595,23.72,23.514,23.648,214088,0
20121213,23.693,24.682,23.693,24.503,472752,0
20121214,24.458,25.258,24.296,25.195,184915,0
20121217,25.222,25.401,24.637,24.943,121478,0
20121218,24.907,25.177,24.818,24.997,84661,0
20121219,25.087,25.312,24.773,25.24,124725,0
20121220,25.051,25.159,24.971,24.997,71626,0
20121221,24.907,24.907,24.646,24.727,102856,0
20121227,24.601,25.456,24.601,25.456,101890,0
20121228,25.456,25.582,25.051,25.582,141648,0
20130102,25.609,25.762,25.554,25.626,87611,0
20130103,25.626,25.941,25.609,25.941,83714,0
20130104,25.807,26.93,25.807,26.66,341680,0
20130107,26.526,27.182,26.463,27.111,249724,0
20130108,27.111,28.009,26.975,27.335,171461,0
20130109,27.443,28.414,27.443,28.414,207525,0
20130110,28.774,29.394,28.028,28.324,238922,0
20130111,28.342,28.738,27.443,27.839,209951,0
20130114,27.524,28.145,27.524,27.883,69619,0
20130115,27.875,27.875,27.506,27.506,93926,0
20130116,27.155,27.686,27.101,27.425,65023,0
20130117,27.425,27.875,27.38,27.623,39505,0
20130118,27.704,28.27,27.623,28.054,217612,0
20130121,28.009,28.234,27.875,28.1,25932,0
20130122,27.992,28.234,27.47,27.47,104674,0
20130123,27.389,27.785,27.111,27.479,44697,0
20130124,27.515,27.686,27.335,27.587,220833,0
20130125,27.425,27.551,27.245,27.245,57903,0
20130128,27.119,27.326,26.256,26.256,244429,0
20130129,25.986,26.337,25.735,26.301,99993,0
20130130,26.076,26.751,26.076,26.571,53060,0
20130131,26.616,27.155,26.355,27.146,157258,0
20130201,27.119,27.146,26.841,26.975,61574,0
20130204,26.975,26.975,25.762,26.705,156340,0
20130205,26.256,26.705,26.166,26.526,38265,0
20130206,26.526,26.688,26.346,26.598,36607,0
20130207,26.499,26.975,26.265,26.265,26292,0
20130208,26.562,26.885,26.346,26.877,35236,0
20130211,26.579,26.715,26.579,26.66,7886,0
20130212,26.786,26.786,26.436,26.517,261127,0
20130213,26.346,26.346,25.716,25.716,14546,0
20130214,25.896,25.896,25.401,25.401,39282,0
20130215,25.447,25.986,25.393,25.977,31103,0
20130218,25.977,25.977,25.807,25.852,5652,0
20130219,25.852,25.896,25.716,25.888,4905,0
20130220,25.896,25.896,25.159,25.159,113579,0
20130221,25.177,25.177,24.188,24.458,72628,0
20130222,24.305,24.494,24.197,24.331,21093,0
20130225,24.359,24.907,24.359,24.727,12762,0
20130226,24.548,24.854,24.548,24.773,5437,0
20130227,25.123,25.411,25.06,25.312,3997,0
20130228,25.384,25.447,25.222,25.356,4649,0
20130301,25.401,25.626,25.168,25.528,25737,0
20130304,25.537,25.537,25.177,25.177,6333,0
20130305,24.997,25.356,24.997,25.312,6634,0
20130306,25.32,26.148,24.907,25.905,55971,0
20130307,26.076,26.166,25.905,25.941,47022,0
