Date,Open,High,Low,Close,Volume,OpenInt
20101001,15.197,15.197,14.427,14.61,212864,0
20101004,14.61,14.619,14.427,14.552,100084,0
20101005,14.485,14.523,14.446,14.504,121619,0
20101006,14.523,14.619,14.523,14.571,94124,0
20101007,14.581,14.581,14.543,14.543,461,0
20101008,14.543,14.581,14.543,14.571,847,0
20101011,14.543,14.571,14.523,14.543,31157,0
20101012,14.533,14.533,14.254,14.427,58576,0
20101013,14.427,14.427,14.36,14.427,8811,0
20101014,14.427,14.466,14.35,14.427,5512,0
20101015,14.427,14.427,14.379,14.427,2550,0
20101018,14.389,14.427,14.389,14.427,19304,0
20101019,14.427,14.427,14.292,14.292,296,0
20101020,14.283,14.283,14.283,14.283,5100,0
20101021,14.283,14.427,14.283,14.427,7887,0
20101022,14.427,14.427,14.187,14.427,377,0
20101025,14.187,14.504,14.187,14.504,4668,0
20101026,14.139,14.475,14.139,14.427,635,0
20101027,14.369,14.61,14.341,14.427,3672,0
20101028,14.514,14.514,14.504,14.514,152,0
20101029,14.523,14.571,14.485,14.485,2613,0
20101102,14.235,14.591,14.235,14.591,22260,0
20101103,14.61,14.61,14.427,14.562,7451,0
20101104,14.427,14.523,14.427,14.427,6103,0
20101105,14.504,14.504,14.427,14.485,79,0
20101108,14.427,14.504,14.379,14.417,2281,0
20101109,14.427,14.427,14.379,14.417,1738,0
20101110,14.417,14.417,14.417,14.417,461,0
20101112,14.427,14.427,14.417,14.427,2544,0
20101115,14.427,14.427,14.427,14.427,312,0
20101116,14.427,14.427,14.139,14.139,1638,0
20101117,14.302,14.302,13.792,14.042,1788,0
20101118,13.965,14.417,13.965,14.331,4600,0
20101119,14.417,14.417,14.071,14.071,256,0
20101122,13.946,14.235,13.946,14.042,355,0
20101123,14.129,14.129,13.946,13.946,476,0
20101124,14.379,14.379,13.946,14.139,3589,0
20101125,14.235,14.379,14.235,14.331,11541,0
20101126,14.427,14.427,14.235,14.331,1092,0
20101129,14.139,14.139,14.139,14.139,2807,0
20101130,14.187,14.187,13.975,13.975,832,0
20101201,14.417,14.417,14.187,14.187,9460,0
20101202,14.331,14.341,14.187,14.187,73011,0
20101203,14.379,14.379,14.187,14.187,32813,0
20101206,14.139,14.369,13.571,13.658,29044,0
20101207,14.177,14.177,14.042,14.11,202,0
20101208,14.139,14.398,13.85,14.167,54061,0
20101209,14.225,14.235,13.946,13.946,105567,0
20101210,13.831,13.946,13.831,13.946,218,0
20101213,13.937,13.937,13.84,13.84,241,0
20101214,13.831,13.85,13.754,13.802,1486,0
20101215,13.85,13.85,13.706,13.706,465,0
20101216,13.581,13.706,13.369,13.561,1306,0
20101217,13.658,13.658,13.427,13.436,3256,0
20101220,13.186,13.465,13.138,13.465,419897,0
20101221,13.465,13.6,13.302,13.542,2217,0
20101222,13.465,13.533,13.206,13.465,348,0
20101223,13.561,13.61,13.456,13.465,21548,0
20101227,13.533,13.542,13.186,13.504,3386,0
20101228,13.34,13.513,13.34,13.513,179706,0
20101229,13.552,13.552,13.465,13.465,31403,0
20101230,13.475,13.475,13.436,13.465,437,0
20101231,13.456,13.946,13.388,13.388,2897,0
20110103,13.686,13.686,13.686,13.686,444,0
20110104,13.475,13.667,13.475,13.667,1619,0
20110105,13.908,13.908,13.908,13.908,1040,0
20110107,13.85,13.927,13.85,13.927,785,0
20110110,13.927,14.283,13.888,13.888,1341,0
20110111,13.754,13.754,13.744,13.754,208,0
20110112,13.754,13.927,13.706,13.927,370,0
20110113,13.85,13.927,13.85,13.927,291,0
20110114,13.85,13.85,13.85,13.85,816,0
20110117,13.504,13.802,13.504,13.802,57,0
20110118,13.831,13.831,13.465,13.465,124859,0
20110119,13.465,13.465,13.465,13.465,2153,0
20110120,13.475,13.888,13.465,13.888,4453,0
20110121,13.754,13.85,13.754,13.85,322,0
20110124,13.85,13.85,13.571,13.812,475,0
20110126,13.561,13.831,13.561,13.658,3192,0
20110127,13.658,13.658,13.465,13.465,485,0
20110128,13.658,13.658,13.465,13.629,1228,0
20110131,13.6,13.6,13.6,13.6,52,0
20110201,12.936,13.465,12.936,13.465,41730,0
20110202,13.465,13.658,13.465,13.658,1965,0
20110203,13.648,13.898,13.648,13.898,3197,0
20110204,13.879,13.985,13.561,13.985,3557,0
20110207,13.638,13.638,13.638,13.638,550,0
20110208,13.561,13.561,13.225,13.388,863,0
20110209,13.417,13.417,13.225,13.417,1378,0
20110210,13.61,13.61,13.61,13.61,2,0
20110211,13.273,13.292,13.032,13.071,7072,0
20110214,13.1,13.273,12.946,13.09,2327,0
20110215,13.398,13.398,13.177,13.331,796,0
20110216,13.273,13.273,13.032,13.263,7959,0
20110217,13.34,13.658,13.177,13.177,2932,0
20110218,13.465,13.465,13.465,13.465,52,0
20110221,13.465,13.465,13.186,13.465,77,0
20110222,13.465,13.465,13.465,13.465,131,0
20110224,13.465,13.465,13.465,13.465,260,0
20110225,13.465,13.465,13.283,13.283,109,0
20110228,13.273,13.273,13.177,13.273,438,0
20110301,13.465,13.465,13.465,13.465,52,0
20110302,13.177,13.177,13.129,13.129,663,0
20110303,13.369,13.369,12.984,12.984,1273,0
20110304,12.994,13.513,12.984,13.513,1391,0
20110307,13.552,13.552,13.369,13.369,146,0
20110309,13.321,13.321,13.225,13.225,726,0
20110310,13.273,13.369,13.273,13.369,895,0
20110311,13.273,13.513,13.273,13.465,1012,0
20110314,13.456,13.465,13.321,13.456,536,0
20110315,13.321,13.369,13.273,13.369,1059,0
20110316,13.456,13.456,13.456,13.456,104,0
20110317,13.369,13.369,13.369,13.369,55,0
20110318,13.225,13.225,13.177,13.177,1397,0
20110321,13.408,13.408,13.177,13.177,312,0
20110322,13.456,13.465,13.321,13.465,1934,0
20110323,13.465,13.465,13.273,13.456,1002,0
20110324,13.119,13.273,13.1,13.254,2612,0
20110325,13.177,13.177,13.081,13.081,1676,0
20110328,12.984,13.081,12.936,12.984,2365,0
20110329,13.081,13.081,13.081,13.081,361,0
20110330,13.081,13.081,13.081,13.081,3239,0
20110331,12.994,12.994,12.744,12.744,4442,0
20110401,13.119,13.119,12.648,12.696,5466,0
20110404,12.792,12.792,12.705,12.782,1465,0
20110405,12.782,12.782,12.58,12.58,25172,0
20110406,12.523,12.523,12.398,12.503,21081,0
20110407,12.33,12.33,12.263,12.301,13242,0
20110408,12.282,12.33,12.176,12.234,936,0
20110411,12.119,12.128,12.032,12.032,1213,0
20110412,12.744,12.744,12.292,12.427,2750,0
20110413,12.465,12.465,12.119,12.119,655,0
20110414,12.119,12.398,12.119,12.311,890,0
20110415,12.215,12.215,12.023,12.023,3353,0
20110418,12.023,12.023,11.994,12.023,1754,0
20110419,11.926,11.926,11.763,11.782,3093,0
20110420,12.023,12.023,11.686,11.686,6998,0
20110421,11.599,11.686,11.445,11.686,3743,0
20110426,11.686,12.359,11.638,12.359,212,0
20110427,12.119,12.35,11.811,12.35,130,0
20110428,12.042,12.042,11.744,12.032,786,0
20110429,12.071,12.119,12.071,12.071,2330,0
20110502,12.359,12.359,12.359,12.359,67,0
20110504,12.359,12.359,12.023,12.215,1659,0
20110505,12.023,12.253,11.907,12.253,480,0
20110506,12.215,12.253,12.215,12.215,3730,0
20110510,12.032,12.032,12.023,12.023,1040,0
20110511,11.724,11.994,11.647,11.994,1258,0
20110512,12.023,12.023,12.023,12.023,125,0
20110513,12.023,12.023,11.724,12.013,393,0
20110516,11.715,11.715,11.542,11.542,3869,0
20110517,11.542,11.542,11.061,11.253,2089,0
20110518,10.984,11.061,10.628,11.051,2237,0
20110519,11.215,11.215,10.503,11.176,55563,0
20110520,10.791,11.042,10.782,11.042,740,0
20110523,10.868,10.868,10.676,10.763,934,0
20110524,9.945,10.426,9.945,10.388,2127,0
20110525,10.397,10.532,10.368,10.532,4655,0
20110526,10.772,10.772,10.58,10.763,839,0
20110527,10.599,11.234,10.397,10.936,4839,0
20110530,10.936,11.109,10.936,11.109,208,0
20110531,11.099,11.099,10.83,10.955,354,0
20110601,10.945,10.945,10.945,10.945,520,0
20110602,10.868,10.868,10.734,10.859,255,0
20110603,10.589,10.868,10.532,10.868,736,0
20110606,10.599,10.599,10.388,10.388,444,0
20110607,10.407,10.657,10.407,10.407,630,0
20110608,10.638,10.638,10.532,10.532,1644,0
20110609,10.58,10.58,10.311,10.57,409,0
20110613,10.57,10.868,10.57,10.599,9580,0
20110615,10.628,10.849,10.58,10.58,756,0
20110616,10.58,10.58,10.58,10.58,125,0
20110620,10.359,10.599,10.359,10.359,1241,0
20110621,10.359,10.532,10.359,10.532,181,0
20110622,9.82,10.484,9.637,9.907,826,0
20110624,10.099,10.099,9.724,10.099,208,0
20110627,10.099,10.099,9.599,9.801,933,0
20110629,10.032,10.032,9.493,9.907,361,0
20110630,9.897,9.897,9.897,9.897,60,0
20110701,9.714,9.714,9.714,9.714,43,0
20110704,9.724,9.81,9.57,9.57,4793,0
20110705,9.628,9.782,9.531,9.531,1687,0
20110706,9.291,9.733,9.291,9.733,48,0
20110707,10.003,10.003,9.733,9.859,22198,0
20110708,9.984,9.984,9.984,9.984,10,0
20110711,9.984,9.984,9.733,9.907,3683,0
20110712,9.666,10.089,9.666,10.003,780,0
20110713,10.07,10.378,10.07,10.195,2574,0
20110714,10.455,11.061,10.455,10.58,4701,0
20110715,10.83,10.945,10.628,10.666,520,0
20110718,10.397,10.811,9.907,10.811,880,0
20110719,10.541,10.936,10.541,10.84,2417,0
20110720,10.82,10.82,10.099,10.609,1485,0
20110721,10.349,10.57,10.089,10.57,409,0
20110722,10.58,10.58,10.58,10.58,135,0
20110725,10.311,10.311,9.81,10.282,759,0
20110726,9.81,10.57,9.762,10.57,203646,0
20110727,10.291,10.57,10.291,10.311,2807,0
20110728,10.051,10.388,10.051,10.388,94,0
20110729,10.128,10.128,9.81,10.118,1046,0
20110801,10.099,10.099,10.099,10.099,104,0
20110802,9.849,9.849,9.839,9.849,1232,0
20110803,9.81,9.81,9.2333,9.791,4408,0
20110804,9.551,9.551,9.1372,9.522,1853,0
20110805,9.2814,9.3295,9.1372,9.3295,2733,0
20110808,9.0987,9.2333,8.7043,9.2141,1238,0
20110809,8.9833,8.9833,8.435,8.7524,5867,0
20110810,8.7524,8.8486,7.8868,7.8868,540,0
20110811,7.8868,7.983,7.7906,7.983,498,0
20110812,7.983,7.983,7.8772,7.983,1291,0
20110816,7.983,8.0695,7.8868,8.0695,1231,0
20110819,7.6944,7.8868,7.3578,7.5983,506,0
20110822,7.6944,8.1753,7.4059,8.1753,1233,0
20110823,8.8486,8.8486,8.8486,8.8486,16,0
20110824,8.6274,8.6274,8.6274,8.6274,870,0
20110825,8.4158,8.6563,8.4158,8.6563,785,0
20110826,8.435,8.435,8.435,8.435,890,0
20110829,8.6274,8.6274,8.4158,8.4158,944,0
20110830,8.2042,8.2042,8.0695,8.1753,1742,0
20110831,8.1369,8.6466,7.8002,8.6466,2335,0
20110901,8.435,8.435,7.983,8.3677,2807,0
20110902,8.1561,8.1753,7.9541,8.1753,1254,0
20110905,8.1753,8.1753,7.9253,7.9253,356,0
20110906,7.8868,8.6563,7.6944,8.6563,2174,0
20110907,8.6563,9.618,8.6563,9.618,2156,0
20110908,9.3776,9.3776,9.368,9.368,821,0
20110909,9.1372,9.1372,9.1372,9.1372,332,0
20110912,8.6851,8.6851,8.6851,8.6851,864,0
20110913,8.4639,8.8486,8.185,8.8486,4284,0
20110914,8.6274,8.8486,8.6274,8.8486,884,0
20110915,8.6274,8.8486,8.185,8.8486,3798,0
20110916,8.6274,9.041,8.6274,9.041,936,0
20110919,8.8101,8.8101,8.8101,8.8101,936,0
20110920,8.5889,8.8486,8.5889,8.8486,936,0
20110921,8.6274,8.8486,8.6274,8.8486,936,0
20110922,8.6274,8.839,8.4158,8.7909,2088,0
20110923,8.5697,8.6563,8.5697,8.6563,483,0
20110926,8.435,8.8005,8.435,8.6563,1033,0
20110927,8.4639,8.8005,8.2234,8.8005,1204,0
20110928,8.5793,8.7524,8.5793,8.7524,1029,0
20110929,8.5312,8.7524,8.512,8.7524,1923,0
20110930,8.5408,8.6563,8.5408,8.5985,1279,0
20111003,8.3869,8.762,8.2811,8.6563,1357,0
20111004,8.435,8.637,8.435,8.637,884,0
20111005,8.4254,8.6274,8.4254,8.6274,884,0
20111006,8.6178,8.6178,8.2715,8.4735,5096,0
20111007,8.4735,8.5793,8.3677,8.4062,2598,0
20111010,8.5601,8.637,8.512,8.637,232,0
20111011,8.435,8.435,8.1369,8.3773,3936,0
20111012,8.2811,8.2811,7.983,8.2811,5323,0
20111013,8.0695,8.108,7.8964,7.8964,6342,0
20111014,7.9349,7.9349,7.4732,7.5021,25212,0
20111017,7.6752,7.6944,7.3674,7.3674,17036,0
20111018,7.5983,7.6175,7.3097,7.5213,5528,0
20111019,7.329,7.5598,7.3097,7.3097,1461,0
20111020,7.3097,7.3097,6.9442,7.1751,9121,0
20111021,7.2616,7.2905,6.925,7.1847,4872,0
20111024,7.2135,7.3001,6.9346,7.3001,5531,0
