Date,Open,High,Low,Close,Volume,OpenInt
19910924,4.1894,4.1894,4.1894,4.1894,77531,0
19911001,4.3819,4.3819,4.3819,4.3819,97785,0
19911008,4.8099,4.8099,4.8099,4.8099,82043,0
19911015,5.2862,5.2862,5.2862,5.2862,96050,0
19911022,5.8104,5.8104,5.8104,5.8104,53419,0
19911029,6.3833,6.3833,6.3833,6.3833,47282,0
19911105,7.0037,7.0037,7.0037,7.0037,92649,0
19911112,7.1429,7.1429,7.1429,7.1429,67635,0
19911119,6.4312,6.4312,6.4312,6.4312,0,0
19911126,5.8104,5.8104,5.8104,5.8104,20105,0
19911203,6.3833,6.3833,6.3833,6.3833,0,0
19911210,7.0037,7.0037,7.0037,7.0037,124277,0
19911217,6.3348,6.3348,6.3348,6.3348,68623,0
19911231,6.9556,6.9556,6.9556,6.9556,27557,0
19920107,7.1429,7.1429,7.1429,7.1429,36677,0
19920109,7.1429,7.1429,7.1429,7.1429,16302,0
19920114,6.7147,6.7147,6.7147,6.7147,38012,0
19920116,6.6665,6.6665,6.6665,6.6665,16093,0
19920121,6.9556,6.9556,6.9556,6.9556,10582,0
19920123,7.0518,7.0518,7.0518,7.0518,11128,0
19920128,6.9556,6.9556,6.9556,6.9556,11916,0
19920130,6.9074,6.9074,6.9074,6.9074,9542,0
19920204,6.8591,6.8591,6.8591,6.8591,14539,0
19920206,6.9556,6.9556,6.9556,6.9556,11724,0
19920211,6.8111,6.8111,6.8111,6.8111,13293,0
19920213,7.0518,7.0518,7.0518,7.0518,17349,0
19920218,7.1429,7.1429,7.1429,7.1429,28613,0
19920220,7.1429,7.1429,7.1429,7.1429,16568,0
19920225,7.1911,7.1911,7.1911,7.1911,36347,0
19920227,7.4799,7.4799,7.4799,7.4799,41069,0
19920303,8.191,8.191,8.191,8.191,22795,0
19920305,8.5764,8.5764,8.5764,8.5764,29904,0
19920310,8.861,8.861,8.861,8.861,30693,0
19920312,9.0046,9.0046,9.0046,9.0046,15603,0
19920317,8.191,8.191,8.191,8.191,21856,0
19920319,8.5764,8.5764,8.5764,8.5764,20252,0
19920324,8.5764,8.5764,8.5764,8.5764,16897,0
19920326,8.6196,8.6196,8.6196,8.6196,17880,0
19920331,8.4802,8.4802,8.4802,8.4802,16214,0
19920402,8.1004,8.1004,8.1004,8.1004,16109,0
19920407,8.1004,8.1004,8.1004,8.1004,15980,0
19920409,7.8599,7.8599,7.8599,7.8599,13280,0
19920414,7.8599,7.8599,7.8599,7.8599,16285,0
19920416,8.0044,8.0044,8.0044,8.0044,14513,0
19920423,7.7636,7.7636,7.7636,7.7636,23666,0
19920428,7.0037,7.0037,7.0037,7.0037,12571,0
19920430,6.6665,6.6665,6.6665,6.6665,19731,0
19920505,6.9074,6.9074,6.9074,6.9074,14049,0
19920507,7.1429,7.1429,7.1429,7.1429,8884,0
19920512,7.1429,7.1429,7.1429,7.1429,8487,0
19920514,6.8591,6.8591,6.8591,6.8591,7389,0
19920519,6.7631,6.7631,6.7631,6.7631,7583,0
19920521,6.0996,6.0996,6.0996,6.0996,10217,0
19920526,6.6665,6.6665,6.6665,6.6665,21802,0
19920528,6.9074,6.9074,6.9074,6.9074,11602,0
19920602,6.8591,6.8591,6.8591,6.8591,15233,0
19920604,6.6237,6.6237,6.6237,6.6237,14465,0
19920609,6.1477,6.1477,6.1477,6.1477,8755,0
19920611,6.1477,6.1477,6.1477,6.1477,9417,0
19920616,5.5752,5.5752,5.5752,5.5752,11850,0
19920623,5.0507,5.0507,5.0507,5.0507,17800,0
19920625,5.2862,5.2862,5.2862,5.2862,6241,0
19920630,5.8104,5.8104,5.8104,5.8104,0,0
19920702,6.3833,6.3833,6.3833,6.3833,0,0
19920707,7.0037,7.0037,7.0037,7.0037,23920,0
19920709,7.1001,7.1001,7.1001,7.1001,26459,0
19920714,6.5757,6.5757,6.5757,6.5757,17486,0
19920716,6.8591,6.8591,6.8591,6.8591,15962,0
19920721,6.8111,6.8111,6.8111,6.8111,12272,0
19920723,6.8111,6.8111,6.8111,6.8111,17665,0
19920728,7.0037,7.0037,7.0037,7.0037,27197,0
19920730,7.1429,7.1429,7.1429,7.1429,26535,0
19920804,6.8111,6.8111,6.8111,6.8111,15412,0
19920806,6.7147,6.7147,6.7147,6.7147,5792,0
19920811,6.7147,6.7147,6.7147,6.7147,13637,0
19920813,6.8591,6.8591,6.8591,6.8591,6111,0
19920818,6.8591,6.8591,6.8591,6.8591,11473,0
19920820,6.9074,6.9074,6.9074,6.9074,20487,0
19920825,7.1429,7.1429,7.1429,7.1429,42587,0
19920827,6.9074,6.9074,6.9074,6.9074,22107,0
19920901,6.6237,6.6237,6.6237,6.6237,37762,0
19920903,6.6665,6.6665,6.6665,6.6665,21519,0
19920908,6.5275,6.5275,6.5275,6.5275,17022,0
19920910,6.6237,6.6237,6.6237,6.6237,17169,0
19920915,6.4312,6.4312,6.4312,6.4312,19491,0
19920917,6.1904,6.1904,6.1904,6.1904,27161,0
19920922,6.4312,6.4312,6.4312,6.4312,24886,0
19920924,6.6237,6.6237,6.6237,6.6237,28416,0
19920929,6.7147,6.7147,6.7147,6.7147,49077,0
19921001,6.7631,6.7631,6.7631,6.7631,48259,0
19921006,6.7147,6.7147,6.7147,6.7147,22758,0
19921008,6.4793,6.4793,6.4793,6.4793,11138,0
19921013,6.1904,6.1904,6.1904,6.1904,18845,0
19921015,6.1904,6.1904,6.1904,6.1904,7581,0
19921020,6.3348,6.3348,6.3348,6.3348,24618,0
19921022,6.1477,6.1477,6.1477,6.1477,20314,0
19921027,5.955,5.955,5.955,5.955,22276,0
19921029,6.1904,6.1904,6.1904,6.1904,24234,0
19921103,6.1904,6.1904,6.1904,6.1904,12243,0
19921105,5.8104,5.8104,5.8104,5.8104,14675,0
19921110,6.0033,6.0033,6.0033,6.0033,11984,0
19921112,5.955,5.955,5.955,5.955,5488,0
19921117,5.955,5.955,5.955,5.955,22495,0
19921119,5.8586,5.8586,5.8586,5.8586,35439,0
19921124,5.8586,5.8586,5.8586,5.8586,23953,0
19921126,5.7144,5.7144,5.7144,5.7144,13582,0
19921201,5.8586,5.8586,5.8586,5.8586,28561,0
19921203,5.955,5.955,5.955,5.955,33107,0
19921208,6.1904,6.1904,6.1904,6.1904,34110,0
19921210,6.4312,6.4312,6.4312,6.4312,27821,0
19921215,6.1904,6.1904,6.1904,6.1904,24075,0
19921217,6.1904,6.1904,6.1904,6.1904,22623,0
19921222,6.1904,6.1904,6.1904,6.1904,26259,0
19921229,5.955,5.955,5.955,5.955,15233,0
19930104,5.955,5.955,5.955,5.955,7052,0
19930105,5.955,5.955,5.955,5.955,8583,0
19930107,6.1904,6.1904,6.1904,6.1904,14905,0
19930111,6.2387,6.2387,6.2387,6.2387,7538,0
19930112,6.4312,6.4312,6.4312,6.4312,14629,0
19930114,6.3833,6.3833,6.3833,6.3833,11871,0
19930118,6.3348,6.3348,6.3348,6.3348,6704,0
19930119,6.1904,6.1904,6.1904,6.1904,8791,0
19930121,6.1904,6.1904,6.1904,6.1904,31010,0
19930125,5.8104,5.8104,5.8104,5.8104,19210,0
19930126,5.955,5.955,5.955,5.955,6255,0
19930128,5.8104,5.8104,5.8104,5.8104,6080,0
19930201,5.955,5.955,5.955,5.955,6067,0
19930202,5.8104,5.8104,5.8104,5.8104,6210,0
19930204,5.955,5.955,5.955,5.955,11201,0
19930208,5.9067,5.9067,5.9067,5.9067,9555,0
19930209,5.955,5.955,5.955,5.955,26039,0
19930211,5.955,5.955,5.955,5.955,21987,0
19930215,6.0033,6.0033,6.0033,6.0033,11562,0
19930216,6.1477,6.1477,6.1477,6.1477,28964,0
19930218,6.1477,6.1477,6.1477,6.1477,26992,0
19930222,6.0996,6.0996,6.0996,6.0996,15778,0
19930223,6.1904,6.1904,6.1904,6.1904,26348,0
19930225,6.4312,6.4312,6.4312,6.4312,36403,0
19930301,6.5757,6.5757,6.5757,6.5757,36930,0
19930302,6.9074,6.9074,6.9074,6.9074,39199,0
19930304,7.5762,7.5762,7.5762,7.5762,91376,0
19930308,7.7636,7.7636,7.7636,7.7636,72372,0
19930309,7.9562,7.9562,7.9562,7.9562,74938,0
19930311,8.1004,8.1004,8.1004,8.1004,64670,0
19930315,7.4315,7.4315,7.4315,7.4315,30830,0
19930316,7.5281,7.5281,7.5281,7.5281,26930,0
19930318,7.6245,7.6245,7.6245,7.6245,28239,0
19930322,7.5762,7.5762,7.5762,7.5762,27903,0
19930323,7.3835,7.3835,7.3835,7.3835,10997,0
19930325,7.5762,7.5762,7.5762,7.5762,24438,0
19930329,7.6671,7.6671,7.6671,7.6671,17816,0
19930330,7.8117,7.8117,7.8117,7.8117,14968,0
19930401,7.8599,7.8599,7.8599,7.8599,32487,0
19930405,7.9562,7.9562,7.9562,7.9562,23943,0
19930406,8.0524,8.0524,8.0524,8.0524,24855,0
19930408,8.1004,8.1004,8.1004,8.1004,49690,0
19930413,8.6196,8.6196,8.6196,8.6196,33428,0
19930415,9.4823,9.4823,9.4823,9.4823,45164,0
19930419,10.386,10.386,10.386,10.386,28564,0
19930420,11.386,11.386,11.386,11.386,42335,0
19930422,12.484,12.484,12.484,12.484,52186,0
19930426,13.719,13.719,13.719,13.719,69267,0
19930427,13.008,13.008,13.008,13.008,61202,0
19930429,11.717,11.717,11.717,11.717,38842,0
19930504,10.958,10.958,10.958,10.958,68701,0
19930506,12.049,12.049,12.049,12.049,0,0
19930510,13.241,13.241,13.241,13.241,0,0
19930511,14.526,14.526,14.526,14.526,30880,0
19930513,15.961,15.961,15.961,15.961,134524,0
19930517,15.816,15.816,15.816,15.816,102917,0
19930518,16.912,16.912,16.912,16.912,78798,0
19930520,18.576,18.576,18.576,18.576,46800,0
19930524,20.434,20.434,20.434,20.434,61739,0
19930525,22.433,22.433,22.433,22.433,56016,0
19930527,19.77,19.77,19.77,19.77,83116,0
19930531,21.722,21.722,21.722,21.722,66912,0
19930601,22.386,22.386,22.386,22.386,49281,0
19930603,20.149,20.149,20.149,20.149,47094,0
19930607,18.149,18.149,18.149,18.149,0,0
19930608,16.339,16.339,16.339,16.339,0,0
19930609,14.719,14.719,14.719,14.719,89741,0
19930614,16.149,16.149,16.149,16.149,0,0
19930615,17.721,17.721,17.721,17.721,0,0
19930617,19.48,19.48,19.48,19.48,115500,0
19930621,19.006,19.006,19.006,19.006,66982,0
19930622,20.867,20.867,20.867,20.867,49285,0
19930624,22.911,22.911,22.911,22.911,140078,0
19930628,22.911,22.911,22.911,22.911,82966,0
19930629,24.055,24.055,24.055,24.055,71628,0
19930701,26.437,26.437,26.437,26.437,72049,0
19930705,29.058,29.058,29.058,29.058,43729,0
19930706,28.582,28.582,28.582,28.582,40926,0
19930708,29.77,29.77,29.77,29.77,68553,0
19930712,31.916,31.916,31.916,31.916,31960,0
19930713,30.487,30.487,30.487,30.487,32128,0
19930715,30.487,30.487,30.487,30.487,32444,0
19930719,31.681,31.681,31.681,31.681,57048,0
19930720,30.727,30.727,30.727,30.727,25138,0
19930722,29.295,29.295,29.295,29.295,39767,0
19930726,30.727,30.727,30.727,30.727,20253,0
19930727,30.727,30.727,30.727,30.727,16150,0
19930729,28.582,28.582,28.582,28.582,22473,0
19930802,29.534,29.534,29.534,29.534,23596,0
19930803,28.106,28.106,28.106,28.106,93942,0
19930805,29.058,29.058,29.058,29.058,39222,0
19930809,31.916,31.916,31.916,31.916,53273,0
19930810,35.014,35.014,35.014,35.014,50902,0
19930812,31.681,31.681,31.681,31.681,41064,0
19930816,33.82,33.82,33.82,33.82,68478,0
19930817,35.014,35.014,35.014,35.014,53202,0
19930819,35.014,35.014,35.014,35.014,90578,0
19930823,38.347,38.347,38.347,38.347,58478,0
19930824,42.156,42.156,42.156,42.156,34464,0
19930826,46.207,46.207,46.207,46.207,115963,0
19930830,41.679,41.679,41.679,41.679,65113,0
19930831,37.636,37.636,37.636,37.636,95904,0
19930902,41.205,41.205,41.205,41.205,49273,0
19930906,45.254,45.254,45.254,45.254,71776,0
19930907,40.728,40.728,40.728,40.728,89595,0
19930909,39.539,39.539,39.539,39.539,66950,0
19930913,40.252,40.252,40.252,40.252,60255,0
19930914,41.446,41.446,41.446,41.446,20248,0
19930916,42.632,42.632,42.632,42.632,31615,0
19930920,42.632,42.632,42.632,42.632,46331,0
19930921,41.205,41.205,41.205,41.205,35071,0
19930923,40.252,40.252,40.252,40.252,40916,0
19930927,42.156,42.156,42.156,42.156,59123,0
19930928,44.061,44.061,44.061,44.061,34996,0
19930930,42.874,42.874,42.874,42.874,32314,0
19931004,42.874,42.874,42.874,42.874,45165,0
19931005,45.254,45.254,45.254,45.254,78958,0
19931007,47.636,47.636,47.636,47.636,81839,0
19931011,52.402,52.402,52.402,52.402,78902,0
19931012,57.164,57.164,57.164,57.164,69619,0
19931014,56.688,56.688,56.688,56.688,41701,0
19931018,54.542,54.542,54.542,54.542,52119,0
19931019,53.59,53.59,53.59,53.59,35559,0
19931021,52.402,52.402,52.402,52.402,70569,0
19931026,50.492,50.492,50.492,50.492,20730,0
19931028,52.402,52.402,52.402,52.402,44679,0
19931102,54.783,54.783,54.783,54.783,59218,0
19931104,57.164,57.164,57.164,57.164,74076,0
19931108,54.542,54.542,54.542,54.542,31452,0
19931109,53.354,53.354,53.354,53.354,17412,0
19931110,53.354,53.354,53.354,53.354,19286,0
19931115,54.783,54.783,54.783,54.783,47822,0
19931116,56.211,56.211,56.211,56.211,20282,0
19931118,52.402,52.402,52.402,52.402,26528,0
19931122,53.354,53.354,53.354,53.354,24944,0
19931123,55.736,55.736,55.736,55.736,20359,0
19931125,56.211,56.211,56.211,56.211,39416,0
19931129,56.923,56.923,56.923,56.923,30443,0
19931130,57.164,57.164,57.164,57.164,21563,0
19931202,62.877,62.877,62.877,62.877,51809,0
19931206,66.211,66.211,66.211,66.211,27397,0
19931207,66.687,66.687,66.687,66.687,41920,0
19931209,66.687,66.687,66.687,66.687,47886,0
19931213,73.36,73.36,73.36,73.36,29774,0
19931214,74.788,74.788,74.788,74.788,34145,0
19931216,82.175,82.175,82.175,82.175,25116,0
19931220,83.366,83.366,83.366,83.366,35832,0
19931221,85.749,85.749,85.749,85.749,35573,0
19931223,94.309,94.309,94.309,94.309,33547,0
19931227,100.04,100.04,100.04,100.04,35698,0
19931228,90.028,90.028,90.028,90.028,23044,0
19931230,95.264,95.264,95.264,95.264,35509,0
19940103,103.86,103.86,103.86,103.86,25951,0
19940104,114.09,114.09,114.09,114.09,44341,0
19940106,102.89,102.89,102.89,102.89,69303,0
19940110,107.17,107.17,107.17,107.17,54878,0
19940111,107.17,107.17,107.17,107.17,22444,0
19940113,96.459,96.459,96.459,96.459,53167,0
19940117,106,106,106,106,97039,0
19940118,100.04,100.04,100.04,100.04,26639,0
